M,MaxLayer,EFC,EFS,HammingThreshold,Recall,AvgQueryTime_ms,DistOpsPerQuery,BuildTime_ms,QPS
32,7,1000,128,41,0.913690,0.496169,4236.287300,4159.199955,2015.441469
32,7,1000,160,41,0.928630,0.600353,5050.511400,3830.890115,1665.686316
32,7,1000,192,41,0.939640,0.688341,5835.046700,3766.959111,1452.767313
32,7,1000,224,41,0.947890,0.790268,6589.991900,3775.596556,1265.393594
32,7,1000,256,41,0.954180,0.877344,7321.155900,3765.629195,1139.803691
32,7,1000,288,41,0.959230,0.980528,8030.303700,3758.525985,1019.858726
32,7,1000,320,41,0.963060,1.067348,8721.235100,3765.907995,936.901897
32,7,1000,352,41,0.966470,1.213524,9394.188100,3946.595089,824.046029
32,7,1000,384,41,0.969560,1.270692,10052.215000,3802.214122,786.972589
