M,MaxLayer,EFC,EFS,HammingThreshold,Recall,AvgQueryTime_ms,DistOpsPerQuery,BuildTime_ms,QPS
16,7,2000,128,41,0.850780,0.285627,2412.764100,1453217.179607,3501.075281
16,7,2000,160,41,0.867910,0.341593,2863.389200,3419.612188,2927.464086
16,7,2000,192,41,0.880490,0.407383,3297.000100,3346.743006,2454.691317
16,7,2000,224,41,0.890300,0.479501,3717.509900,3398.988594,2085.501437
16,7,2000,256,41,0.898360,0.517374,4125.613000,3353.743546,1932.838632
16,7,2000,288,41,0.905450,0.593541,4522.962500,3358.725426,1684.803528
16,7,2000,320,41,0.911130,0.616979,4911.178000,3437.291127,1620.800301
16,7,2000,352,41,0.916340,0.664454,5291.262400,3258.660213,1504.996025
16,7,2000,384,41,0.920740,0.727444,5664.714000,3263.679330,1374.677146
16,7,2000,416,41,0.924650,0.797764,6030.339500,3267.832037,1253.502913
16,7,2000,448,41,0.927860,0.833352,6389.393600,3316.347469,1199.972962
16,7,2000,480,41,0.930930,0.886663,6742.480500,3275.104035,1127.824746
16,7,2000,512,41,0.933730,0.940327,7090.135500,3268.393510,1063.460382
32,7,2000,128,41,0.914220,0.507054,4346.885500,3097865.050954,1972.176108
32,7,2000,160,41,0.929030,0.601233,5184.861300,4041.723753,1663.247488
32,7,2000,192,41,0.939670,0.698386,5990.014000,3852.175135,1431.873349
32,7,2000,224,41,0.948010,0.823189,6765.014600,3959.238616,1214.787493
32,7,2000,256,41,0.954250,0.897615,7516.312900,3919.548223,1114.063908
32,7,2000,288,41,0.959150,0.996439,8244.059600,3876.064900,1003.573730
32,7,2000,320,41,0.963270,1.105124,8952.895100,3861.448492,904.876075
32,7,2000,352,41,0.966830,1.175593,9643.261700,3859.892557,850.634403
32,7,2000,384,41,0.970000,1.279848,10318.703100,4060.113538,781.342673
32,7,2000,416,41,0.972810,1.697225,10978.746500,3785.159684,589.197091
32,7,2000,448,41,0.974990,1.511960,11625.513000,4071.007387,661.393294
32,7,2000,480,41,0.976730,1.566847,12258.097300,4167.860249,638.224278
32,7,2000,512,41,0.978290,1.633404,12881.780900,4076.475194,612.218400
40,7,2000,128,41,0.926440,0.615182,5154.865000,4169362.562379,1625.535682
40,7,2000,160,41,0.941170,0.725726,6153.347000,4338.966029,1377.931096
40,7,2000,192,41,0.951360,0.870629,7113.292500,4296.457823,1148.595037
40,7,2000,224,41,0.958820,1.011340,8038.336300,4303.395762,988.786889
40,7,2000,256,41,0.964600,1.115407,8931.625700,4488.159062,896.533518
40,7,2000,288,41,0.968970,1.258203,9796.674300,4352.771435,794.784101
40,7,2000,320,41,0.972470,1.292664,10638.390800,4283.265152,773.596217
40,7,2000,352,41,0.975080,1.482242,11458.651300,4276.940337,674.653671
40,7,2000,384,41,0.977420,2.009993,12258.273000,4389.092078,497.514100
40,7,2000,416,41,0.979370,1.701405,13040.149700,4655.203148,587.749573
40,7,2000,448,41,0.981530,1.810756,13804.532600,4185.505660,552.255437
40,7,2000,480,41,0.982990,1.984388,14553.422200,4126.948106,503.933769
40,7,2000,512,41,0.984270,1.974047,15288.198600,4236.999720,506.573613
