M,MaxLayer,EFC,EFS,HammingThreshold,Recall,AvgQueryTime_ms,DistOpsPerQuery,BuildTime_ms,QPS
32,7,1000,368,41,0.968130,1.223708,9725.394000,3873.606799,817.188191
32,7,1000,368,42,0.970770,1.255196,10861.658700,3631.150483,796.688261
32,7,1000,368,43,0.972060,1.303468,11910.306500,3663.391693,767.184294
32,7,1000,368,44,0.972680,1.298250,12840.172900,3556.927868,770.267572
32,7,1000,368,45,0.973120,1.347561,13636.608700,3721.758731,742.081368
32,7,1000,400,41,0.970710,1.312262,10375.656100,3606.818462,762.042796
32,7,1000,400,42,0.973360,1.327895,11604.388500,3627.607265,753.071366
32,7,1000,400,43,0.974830,1.427746,12741.538800,3585.700950,700.404859
32,7,1000,400,44,0.975600,1.806147,13751.754300,3845.590613,553.664693
32,7,1000,400,45,0.975970,1.466169,14618.509700,4581.759102,682.049411
32,7,1000,432,41,0.973440,1.414715,11012.391000,3635.782730,706.856057
32,7,1000,432,42,0.975860,1.446173,12333.833700,3803.314357,691.480145
32,7,1000,432,43,0.977420,1.501130,13558.609300,3658.130550,666.164890
32,7,1000,432,44,0.978190,1.537127,14648.767900,3662.728002,650.564188
32,7,1000,432,45,0.978500,1.543889,15586.046000,3661.911355,647.715150
32,7,1000,464,41,0.975380,1.498639,11636.871000,3752.974895,667.272012
32,7,1000,464,42,0.977790,1.923225,13049.661200,3683.974941,519.959979
32,7,1000,464,43,0.979330,1.635336,14360.631200,4575.426712,611.495179
32,7,1000,464,44,0.979990,1.651099,15532.147200,3766.052632,605.657174
32,7,1000,464,45,0.980450,1.699970,16539.615700,3673.084880,588.245732
32,7,1000,496,41,0.977000,1.587252,12249.157500,3821.620555,630.019606
32,7,1000,496,42,0.979560,1.680519,13752.586600,3695.515477,595.054382
32,7,1000,496,43,0.981270,1.732700,15151.486400,3671.694365,577.134036
32,7,1000,496,44,0.981950,1.757535,16401.468500,3638.273208,568.978692
32,7,1000,496,45,0.982280,2.052054,17479.010800,4099.731921,487.316556
32,7,1300,368,41,0.967830,1.235144,9809.582900,4041.010386,809.622328
32,7,1300,368,42,0.970920,1.297983,10965.874700,3707.983832,770.426119
32,7,1300,368,43,0.972630,1.376678,12033.795900,3696.290977,726.386454
32,7,1300,368,44,0.973370,1.383559,12980.351300,3694.143685,722.773426
32,7,1300,368,45,0.973810,1.372490,13791.846300,3816.956778,728.602614
