M,MaxLayer,EFC,EFS,Recall,AvgQueryTime_ms,DistOpsPerQuery,BuildTime_ms,QPS
57,7,1300,1000,0.62778,1.652177,2588.2997,4572.96458,605.262045
57,7,1300,800,0.62696,1.374046,2360.7831,4568.852062,727.777597
57,7,1300,600,0.62539,1.062887,2083.1813,4785.042699,940.833857
57,7,1300,500,0.62385,0.936265,1918.2737,5902.286746,1068.073853
57,7,1000,1000,0.62212,1.645525,2536.4666,3450.539179,607.708829
57,7,1000,800,0.62125,1.704946,2313.4659,4515.351757,586.528824
57,7,1000,600,0.61968,1.070838,2041.4308,4650.797074,933.847931
57,7,1000,500,0.61844,0.94483,1879.9692,3255.210781,1058.391236
64,7,1000,1000,0.6163,1.667486,2578.6459,2686.015208,599.705067
57,7,1300,250,0.6158,0.894241,1375.5042,5000.144255,1118.26659
64,7,1000,800,0.61552,1.399919,2353.3081,4861.739378,714.32727
64,7,1000,600,0.61408,1.084514,2078.0034,5049.948926,922.071588
64,7,600,1000,0.6137,1.525768,2475.501,4352.51331,655.407587
64,7,600,800,0.61292,1.238566,2257.0958,4723.48814,807.385318
64,7,1000,500,0.61291,0.964862,1914.0256,4781.855619,1036.41797
64,7,600,600,0.61126,1.063454,1991.3433,4422.385373,940.331816
57,7,1000,250,0.61017,0.515986,1350.2916,5021.226792,1938.036283
64,7,600,500,0.60988,0.868013,1834.5553,4657.40374,1152.056644
64,7,1000,250,0.60488,0.513653,1374.7766,5262.09837,1946.840914
64,7,600,250,0.60135,0.46833,1320.4766,2718.600933,2135.245327
57,7,1300,100,0.59146,0.247172,865.5222,4150521.037,4045.77264
40,7,600,1000,0.58758,1.192248,2181.4905,4143.080679,838.751467
40,7,600,800,0.58671,0.98959,1981.1781,4105.893868,1010.519877
57,7,1000,100,0.58626,0.256644,853.2947,3077535.025,3896.448847
40,7,600,600,0.58491,0.78252,1740.2041,4130.121363,1277.922045
40,7,600,500,0.58351,0.670785,1599.011,4248.527404,1490.79046
64,7,1000,100,0.58093,0.242735,867.9516,3331863.557,4119.713832
64,7,600,100,0.5778,0.224755,840.5675,1866631.534,4449.282042
40,7,600,250,0.57432,0.36887,1141.4325,2506.773564,2710.98078
32,7,1000,1000,0.56824,1.041232,2034.4059,4124.357017,960.400456
32,7,1000,800,0.56728,0.865797,1844.4045,4055.725057,1155.005302
32,7,1000,600,0.56527,0.682679,1616.5953,4158.933591,1464.817146
32,7,600,1000,0.56423,1.328036,1973.2145,4076.046772,752.991631
32,7,1000,500,0.56373,0.584039,1483.5303,4102.995301,1712.215612
32,7,600,800,0.56325,0.840545,1787.6175,4163.440989,1189.70486
32,7,600,600,0.56141,0.661649,1565.6744,4108.772543,1511.376334
32,7,600,500,0.55974,0.577859,1436.5694,4137.923167,1730.525708
32,7,1000,250,0.55462,0.319949,1053.743,4218.114189,3125.494787
40,7,600,100,0.55156,0.180921,717.9911,1219727.708,5527.278017
32,7,600,250,0.55056,0.320931,1020.0977,2557.465635,3115.936782
32,7,1000,100,0.53284,0.158113,657.0637,1593159.914,6324.596357
32,7,600,100,0.52894,0.152365,637.3624,999543.3059,6563.200075
40,7,1300,1000,0.50031,1.05957,2005.609,4312.257186,943.778731
40,7,1300,800,0.49975,0.909667,1813.8666,4396.479228,1099.303056
32,7,1300,1000,0.49893,0.9308,1875.3762,4325.273711,1074.344329
40,7,1300,600,0.49813,0.752469,1583.3521,2492.817206,1328.957776
32,7,1300,800,0.49789,0.779117,1694.8516,2457.683936,1283.505067
40,7,1300,500,0.49685,0.651706,1448.0627,4468.64913,1534.433522
32,7,1300,600,0.49633,0.609723,1478.8396,4250.597868,1640.088299
32,7,1300,500,0.49474,0.52066,1352.724,4188.510055,1920.637886
40,7,1300,250,0.48939,0.342511,1009.5142,4638.305508,2919.61353
32,7,1300,250,0.48704,0.302377,946.4802,4325.044538,3307.132483
40,7,1000,1000,0.48458,1.403333,1950.1483,4396.412308,712.589119
40,7,1000,800,0.48386,0.872809,1762.6787,4163.990585,1145.726103
40,7,1000,600,0.48232,0.67614,1537.6816,4365.577478,1478.982651
40,7,1000,500,0.48101,0.582197,1405.7536,4345.027557,1717.632201
40,7,1000,250,0.47344,0.346491,978.8968,2876.2986,2886.080274
40,7,1300,100,0.47005,0.162646,603.3982,2748065.603,6148.328387
32,7,1300,100,0.46759,0.142138,573.7346,2045232.304,7035.424735
57,7,600,1000,0.46414,1.172266,1984.4269,2684.522342,853.048879
57,7,600,800,0.46343,0.96855,1794.1174,4366.138685,1032.471517
57,7,600,600,0.46204,0.75182,1564.4167,2643.220999,1330.106283
57,7,600,500,0.46102,0.667452,1429.6061,4456.350335,1498.236043
57,7,600,250,0.45429,0.358143,991.4803,5157.11181,2792.177712
40,7,1000,100,0.45404,0.153306,585.3858,2069886.655,6522.914677
57,7,600,100,0.4355,0.169349,587.1137,1719980.529,5904.956678
