M,MaxLayer,EFC,EFS,Recall,AvgQueryTime_ms,DistOpsPerQuery,BuildTime_ms,QPS
32,7,1000,256,0.958750,1.140396,9511.336100,5989.573642,876.888635
32,7,1000,272,0.961530,1.068726,10000.776400,4108.281072,935.693576
32,7,1000,288,0.964160,1.126180,10486.646300,4150.763881,887.957718
32,7,1000,304,0.966260,1.164130,10965.590000,1880.702716,859.010494
32,7,1000,320,0.968080,1.229795,11441.485600,3885.700940,813.143331
32,7,1000,336,0.969860,1.312734,11911.431900,3869.507585,761.769023
32,7,1000,352,0.971340,1.339096,12377.625600,4088.134273,746.772435
32,7,1000,368,0.972680,1.442592,12840.172900,4064.487266,693.196495
32,7,1000,384,0.974220,1.542349,13297.816900,4126.477804,648.361791
32,7,1000,400,0.975600,1.652708,13751.754300,2664.153104,605.067742
32,7,1000,416,0.976900,1.618650,14203.225000,4140.507286,617.798864
32,7,1000,432,0.978190,1.654485,14648.767900,4128.900583,604.417514
32,7,1000,448,0.979190,1.736347,15092.774500,3878.413292,575.921685
32,7,1000,464,0.979990,1.772622,15532.147200,2097.038793,564.136123
32,7,1000,480,0.981010,1.837305,15969.186000,3906.416203,544.275330
32,7,1000,496,0.981950,1.860571,16401.468500,4209.208209,537.469310
32,7,1000,512,0.982720,2.293761,16832.555900,4063.916091,435.965122
32,7,1300,256,0.959190,1.039417,9611.225900,3490.790080,962.078096
32,7,1300,272,0.961770,1.071144,10106.691000,4179.687277,933.581071
32,7,1300,288,0.964590,1.145797,10598.968800,4244.387244,872.755223
32,7,1300,304,0.966670,1.178968,11085.292900,4060.217230,848.199611
32,7,1300,320,0.968620,1.239524,11565.698200,3956.368200,806.761339
32,7,1300,336,0.970390,1.337541,12041.669300,4011.315501,747.640770
32,7,1300,352,0.972000,1.345848,12513.456200,4131.145830,743.025731
32,7,1300,368,0.973370,1.440881,12980.351300,3966.297453,694.019885
32,7,1300,384,0.974800,1.521723,13444.744200,4102.043364,657.150015
32,7,1300,400,0.976060,1.762043,13902.961200,4235.758819,567.522928
32,7,1300,416,0.977630,1.593083,14359.757000,4280.183781,627.713597
32,7,1300,432,0.978770,1.692157,14811.696000,3979.255778,590.961738
32,7,1300,448,0.979630,1.755613,15260.437600,4160.820499,569.601597
32,7,1300,464,0.980660,1.832472,15705.343700,3972.184496,545.711031
