M,MaxLayer,EFC,EFS,Recall,AvgQueryTime_ms,DistOpsPerQuery,BuildTime_ms,QPS
40,7,1300,256,0.968660,1.209104,11510.544600,6419.468188,827.058523
40,7,1300,264,0.969870,1.258429,11810.794100,4277.020901,794.641508
40,7,1300,272,0.971140,1.273653,12107.533200,4489.141772,785.143002
40,7,1300,280,0.972300,1.302332,12403.875100,4472.128950,767.853175
40,7,1300,288,0.973360,1.383942,12697.002700,4252.075150,722.573403
40,7,1300,296,0.974300,1.777224,12990.335300,4204.408187,562.675392
40,7,1300,304,0.975080,1.475253,13281.026900,4569.653444,677.850059
40,7,1300,312,0.975810,1.506805,13569.930400,2591.953485,663.655954
40,7,1300,320,0.976750,1.529766,13857.968100,4556.410595,653.694958
40,7,1300,328,0.977490,1.512116,14144.833500,4313.246662,661.324997
40,7,1300,336,0.978210,1.554811,14429.687800,4317.974024,643.164922
40,7,1300,344,0.978960,1.578548,14714.013900,4471.949198,633.493610
40,7,1300,352,0.979690,1.669761,14996.525200,4392.877385,598.887955
40,7,1300,360,0.980310,2.075877,15276.679700,4354.505053,481.724106
40,7,1300,368,0.980920,1.761160,15557.173000,4848.241160,567.807493
40,7,1300,376,0.981440,1.848454,15834.692000,2681.233336,540.992686
40,7,1300,384,0.981990,1.802486,16112.163500,4607.940895,554.789425
40,7,1300,392,0.982640,1.879951,16389.423300,4454.937999,531.928897
40,7,1300,400,0.983150,1.866215,16663.639900,4500.359268,535.843877
40,7,1300,408,0.983610,1.957239,16937.308600,4418.876490,510.923841
