M,MaxLayer,EFC,EFS,HammingThreshold,Recall,AvgQueryTime_ms,DistOpsPerQuery,BuildTime_ms,QPS
16,7,2000,128,41,0.850780,0.298967,2412.764100,3546.598144,3344.846548
16,7,2000,160,41,0.867910,0.354816,2863.389200,3521.310527,2818.360716
16,7,2000,192,41,0.880490,0.413666,3297.000100,3479.648582,2417.406697
16,7,2000,224,41,0.890300,0.726778,3717.509900,3482.748259,1375.935780
16,7,2000,256,41,0.898360,0.548037,4125.613000,3537.796180,1824.695253
16,7,2000,288,41,0.905450,0.602979,4522.962500,3460.432271,1658.431342
16,7,2000,320,41,0.911130,0.661151,4911.178000,3448.666628,1512.514820
16,7,2000,352,41,0.916340,0.718211,5291.262400,3416.133555,1392.347868
16,7,2000,384,41,0.920740,0.763326,5664.714000,3440.370315,1310.056565
16,7,2000,416,41,0.924650,0.813465,6030.339500,3401.966590,1229.309794
16,7,2000,448,41,0.927860,0.896475,6389.393600,3468.464598,1115.480157
16,7,2000,480,41,0.930930,0.925664,6742.480500,3422.145789,1080.305354
16,7,2000,512,41,0.933730,0.970343,7090.135500,3465.537323,1030.563691
16,7,2000,544,41,0.936260,1.045510,7432.471700,3388.827278,956.470891
16,7,2000,576,41,0.938600,1.074391,7770.815100,3378.158221,930.760259
16,7,2000,608,41,0.940880,1.381132,8103.884900,3415.534458,724.043730
16,7,2000,640,41,0.943070,1.215885,8432.803500,3562.485973,822.445868
16,7,2000,672,41,0.945240,1.274912,8758.486600,3472.015958,784.367685
16,7,2000,704,41,0.946800,1.275281,9078.881200,3487.993586,784.141051
16,7,2000,736,41,0.948380,1.379572,9396.657100,3349.874592,724.862270
16,7,2000,768,41,0.949790,1.414154,9710.137500,3425.713115,707.136350
16,7,2000,800,41,0.951100,1.472674,10020.954600,3526.093028,679.036830
16,7,2000,832,41,0.952220,1.541597,10329.034900,3387.347815,648.677878
16,7,2000,864,41,0.953440,1.576946,10633.961800,3369.387762,634.136989
16,7,2000,896,41,0.954590,1.911217,10935.657400,3362.691765,523.226853
16,7,2000,928,41,0.955810,1.692241,11233.931400,3770.037932,590.932398
16,7,2000,960,41,0.956900,1.734145,11529.859200,3386.546871,576.652973
16,7,2000,992,41,0.957820,1.801252,11823.825600,3349.983105,555.169311
16,7,2000,1024,41,0.958800,1.850084,12115.544600,3380.643525,540.515899
32,7,2000,128,41,0.914220,0.530075,4346.885500,5020.668629,1886.526512
32,7,2000,160,41,0.929030,0.635837,5184.861300,3976.970831,1572.729427
32,7,2000,192,41,0.939670,0.736491,5990.014000,4130.756051,1357.790503
32,7,2000,224,41,0.948010,0.832850,6765.014600,3259.035312,1200.695920
32,7,2000,256,41,0.954250,0.947272,7516.312900,4038.942869,1055.662849
32,7,2000,288,41,0.959150,1.375222,8244.059600,3259.416554,727.155359
32,7,2000,320,41,0.963270,1.174600,8952.895100,4295.879218,851.353426
32,7,2000,352,41,0.966830,1.243256,9643.261700,4044.714331,804.339886
32,7,2000,384,41,0.970000,1.346964,10318.703100,3247.604981,742.410255
32,7,2000,416,41,0.972810,1.478208,10978.746500,3982.420774,676.494933
32,7,2000,448,41,0.974990,1.533051,11625.513000,4017.588936,652.294088
32,7,2000,480,41,0.976730,1.651375,12258.097300,3339.719079,605.556057
32,7,2000,512,41,0.978290,1.754872,12881.780900,4050.223972,569.842005
