M,MaxLayer,EFC,EFS,HammingThreshold,Recall,DistOpsPerQuery,BuildTime_ms,QPS,AvgQueryTime_ms,Reward
32,7,1000,400,38,0.94406,6553.848,4024.631558,902.783195,1.107686,#VALUE!
40,7,1000,416,38,0.94407,7643.5768,4239.784516,738.431342,1.354222,12363.9268
40,7,1300,368,38,0.94485,7123.0116,2414.79039,679.780277,1.471064,11847.2616
40,7,1000,432,38,0.94497,7851.2771,4174.243085,735.836738,1.358997,12576.1271
32,7,1000,416,38,0.94522,6738.1734,4133.734427,888.75361,1.125171,11464.2734
40,7,1000,448,38,0.94588,8055.4697,4078.173256,716.444334,1.395782,12784.8697
40,7,1300,384,38,0.94596,7343.5329,4295.549742,611.10254,1.636387,12073.3329
32,7,1000,432,38,0.94607,6920.1281,1693.953126,814.315803,1.228025,11650.4781
40,7,1000,464,38,0.94662,8257.2697,4180.356373,663.274545,1.507671,12990.3697
32,7,1000,448,38,0.94703,7099.628,4352.264727,823.066892,1.214968,11834.778
40,7,1300,400,38,0.94704,7560.1571,4366.070158,597.262221,1.674306,12295.3571
40,7,1000,480,38,0.94736,8456.5493,4367.624801,687.997922,1.453493,13193.3493
57,7,1000,256,38,0.94763,6546.5223,4978.13996,674.471812,1.482642,11284.6723
32,7,1000,464,38,0.94782,7277.0498,4232.349776,647.533232,1.544322,12016.1498
40,7,1000,496,38,0.94799,8653.5448,4251.609589,658.211424,1.519269,13393.4948
40,7,1300,416,38,0.94806,7774.7072,2120.12357,558.489705,1.790543,12515.0072
40,7,1000,512,38,0.9484,8848.2513,4407.612064,623.77823,1.603134,13590.2513
57,7,1300,256,38,0.94851,6715.4882,4581.400567,929.244697,1.076143,11458.0382
32,7,1000,480,38,0.94852,7452.0662,4003.242055,621.650663,1.60862,12194.6662
40,7,1300,432,38,0.94877,7985.42,4956.472512,674.202848,1.483233,12729.27
32,7,1000,496,38,0.94933,7625.1217,3997.503686,729.480398,1.370839,12371.7717
40,7,1300,448,38,0.94973,8193.1955,4177.349487,681.625243,1.467082,12941.8455
57,7,1000,272,38,0.94979,6838.4996,4542.619533,887.222724,1.127113,11587.4496
32,7,1000,512,38,0.95026,7796.9903,3948.803051,744.226318,1.343677,12548.2903
40,7,1300,464,38,0.95053,8398.2581,4361.58,674.921713,1.481653,13150.9081
57,7,1300,272,38,0.95074,7016.2718,4732.99685,882.390704,1.133285,11769.9718
40,7,1300,480,38,0.95114,8600.9818,4407.239472,638.404909,1.566404,13356.6818
57,7,1000,288,38,0.95166,7125.573,2570.155942,828.18355,1.207462,11883.873
40,7,1300,496,38,0.95171,8800.9087,4365.496523,633.758114,1.577889,13559.4587
40,7,1300,512,38,0.95222,8998.689,4471.68719,621.379584,1.609322,13759.789
57,7,1300,288,38,0.95239,7310.0698,4598.960542,855.370653,1.169084,12072.0198
57,7,1000,304,38,0.95328,7407.2816,4895.477338,628.529396,1.591015,12173.6816
57,7,1300,304,38,0.95392,7598.8494,4219.63724,841.812799,1.187913,12368.4494
57,7,1000,320,38,0.95481,7684.2626,4856.3393,529.088663,1.890042,12458.3126
57,7,1300,320,38,0.95538,7882.3992,4329.140488,821.398239,1.217436,12659.2992
57,7,1000,336,38,0.95589,7955.5871,5412.002457,728.474344,1.372732,12735.0371
32,7,1000,256,42,0.95656,8125.8092,3985.500164,1037.813038,0.963565,12908.6092
57,7,1300,336,38,0.95659,8161.0201,4505.203262,788.639422,1.268007,12943.9701
32,7,1300,256,42,0.95684,8198.3931,3824.140004,756.597249,1.321707,12982.5931
57,7,1000,352,38,0.95706,8222.9817,4917.006184,672.103813,1.487865,13008.2817
57,7,1300,352,38,0.95774,8435.1384,4592.544241,751.491107,1.330688,13223.8384
57,7,1000,368,38,0.95834,8485.9518,5008.107653,624.004234,1.602553,13277.6518
32,7,1000,256,44,0.95875,9511.3361,4046.253268,927.787402,1.077833,14305.0861
57,7,1300,368,38,0.95879,8704.8847,3794.404271,705.022509,1.418394,13498.8347
32,7,1000,256,46,0.95912,10510.9866,1952.730209,917.056749,1.090445,15306.5866
57,7,1000,384,38,0.95915,8743.9354,4754.285726,636.928657,1.570035,13539.6854
32,7,1300,256,44,0.95919,9611.2259,2875.975839,979.08992,1.021357,14407.1759
32,7,1000,256,48,0.95926,11129.5658,3990.689846,957.785211,1.044075,15925.8658
32,7,1000,256,50,0.95931,11456.745,4151.946085,966.953535,1.034176,16253.295
32,7,1000,256,64,0.95932,11688.9544,3987.483002,689.981892,1.449313,16485.5544
32,7,1000,272,42,0.95934,8531,4033.127749,976.358798,1.024214,13327.7
32,7,1300,272,42,0.95959,8608.3034,4015.85481,950.658634,1.051902,13406.2534
32,7,1300,256,46,0.9598,10631.5352,4056.319198,964.519477,1.036786,15430.5352
32,7,1300,256,48,0.95981,11263.6061,4154.581032,990.848074,1.009236,16062.6561
