M,MaxLayer,EFC,EFS,HammingThreshold,Recall,AvgQueryTime_ms,DistOpsPerQuery,BuildTime_ms,QPS
32,7,1000,200,41,0.941670,0.707806,6026.573900,3885.145666,1412.816922
32,7,1000,232,41,0.949520,0.786724,6774.585800,3672.326148,1271.094066
32,7,1000,264,41,0.955310,0.922994,7499.551000,3729.914407,1083.431092
32,7,1000,296,41,0.960250,1.305486,8204.301100,4010.620832,765.998088
32,7,1000,328,41,0.963960,1.096244,8891.133200,4175.093037,912.205940
32,7,1000,360,41,0.967340,1.187297,9560.767400,3876.226682,842.248904
32,7,1000,392,41,0.970160,1.262404,10214.406700,3678.078300,792.139213
32,7,1000,424,41,0.972760,1.378001,10854.905200,3736.683622,725.689059
32,7,1000,456,41,0.974820,1.466833,11482.180300,3903.233006,681.740673
32,7,1000,488,41,0.976590,1.537844,12096.830300,3688.267348,650.260961
32,7,1300,200,41,0.942170,0.710492,6068.239500,3693.204184,1407.475796
32,7,1300,232,41,0.949380,0.811844,6824.547600,3854.927711,1231.764162
32,7,1300,264,41,0.955110,0.894069,7558.805100,3718.911785,1118.482478
32,7,1300,296,41,0.959870,1.032613,8271.013000,4765.254693,968.417030
32,7,1300,328,41,0.963600,1.111450,8964.738400,4180.762032,899.725742
32,7,1300,360,41,0.966930,1.175433,9641.756500,3705.950278,850.750242
32,7,1300,392,41,0.970150,1.320419,10303.357300,3796.145042,757.335439
32,7,1300,424,41,0.972670,1.351776,10951.149100,3726.666839,739.767374
32,7,1300,456,41,0.974680,1.468355,11585.075100,3747.139957,681.034250
32,7,1300,488,41,0.976470,1.564866,12206.252800,3812.942181,639.032358
40,7,1000,200,41,0.950870,0.815598,7013.394700,3923.713932,1226.093512
40,7,1000,232,41,0.957970,0.927556,7892.839400,3924.378220,1078.101680
40,7,1000,264,41,0.963580,1.378993,8747.438700,3912.504954,725.167084
40,7,1000,296,41,0.967890,1.172606,9573.462500,4521.717113,852.801536
40,7,1000,328,41,0.971240,1.285224,10379.426100,3944.967888,778.074372
40,7,1000,360,41,0.974210,1.385163,11163.670500,4088.129589,721.936604
40,7,1000,392,41,0.976510,1.507771,11929.907200,3934.800750,663.230710
40,7,1000,424,41,0.978730,1.623574,12679.273600,3935.696246,615.925001
40,7,1000,456,41,0.980640,1.699865,13412.530100,3927.492117,588.281876
40,7,1000,488,41,0.982190,1.794465,14130.672800,4075.430382,557.269107
40,7,1300,200,41,0.951870,0.824659,7139.610800,3995.706606,1212.622090
40,7,1300,232,41,0.958980,1.311953,8035.551200,4076.941332,762.222327
40,7,1300,264,41,0.964530,1.076568,8903.434900,4640.176246,928.877897
40,7,1300,296,41,0.968570,1.180948,9745.422600,4032.998055,846.777232
40,7,1300,328,41,0.971980,1.330942,10564.058600,4115.399249,751.347504
40,7,1300,360,41,0.974720,1.387459,11362.320400,4009.833033,720.742212
40,7,1300,392,41,0.977010,1.530313,12142.055500,3996.036745,653.460880
40,7,1300,424,41,0.979210,1.645020,12903.634200,3985.266140,607.895396
40,7,1300,456,41,0.981110,1.741190,13650.206200,4007.671173,574.319719
40,7,1300,488,41,0.982740,2.197380,14380.103500,3972.962183,455.087373
57,7,1000,200,41,0.961210,1.015526,8701.192000,5021.014743,984.711264
57,7,1000,232,41,0.967700,1.166108,9789.587200,4261.226843,857.553722
57,7,1000,264,41,0.972620,1.301272,10841.474900,4235.106927,768.478788
57,7,1000,296,41,0.976560,1.407247,11861.071200,4254.005494,710.607174
57,7,1000,328,41,0.979380,1.547577,12851.404000,4446.535205,646.171277
57,7,1000,360,41,0.981670,1.687433,13815.336100,4232.148821,592.616138
57,7,1000,392,41,0.983470,1.856027,14755.529500,4239.408682,538.785352
57,7,1000,424,41,0.985090,2.393465,15672.643100,4230.630282,417.804304
57,7,1000,456,41,0.986360,2.121288,16569.286400,5041.045291,471.411769
57,7,1000,488,41,0.987740,2.232917,17448.211800,4250.916046,447.844663
57,7,1300,200,41,0.962360,1.051677,8957.853300,4326.063957,950.862060
57,7,1300,232,41,0.968540,1.186760,10077.196700,4282.396696,842.630562
57,7,1300,264,41,0.973210,1.313283,11161.593000,4304.075084,761.450336
57,7,1300,296,41,0.976940,1.476199,12210.205200,4304.015421,677.415507
57,7,1300,328,41,0.979590,1.594752,13229.798200,4299.665430,627.056924
57,7,1300,360,41,0.981930,2.140911,14221.127000,4444.583406,467.090862
57,7,1300,392,41,0.983810,1.864077,15187.700000,5139.811999,536.458523
57,7,1300,424,41,0.985420,2.047704,16131.588400,4505.944884,488.351830
57,7,1300,456,41,0.986730,2.184953,17053.753700,4378.861903,457.675815
57,7,1300,488,41,0.987920,2.308005,17956.680900,4373.028460,433.274637
64,7,1000,200,41,0.962300,1.083219,9149.220700,4417.693785,923.174519
64,7,1000,232,41,0.968840,1.260578,10294.144400,4311.129740,793.287113
64,7,1000,264,41,0.973700,1.781882,11402.071800,4340.842630,561.204495
64,7,1000,296,41,0.977590,1.563962,12474.958800,4964.650152,639.401703
64,7,1000,328,41,0.980240,1.738155,13516.223000,4430.261704,575.322723
64,7,1000,360,41,0.982530,1.889884,14529.931400,4368.241908,529.133015
64,7,1000,392,41,0.984160,2.024758,15517.501300,4324.469283,493.886191
64,7,1000,424,41,0.985710,2.201115,16481.760500,4325.598543,454.315297
64,7,1000,456,41,0.986870,2.282903,17422.789600,4456.901048,438.038763
64,7,1000,488,41,0.987990,2.817715,18345.714300,4360.934117,354.897559
