STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c2848_i6_p32,2848,6,32,0,0.9706,2.72,0
c3132_i6_p32,3132,6,32,0,0.9708,2.70,0
c2564_i6_p32,2564,6,32,0,0.9726,2.90,0
c2848_i6_p36,2848,6,36,0,0.9738,1.74,0
c2848_i6_p28,2848,6,28,0,0.9638,2.36,0
c3132_i6_p36,3132,6,36,0,0.9746,1.73,0
c3132_i6_p28,3132,6,28,0,0.9616,2.40,0
c2564_i6_p36,2564,6,36,0,0.9758,2.22,0
c2564_i6_p28,2564,6,28,0,0.9678,2.66,0
c2904_i6_p32,2904,6,32,0,0.9702,2.79,0
c2792_i6_p32,2792,6,32,0,0.9704,2.83,0
c2848_i6_p40,2848,6,40,0,0.9778,1.94,0
c2848_i6_p24,2848,6,24,0,0.9544,2.41,0
c3132_i6_p40,3132,6,40,0,0.9794,1.91,0
c2564_i6_p40,2564,6,40,0,0.9794,1.94,0
c2916_i6_p36,2916,6,36,0,0.9734,1.86,0
c2780_i6_p36,2780,6,36,0,0.9734,1.85,0
c2848_i6_p41,2848,6,41,0,0.9782,2.12,0
c2848_i6_p31,2848,6,31,0,0.9690,2.72,0
c2848_i16_p42,2848,16,42,0,0.9794,2.25,0
c3132_i16_p42,3132,16,42,0,0.9794,1.99,0
c2564_i16_p42,2564,16,42,0,0.9814,1.96,0
c2848_i16_p47,2848,16,47,0,0.9826,2.17,0
c2848_i16_p37,2848,16,37,0,0.9764,1.79,0
c3132_i16_p47,3132,16,47,0,0.9826,2.27,0
c3132_i16_p37,3132,16,37,0,0.9750,1.95,0
c2564_i16_p47,2564,16,47,0,0.9846,2.17,0
c2564_i16_p37,2564,16,37,0,0.9760,2.05,0
c2935_i16_p42,2935,16,42,0,0.9806,1.98,0
c2908_i6_p32,2908,6,32,0,0.9708,2.97,0
c2788_i6_p32,2788,6,32,0,0.9700,5.65,0
c2848_i6_p38,2848,6,38,0,0.9750,1.88,0
c2848_i6_p26,2848,6,26,0,0.9600,5.23,0
c2904_i6_p36,2904,6,36,0,0.9750,1.77,0
c2792_i6_p36,2792,6,36,0,0.9742,1.87,0
c2848_i6_p42,2848,6,42,0,0.9796,2.00,0
c2848_i6_p30,2848,6,30,0,0.9670,2.53,0
c2934_i6_p32,2934,6,32,0,0.9700,2.57,0
c2762_i6_p32,2762,6,32,0,0.9700,2.72,0
c2884_i6_p36,2884,6,36,0,0.9742,1.98,0
c2812_i6_p36,2812,6,36,0,0.9734,1.73,0
c3093_i6_p36,3093,6,36,0,0.9730,2.08,0
c2531_i6_p36,2531,6,36,0,0.9776,1.97,0
c2812_i6_p40,2812,6,40,0,0.9772,1.96,0
c2812_i6_p32,2812,6,32,0,0.9684,2.88,0
c3093_i6_p40,3093,6,40,0,0.9774,2.06,0
c3093_i6_p32,3093,6,32,0,0.9672,2.73,0
c2531_i6_p40,2531,6,40,0,0.9814,2.14,0
c2531_i6_p32,2531,6,32,0,0.9728,2.90,0
c2892_i6_p36,2892,6,36,0,0.9738,2.44,0
c2732_i6_p36,2732,6,36,0,0.9736,2.11,0
c2812_i6_p44,2812,6,44,0,0.9800,2.19,0
c2812_i6_p28,2812,6,28,0,0.9626,2.65,0
c2910_i6_p32,2910,6,32,0,0.9704,4.65,0
c2786_i6_p32,2786,6,32,0,0.9702,4.94,0
c2920_i6_p36,2920,6,36,0,0.9736,1.99,0
c2776_i6_p36,2776,6,36,0,0.9744,2.19,0
c2848_i6_p47,2848,6,47,0,0.9834,2.35,0
c2848_i6_p25,2848,6,25,0,0.9578,2.63,0
c2899_i16_p42,2899,16,42,0,0.9802,4.64,0
c2797_i16_p42,2797,16,42,0,0.9812,2.20,0
c2848_i16_p51,2848,16,51,0,0.9840,2.62,0
c2848_i16_p33,2848,16,33,0,0.9728,4.62,0
c2848_i16_p41,2848,16,41,0,0.9788,2.67,0
c3132_i16_p41,3132,16,41,0,0.9780,2.17,0
c3132_i16_p33,3132,16,33,0,0.9702,3.58,0
c2564_i16_p41,2564,16,41,0,0.9802,2.36,0
c2564_i16_p33,2564,16,33,0,0.9732,1.97,0
c2903_i16_p37,2903,16,37,0,0.9754,1.87,0
c2793_i16_p37,2793,16,37,0,0.9754,1.93,0
c2848_i16_p46,2848,16,46,0,0.9818,2.27,0
c2848_i16_p28,2848,16,28,0,0.9674,3.12,0
c2911_i16_p42,2911,16,42,0,0.9806,2.17,0
c2785_i16_p42,2785,16,42,0,0.9814,2.14,0
c2820_i16_p42,2820,16,42,0,0.9794,2.12,0
c2308_i16_p42,2308,16,42,0,0.9868,2.15,0
c2820_i16_p47,2820,16,47,0,0.9824,4.59,0
c2820_i16_p37,2820,16,37,0,0.9758,2.10,0
c2308_i16_p47,2308,16,47,0,0.9896,2.72,0
c2308_i16_p37,2308,16,37,0,0.9832,1.87,0
c2617_i16_p42,2617,16,42,0,0.9800,2.21,0
c2511_i16_p42,2511,16,42,0,0.9828,2.36,0
c2564_i16_p51,2564,16,51,0,0.9864,2.57,0
c2655_i16_p42,2655,16,42,0,0.9814,2.84,0
c2473_i16_p42,2473,16,42,0,0.9820,2.46,0
c2564_i16_p50,2564,16,50,0,0.9858,2.81,0
c2564_i16_p34,2564,16,34,0,0.9736,1.96,0
