variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
dynamic_struct,0,0,0,0,0,1,0,59,5,763,400,4772.768783,4777.694108, 680.457853, 0.981010, 1.469599, 19990.465800, 15943, 14695.987347,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS400/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,400,3882.045609,3887.188494, 669.647091, 0.981010, 1.493324, 19990.465800, 15943, 14933.238919,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS400/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,400,4125.671661,4131.294024, 691.376925, 0.981010, 1.446389, 19990.465800, 15943, 14463.890302,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS400/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,400,3846.837511,3851.846785, 587.406971, 0.981010, 1.702397, 19990.465800, 15943, 17023.972286,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS400/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,400,3781.532715,5038.402393, 433.520505, 0.000000, 2.306696, 19985.326200, 15816, 23066.959658,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS400/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,400,3936.756402,3941.544246, 589.661926, 0.981010, 1.695887, 19990.465800, 15943, 16958.870095,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS400/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,400,3833.712570,3838.771566, 699.932146, 0.981010, 1.428710, 19990.465800, 15943, 14287.099198,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS400/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,400,4074.842901,4079.909973, 692.474193, 0.981010, 1.444097, 19990.465800, 15943, 14440.971385,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS400/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,400,3873.440321,3878.265867, 720.630063, 0.981010, 1.387675, 19990.465800, 15943, 13876.745521,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS400/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,400,3849.979461,5115.187701, 371.741497, 0.000000, 2.690041, 19985.326200, 15816, 26900.413565,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS400/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,59,5,763,500,3847.871750,3852.821661, 570.494513, 0.986780, 1.752865, 24347.661600, 19198, 17528.652366,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS500/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,500,3926.525905,3932.212831, 552.610585, 0.986780, 1.809593, 24347.661600, 19198, 18095.925531,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS500/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,500,4045.943012,4050.765854, 567.290735, 0.986780, 1.762765, 24347.661600, 19198, 17627.645544,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS500/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,500,3821.179599,3826.237033, 560.922494, 0.986780, 1.782777, 24347.661600, 19198, 17827.774957,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS500/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,500,3862.752292,5122.731189, 338.014594, 0.000000, 2.958452, 24341.842500, 19072, 29584.521399,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS500/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,500,4047.265573,4052.008432, 390.525093, 0.986780, 2.560655, 24347.661600, 19198, 25606.549162,results/ablation_20251204_210425/params_M59_ML5_EFC763_EFS500/no_prefetch/run_stdout_1.log,1
