variant,csr,prefetch,simd,pruning,heap,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
baseline,0,0,0,0,0,51,7,603,432,3760.446363,3766.016206, 719.478609, 0.980050, 1.389895, 0.000000, 0, 13898.953872,results/ablation_20251203_132749/params_M51_ML7_EFC603_EFS432/baseline/run_20251203_132756_065.log
1,,,,,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,51,7,603,432,3743.052147,5033.166988, 417.130509, 0.980050, 2.397331, 0.000000, 0, 23973.312400,results/ablation_20251203_132749/params_M51_ML7_EFC603_EFS432/no_csr/run_20251203_132816_411.log
1,,,,,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,51,7,603,432,3835.064776,3839.858231, 519.086451, 0.980050, 1.926461, 0.000000, 0, 19264.613796,results/ablation_20251203_132749/params_M51_ML7_EFC603_EFS432/no_prefetch/run_20251203_132848_039.log
1,,,,,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,51,7,603,432,3861.254600,3866.786532, 680.883557, 0.980050, 1.468680, 0.000000, 0, 14686.799085,results/ablation_20251203_132749/params_M51_ML7_EFC603_EFS432/no_simd/run_20251203_132913_757.log
1,,,,,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,51,7,603,432,3803.044577,3808.793650, 563.607693, 0.980050, 1.774284, 0.000000, 0, 17742.838003,results/ablation_20251203_132749/params_M51_ML7_EFC603_EFS432/no_pruning/run_20251203_132935_052.log
1,,,,,,,,,,,,,,,,,,
heap,0,0,0,0,1,51,7,603,432,3729.405841,3734.452595, 679.540120, 0.980050, 1.471583, 0.000000, 0, 14715.834581,results/ablation_20251203_132749/params_M51_ML7_EFC603_EFS432/heap/run_20251203_132959_414.log
1,,,,,,,,,,,,,,,,,,
nothting,1,1,1,1,1,51,7,603,432,3837.263045,5131.060374, 356.271253, 0.980050, 2.806850, 0.000000, 0, 28068.500950,results/ablation_20251203_132749/params_M51_ML7_EFC603_EFS432/nothting/run_20251203_133022_072.log
1,,,,,,,,,,,,,,,,,,
