STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c5022_i16_p1064,5022,16,1064,0,.988900,5.400000,0
c5524_i16_p1064,5524,16,1064,0,.985700,4.940000,0
c4520_i16_p1064,4520,16,1064,0,.988600,5.760000,0
c5022_i16_p1197,5022,16,1197,0,.991100,5.835000,0
c5022_i16_p931,5022,16,931,0,.985100,5.165000,0
c5524_i16_p1197,5524,16,1197,0,.989000,5.455000,0
c5524_i16_p931,5524,16,931,0,.981600,4.445000,0
c4520_i16_p1197,4520,16,1197,0,.990500,5.725000,0
c4520_i16_p931,4520,16,931,0,.986100,5.570000,0
c5016_i16_p1169,5016,16,1169,0,.990300,5.930000,0
c3516_i16_p1197,3516,16,1197,0,.994900,7.985000,0
c4520_i16_p1463,4520,16,1463,0,.994400,7.060000,0
c5524_i16_p1463,5524,16,1463,0,.992800,5.925000,0
c3516_i16_p1463,3516,16,1463,0,.997300,8.180000,0
c3516_i16_p931,3516,16,931,0,.990200,4.880000,0
c5084_i16_p1158,5084,16,1158,0,.990000,4.995000,0
c2512_i16_p931,2512,16,931,0,.995500,8.765000,0
c3516_i16_p665,3516,16,665,0,.983400,5.095000,0
c4520_i16_p665,4520,16,665,0,.976700,3.995000,0
c2512_i16_p1197,2512,16,1197,0,.998100,10.550000,0
c2512_i16_p665,2512,16,665,0,.990300,6.335000,0
c4495_i16_p686,4495,16,686,0,.978800,4.060000,0
c4018_i16_p931,4018,16,931,0,.990000,5.160000,0
c3014_i16_p931,3014,16,931,0,.993300,6.585000,0
c3516_i16_p1064,3516,16,1064,0,.992800,6.460000,0
c3516_i16_p798,3516,16,798,0,.987200,5.535000,0
c4018_i16_p1064,4018,16,1064,0,.992300,6.250000,0
c4018_i16_p798,4018,16,798,0,.986400,5.025000,0
c3014_i16_p1064,3014,16,1064,0,.995200,8.275000,0
c3014_i16_p798,3014,16,798,0,.990400,5.730000,0
c3790_i16_p938,3790,16,938,0,.989700,5.055000,0
c3767_i16_p931,3767,16,931,0,.989500,5.640000,0
c3265_i16_p931,3265,16,931,0,.992800,6.375000,0
c3516_i16_p997,3516,16,997,0,.991800,6.935000,0
c3516_i16_p865,3516,16,865,0,.988600,5.985000,0
c3767_i16_p997,3767,16,997,0,.991300,6.560000,0
c3767_i16_p865,3767,16,865,0,.988100,5.790000,0
c3265_i16_p997,3265,16,997,0,.994000,7.315000,0
c3265_i16_p865,3265,16,865,0,.991700,6.420000,0
c3424_i16_p896,3424,16,896,0,.990900,8.335000,0
c3641_i16_p931,3641,16,931,0,.989700,5.410000,0
c3391_i16_p931,3391,16,931,0,.992200,5.870000,0
c3516_i16_p964,3516,16,964,0,.991000,6.105000,0
c3516_i16_p898,3516,16,898,0,.989300,5.650000,0
c3641_i16_p964,3641,16,964,0,.990400,5.665000,0
c3641_i16_p898,3641,16,898,0,.988700,4.560000,0
c3391_i16_p964,3391,16,964,0,.992700,5.355000,0
c3391_i16_p898,3391,16,898,0,.991100,4.905000,0
c3532_i16_p954,3532,16,954,0,.991400,5.775000,0
c3578_i16_p931,3578,16,931,0,.991000,5.575000,0
c3454_i16_p931,3454,16,931,0,.990900,5.750000,0
c3516_i16_p947,3516,16,947,0,.990400,6.060000,0
c3516_i16_p915,3516,16,915,0,.989500,5.545000,0
c3578_i16_p947,3578,16,947,0,.991300,5.600000,0
c3578_i16_p915,3578,16,915,0,.990500,3.890000,0
c3454_i16_p947,3454,16,947,0,.991400,5.230000,0
