timestamp,step,type,C,P,I,recall,time_ms,reward,neighbor_index,event
2025-11-23 17:08:01,1,current,5422,1024,16,.984100,4.180000,202.741058,,
2025-11-23 17:08:01,1,best,5422,1024,16,.984100,4.180000,202.741058,,***NEW_BEST(current)***
2025-11-23 17:11:03,1,neighbor,5964,1024,16,.981500,4.235000,138.898534,1,
2025-11-23 17:13:29,1,neighbor,4880,1024,16,.987200,4.100000,243.902439,2,
2025-11-23 17:13:29,1,best,4880,1024,16,.987200,4.100000,243.902439,2,***NEW_BEST(neighbor)***
2025-11-23 17:16:08,1,neighbor,5422,1152,16,.988800,4.205000,237.812128,3,
2025-11-23 17:18:54,1,neighbor,5422,896,16,.980900,4.190000,131.133782,4,
