variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
dynamic_struct,0,0,0,0,0,1,0,59,5,763,425,17966.599153,17974.263208, 175.870285, 0.982750, 5.686009, 21093.429900, 16854, 56860.088575,results/ablation_20251204_204129/params_M59_ML5_EFC763_EFS425/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,425,17954.690351,17964.933113, 174.453829, 0.982750, 5.732176, 21093.429900, 16854, 57321.756985,results/ablation_20251204_204129/params_M59_ML5_EFC763_EFS425/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,425,17953.737098,17962.819355, 168.784378, 0.982750, 5.924719, 21093.429900, 16854, 59247.189235,results/ablation_20251204_204129/params_M59_ML5_EFC763_EFS425/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,425,17967.244052,17975.382736, 170.418865, 0.982750, 5.867895, 21093.429900, 16854, 58678.949829,results/ablation_20251204_204129/params_M59_ML5_EFC763_EFS425/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,425,17966.687991,24591.015632, 152.937932, 0.000000, 6.538600, 21087.928300, 16727, 65386.002543,results/ablation_20251204_204129/params_M59_ML5_EFC763_EFS425/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,425,17967.344974,17976.158202, 158.709806, 0.982750, 6.300808, 21093.429900, 16854, 63008.078986,results/ablation_20251204_204129/params_M59_ML5_EFC763_EFS425/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,425,17968.274322,17977.128251, 174.214293, 0.982750, 5.740057, 21093.429900, 16854, 57400.571756,results/ablation_20251204_204129/params_M59_ML5_EFC763_EFS425/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,425,17965.706696,17973.307009, 170.925724, 0.982750, 5.850494, 21093.429900, 16854, 58504.944442,results/ablation_20251204_204129/params_M59_ML5_EFC763_EFS425/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,425,17953.540888,17964.145333, 169.710097, 0.982750, 5.892401, 21093.429900, 16854, 58924.013367,results/ablation_20251204_204129/params_M59_ML5_EFC763_EFS425/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,425,17968.729041,24592.131092, 141.329745, 0.000000, 7.075651, 21087.928300, 16727, 70756.513599,results/ablation_20251204_204129/params_M59_ML5_EFC763_EFS425/nothing/run_stdout_1.log,1
