STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c82_i16_p32,82,16,32,COMPILE_FAIL,NA,NA,NA,NA
c50_i16_p32,50,16,32,COMPILE_FAIL,NA,NA,NA,NA
c64_i19_p32,64,19,32,COMPILE_FAIL,NA,NA,NA,NA
c64_i13_p32,64,13,32,COMPILE_FAIL,NA,NA,NA,NA
c64_i16_p44,64,16,44,COMPILE_FAIL,NA,NA,NA,NA
c64_i16_p23,64,16,23,COMPILE_FAIL,NA,NA,NA,NA
c63_i16_p32,63,16,32,OK,111.16,0.9921,45.64,11.00
c65_i16_p32,65,16,32,OK,117.10,0.9909,38.66,11.00
c80_i16_p32,80,16,32,OK,132.17,0.9877,32.56,17.00
c51_i16_p32,51,16,32,OK,123.90,0.9946,49.91,11.00
c64_i15_p32,64,15,32,OK,116.81,0.9923,39.90,10.00
c64_i17_p32,64,17,32,OK,124.36,0.9915,42.35,11.00
c79_i16_p32,79,16,32,OK,135.19,0.9877,33.91,17.00
c81_i16_p32,81,16,32,OK,145.74,0.9873,64.67,17.00
c100_i16_p32,100,16,32,OK,102.07,0.9805,37.41,13.00
c80_i15_p32,80,15,32,OK,137.97,0.9881,33.88,15.00
c80_i17_p32,80,17,32,OK,110.20,0.9873,32.64,12.00
c80_i20_p32,80,20,32,OK,110.47,0.9868,32.95,12.00
c80_i13_p32,80,13,32,OK,110.28,0.9879,32.74,10.00
c80_i16_p31,80,16,31,OK,116.10,0.9866,32.42,12.00
c80_i16_p33,80,16,33,OK,126.60,0.9883,36.36,12.00
c80_i16_p40,80,16,40,OK,141.33,0.9921,42.36,12.00
c80_i16_p26,80,16,26,OK,142.66,0.9798,27.17,19.00
c79_i16_p31,79,16,31,OK,112.57,0.9863,37.06,18.00
c81_i16_p31,81,16,31,OK,102.93,0.9866,38.92,15.00
c100_i16_p31,100,16,31,OK,105.73,0.9787,41.41,17.00
c64_i16_p31,64,16,31,OK,114.08,0.9916,53.74,16.00
c80_i15_p31,80,15,31,OK,108.09,0.9871,45.48,14.00
c80_i17_p31,80,17,31,OK,105.56,0.9860,38.03,15.00
c80_i20_p31,80,20,31,OK,108.33,0.9855,38.76,15.00
c80_i13_p31,80,13,31,OK,104.18,0.9871,35.28,12.00
c80_i16_p30,80,16,30,OK,104.61,0.9852,34.21,13.00
c80_i16_p39,80,16,39,OK,87.96,0.9918,37.98,11.00
c80_i16_p25,80,16,25,OK,74.77,0.9778,24.80,11.00
c62_i13_p43,62,13,43,OK,100.00,0.9974,52.21,9.00
c103_i19_p23,103,19,23,OK,70.02,0.9637,18.90,13.00
