variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,adaptive_ep,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1000,4586.635331,4592.275976, 208.075947, 0.998630, 4.805938, 64271.749500, 55773, 48059.375083,results/ablation_20251215_173729/params_M57_ML7_EFC1400_EFS1000/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1000,4643.578813,4649.620612, 222.389145, 0.998630, 4.496622, 64271.749500, 55773, 44966.223541,results/ablation_20251215_173729/params_M57_ML7_EFC1400_EFS1000/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,1000,4651.521576,4656.798919, 222.066546, 0.998630, 4.503155, 64271.749500, 55773, 45031.546569,results/ablation_20251215_173729/params_M57_ML7_EFC1400_EFS1000/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,1000,4618.703953,4624.321193, 230.186671, 0.998630, 4.344300, 61856.413400, 53486, 43443.001879,results/ablation_20251215_173729/params_M57_ML7_EFC1400_EFS1000/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1050,4671.604392,4678.285233, 217.376146, 0.998740, 4.600321, 66854.723500, 57916, 46003.207693,results/ablation_20251215_173729/params_M57_ML7_EFC1400_EFS1050/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1050,4598.952757,4605.021193, 216.392052, 0.998740, 4.621242, 66854.723500, 57916, 46212.418146,results/ablation_20251215_173729/params_M57_ML7_EFC1400_EFS1050/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,1050,4500.852347,4506.137283, 218.186572, 0.998740, 4.583233, 66854.723500, 57916, 45832.334626,results/ablation_20251215_173729/params_M57_ML7_EFC1400_EFS1050/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,1050,4565.415889,4570.753555, 198.928434, 0.998750, 5.026933, 64437.781100, 55563, 50269.334457,results/ablation_20251215_173729/params_M57_ML7_EFC1400_EFS1050/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1100,4599.206079,4604.450219, 210.294068, 0.998930, 4.755246, 69416.209100, 59934, 47552.458710,results/ablation_20251215_173729/params_M57_ML7_EFC1400_EFS1100/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1100,4577.129094,4582.330312, 207.028919, 0.998930, 4.830243, 69416.209100, 59934, 48302.430650,results/ablation_20251215_173729/params_M57_ML7_EFC1400_EFS1100/full/run_stdout_1.log,1
