STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c800_i4_p800,800,4,800,OK,140,1.0,72.36,52
c800_i4_p1024,800,4,1024,OK,138,1.0,71.14,51
c80_i8_p800,80,8,800,OK,91,1.0,70.19,7
c80_i8_p80,80,8,80,OK,93,1.0,72.04,7
c80_i8_p648,80,8,648,OK,88,1.0,66.08,6
c64_i8_p64,64,8,64,OK,89,1.0,69.91,6
c64_i8_p648,64,8,648,OK,79,1.0,58.52,6
c64_i8_p80,64,8,80,OK,91,1.0,71.12,6
c64_i8_p800,64,8,800,OK,89,1.0,68.53,6
c64_i8_p144,64,8,144,OK,90,1.0,69.59,6
c64_i8_p200,64,8,200,OK,91,1.0,69.71,6
c64_i8_p256,64,8,256,OK,89,1.0,69.05,6
c64_i8_p324,64,8,324,OK,92,1.0,71.0,6
c64_i8_p400,64,8,400,OK,89,1.0,66.22,6
c64_i8_p512,64,8,512,OK,87,1.0,65.16,6
c64_i4_p512,64,4,512,OK,90,1.0,70.02,4
c64_i4_p64,64,4,64,OK,90,1.0,71.67,4
c64_i4_p64,64,4,64,OK,86,1.0,67.52,4
c64_i4_p648,64,4,648,OK,89,1.0,71.03,4
c64_i4_p80,64,4,80,OK,88,1.0,69.97,4
