NUM_CENTROIDS,KMEANS_ITER,NPROBE,RECALL_mean,RECALL_std,ELAPSED_s_mean,AVG_QUERY_TIME_MS_mean,runs
64,1,48,0.9996,,41.0,24.53,1
64,1,64,0.9996,,47.0,31.21,1
64,1,32,0.9996,,42.0,24.91,1
96,1,48,0.9996,,37.0,19.87,1
64,1,128,0.9996,,51.0,34.33,1
64,1,112,0.9996,,51.0,34.44,1
64,1,96,0.9996,,50.0,33.86,1
64,1,80,0.9996,,50.0,33.22,1
1024,1,112,0.9996,,23.0,5.41,1
1024,1,96,0.9996,,22.0,4.86,1
896,1,96,0.9996,,23.0,5.64,1
896,1,80,0.9996,,21.0,4.46,1
768,1,128,0.9996,,25.0,7.63,1
96,1,32,0.9996,,30.0,13.14,1
96,1,64,0.9996,,37.0,21.08,1
128,1,48,0.9996,,32.0,15.56,1
192,1,64,0.9996,,29.0,12.66,1
192,1,80,0.9996,,32.0,15.41,1
128,1,64,0.9996,,33.0,17.25,1
192,1,96,0.9996,,34.0,17.94,1
256,1,64,0.9996,,25.0,9.59,1
768,1,112,0.9996,,23.0,6.82,1
768,1,96,0.9996,,23.0,6.08,1
768,1,80,0.9996,,21.0,5.03,1
1280,1,112,0.9996,,22.0,4.58,1
1024,1,128,0.9996,,23.0,5.91,1
1280,1,128,0.9996,,23.0,5.04,1
768,1,64,0.9994,,20.0,4.32,1
64,1,16,0.9994,,31.0,13.42,1
256,1,96,0.9994,,31.0,14.65,1
256,1,80,0.9994,,28.0,12.28,1
896,1,112,0.9994,,23.0,5.98,1
128,1,128,0.9994,,64.0,39.36,1
192,1,112,0.9994,,36.0,20.19,1
128,1,80,0.9994,,36.0,20.8,1
128,1,96,0.9994,,41.0,24.68,1
128,1,112,0.9994,,44.0,28.35,1
96,1,128,0.9994,,55.0,38.43,1
96,1,96,0.9994,,49.0,33.38,1
96,1,112,0.9994,,49.0,33.52,1
896,1,128,0.9994,,23.0,6.33,1
96,1,80,0.9994,,42.0,26.38,1
192,1,48,0.9992,,27.0,11.13,1
384,1,64,0.9992,,22.0,6.84,1
256,1,48,0.9992,,26.0,8.94,1
128,1,32,0.9992,,26.0,10.11,1
512,1,80,0.9992,,23.0,7.22,1
512,1,96,0.9992,,25.0,8.45,1
1536,1,112,0.999,,22.0,4.17,1
1280,1,96,0.999,,21.0,4.16,1
1024,1,80,0.999,,22.0,4.58,1
512,1,128,0.999,,27.0,9.92,1
384,1,96,0.999,,26.0,10.23,1
256,1,112,0.999,,32.0,16.3,1
512,1,112,0.999,,26.0,9.41,1
192,1,32,0.999,,24.0,7.66,1
512,1,64,0.999,,22.0,5.67,1
384,1,80,0.999,,24.0,8.52,1
384,1,48,0.999,,22.0,5.97,1
384,1,112,0.9988,,28.0,11.72,1
