STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s,RECALL_PER_SEC
c256_i1_p80,256,1,80,OK,28.0,0.9994,12.28,1.0,0.035692857142857144
c384_i1_p80,384,1,80,OK,24.0,0.999,8.52,1.0,0.041625
c512_i1_p80,512,1,80,OK,23.0,0.9992,7.22,1.0,0.04344347826086956
c640_i1_p80,640,1,80,OK,22.0,0.9984,5.78,1.0,0.04538181818181818
c768_i1_p80,768,1,80,OK,21.0,0.9996,5.03,1.0,0.0476
c896_i1_p80,896,1,80,OK,21.0,0.9996,4.46,1.0,0.0476
c1024_i1_p80,1024,1,80,OK,22.0,0.999,4.58,1.0,0.045409090909090906
c1280_i1_p80,1280,1,80,OK,21.0,0.9986,3.56,2.0,0.04755238095238096
c1536_i1_p80,1536,1,80,OK,21.0,0.9974,3.22,2.0,0.04749523809523809
c2048_i1_p80,2048,1,80,OK,21.0,0.9936,2.91,3.0,0.04731428571428572
c2560_i1_p80,2560,1,80,OK,21.0,0.9934,2.74,3.0,0.047304761904761905
c3072_i1_p80,3072,1,80,OK,23.0,0.9918,2.69,5.0,0.04312173913043478
c4096_i1_p80,4096,1,80,OK,23.0,0.987,2.61,5.0,0.042913043478260866
c5120_i1_p80,5120,1,80,OK,24.0,0.9824,2.6,6.0,0.040933333333333335
c6144_i1_p80,6144,1,80,OK,25.0,0.9804,2.7,7.0,0.039216
c64_i1_p96,64,1,96,OK,50.0,0.9996,33.86,0.0,0.019992
c96_i1_p96,96,1,96,OK,49.0,0.9994,33.38,0.0,0.020395918367346937
c128_i1_p96,128,1,96,OK,41.0,0.9994,24.68,0.0,0.02437560975609756
c192_i1_p96,192,1,96,OK,34.0,0.9996,17.94,0.0,0.029400000000000003
c256_i1_p96,256,1,96,OK,31.0,0.9994,14.65,1.0,0.032238709677419354
c384_i1_p96,384,1,96,OK,26.0,0.999,10.23,1.0,0.03842307692307692
c512_i1_p96,512,1,96,OK,25.0,0.9992,8.45,1.0,0.039968
c640_i1_p96,640,1,96,OK,24.0,0.9984,6.98,1.0,0.0416
c768_i1_p96,768,1,96,OK,23.0,0.9996,6.08,1.0,0.04346086956521739
c896_i1_p96,896,1,96,OK,23.0,0.9996,5.64,1.0,0.04346086956521739
c1024_i1_p96,1024,1,96,OK,22.0,0.9996,4.86,1.0,0.045436363636363636
c1280_i1_p96,1280,1,96,OK,21.0,0.999,4.16,2.0,0.04757142857142857
c1536_i1_p96,1536,1,96,OK,21.0,0.9984,3.82,2.0,0.047542857142857144
c2048_i1_p96,2048,1,96,OK,22.0,0.996,3.36,2.0,0.04527272727272727
c2560_i1_p96,2560,1,96,OK,22.0,0.9962,3.15,3.0,0.04528181818181818
c3072_i1_p96,3072,1,96,OK,23.0,0.994,3.15,4.0,0.043217391304347826
c4096_i1_p96,4096,1,96,OK,25.0,0.9904,3.06,5.0,0.039616
c5120_i1_p96,5120,1,96,OK,25.0,0.9868,3.02,6.0,0.039472
c6144_i1_p96,6144,1,96,OK,27.0,0.9848,3.08,7.0,0.036474074074074075
c8192_i1_p96,8192,1,96,OK,29.0,0.9806,3.14,10.0,0.03381379310344828
c64_i1_p112,64,1,112,OK,51.0,0.9996,34.44,0.0,0.0196
c96_i1_p112,96,1,112,OK,49.0,0.9994,33.52,0.0,0.020395918367346937
c128_i1_p112,128,1,112,OK,44.0,0.9994,28.35,0.0,0.022713636363636363
c192_i1_p112,192,1,112,OK,36.0,0.9994,20.19,0.0,0.02776111111111111
c256_i1_p112,256,1,112,OK,32.0,0.999,16.3,1.0,0.03121875
c384_i1_p112,384,1,112,OK,28.0,0.9988,11.72,1.0,0.03567142857142857
c512_i1_p112,512,1,112,OK,26.0,0.999,9.41,1.0,0.03842307692307692
c640_i1_p112,640,1,112,OK,24.0,0.9984,7.62,1.0,0.0416
c768_i1_p112,768,1,112,OK,23.0,0.9996,6.82,1.0,0.04346086956521739
c896_i1_p112,896,1,112,OK,23.0,0.9994,5.98,1.0,0.04345217391304348
c1024_i1_p112,1024,1,112,OK,23.0,0.9996,5.41,1.0,0.04346086956521739
c1280_i1_p112,1280,1,112,OK,22.0,0.9996,4.58,2.0,0.045436363636363636
c1536_i1_p112,1536,1,112,OK,22.0,0.999,4.17,2.0,0.045409090909090906
c2048_i1_p112,2048,1,112,OK,22.0,0.9972,3.61,3.0,0.04532727272727272
c2560_i1_p112,2560,1,112,OK,22.0,0.9974,3.4,3.0,0.04533636363636363
c3072_i1_p112,3072,1,112,OK,24.0,0.9968,3.09,4.0,0.04153333333333333
c4096_i1_p112,4096,1,112,OK,24.0,0.9932,2.76,5.0,0.041383333333333334
c5120_i1_p112,5120,1,112,OK,25.0,0.99,2.93,6.0,0.039599999999999996
c6144_i1_p112,6144,1,112,OK,27.0,0.9884,2.99,8.0,0.03660740740740741
c8192_i1_p112,8192,1,112,OK,28.0,0.9852,2.81,10.0,0.035185714285714285
c10240_i1_p112,10240,1,112,OK,31.0,0.9826,3.04,12.0,0.03169677419354839
c12288_i1_p112,12288,1,112,OK,34.0,0.9808,2.97,15.0,0.028847058823529413
c64_i1_p128,64,1,128,OK,51.0,0.9996,34.33,0.0,0.0196
c96_i1_p128,96,1,128,OK,55.0,0.9994,38.43,0.0,0.01817090909090909
c128_i1_p128,128,1,128,OK,64.0,0.9994,39.36,1.0,0.015615625
c192_i1_p128,192,1,128,OK,43.0,0.997,26.52,1.0,0.02318604651162791
c256_i1_p128,256,1,128,OK,39.0,0.9913,20.95,1.0,0.025417948717948717
c384_i1_p128,384,1,128,OK,32.0,0.9988,14.23,1.0,0.0312125
c512_i1_p128,512,1,128,OK,27.0,0.999,9.92,1.0,0.037
c640_i1_p128,640,1,128,OK,26.0,0.9984,9.02,1.0,0.0384
c768_i1_p128,768,1,128,OK,25.0,0.9996,7.63,1.0,0.039984
c896_i1_p128,896,1,128,OK,23.0,0.9994,6.33,1.0,0.04345217391304348
c1024_i1_p128,1024,1,128,OK,23.0,0.9996,5.91,1.0,0.04346086956521739
c1280_i1_p128,1280,1,128,OK,23.0,0.9996,5.04,2.0,0.04346086956521739
