STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s,RECALL_PER_SEC
c64_i1_p8,64,1,8,OK,27.0,0.9916,9.95,0.0,0.036725925925925926
c96_i1_p8,96,1,8,OK,24.0,0.9826,7.49,1.0,0.04094166666666667
c64_i1_p16,64,1,16,OK,31.0,0.9994,13.42,1.0,0.032238709677419354
c96_i1_p16,96,1,16,OK,26.0,0.9976,9.77,1.0,0.038369230769230774
c128_i1_p16,128,1,16,OK,26.0,0.9966,8.46,1.0,0.03833076923076923
c192_i1_p16,192,1,16,OK,25.0,0.9916,7.13,1.0,0.039664000000000005
c256_i1_p16,256,1,16,OK,22.0,0.986,4.64,1.0,0.04481818181818182
c384_i1_p16,384,1,16,OK,21.0,0.9828,3.48,1.0,0.0468
c64_i1_p32,64,1,32,OK,42.0,0.9996,24.91,0.0,0.0238
c96_i1_p32,96,1,32,OK,30.0,0.9996,13.14,0.0,0.03332
c128_i1_p32,128,1,32,OK,26.0,0.9992,10.11,0.0,0.03843076923076923
c192_i1_p32,192,1,32,OK,24.0,0.999,7.66,1.0,0.041625
c256_i1_p32,256,1,32,OK,22.0,0.9984,6.51,1.0,0.04538181818181818
c384_i1_p32,384,1,32,OK,21.0,0.9976,4.39,1.0,0.047504761904761904
c512_i1_p32,512,1,32,OK,19.0,0.995,3.58,1.0,0.05236842105263158
c640_i1_p32,640,1,32,OK,20.0,0.9922,3.31,1.0,0.04961
c768_i1_p32,768,1,32,OK,20.0,0.9912,3.08,1.0,0.04956
c896_i1_p32,896,1,32,OK,20.0,0.9876,3.27,1.0,0.04938
c1024_i1_p32,1024,1,32,OK,20.0,0.9852,2.98,2.0,0.04926
c1280_i1_p32,1280,1,32,OK,21.0,0.9846,2.9,2.0,0.04688571428571429
c1536_i1_p32,1536,1,32,OK,20.0,0.9808,2.85,2.0,0.04904
c64_i1_p48,64,1,48,OK,41.0,0.9996,24.53,0.0,0.02438048780487805
c96_i1_p48,96,1,48,OK,37.0,0.9996,19.87,0.0,0.027016216216216218
c128_i1_p48,128,1,48,OK,32.0,0.9996,15.56,0.0,0.0312375
c192_i1_p48,192,1,48,OK,27.0,0.9992,11.13,0.0,0.037007407407407406
c256_i1_p48,256,1,48,OK,26.0,0.9992,8.94,1.0,0.03843076923076923
c384_i1_p48,384,1,48,OK,22.0,0.999,5.97,1.0,0.045409090909090906
c512_i1_p48,512,1,48,OK,20.0,0.9988,4.51,1.0,0.04994
c640_i1_p48,640,1,48,OK,20.0,0.9966,3.85,1.0,0.04983
c768_i1_p48,768,1,48,OK,20.0,0.9978,3.57,1.0,0.049890000000000004
c896_i1_p48,896,1,48,OK,20.0,0.996,3.44,1.0,0.0498
c1024_i1_p48,1024,1,48,OK,20.0,0.995,3.04,2.0,0.04975
c1280_i1_p48,1280,1,48,OK,20.0,0.9936,3.02,2.0,0.04968
c1536_i1_p48,1536,1,48,OK,21.0,0.9904,2.63,2.0,0.04716190476190476
c2048_i1_p48,2048,1,48,OK,20.0,0.9836,2.33,3.0,0.04918
c64_i1_p64,64,1,64,OK,47.0,0.9996,31.21,0.0,0.02126808510638298
c96_i1_p64,96,1,64,OK,37.0,0.9996,21.08,0.0,0.027016216216216218
c128_i1_p64,128,1,64,OK,33.0,0.9996,17.25,0.0,0.03029090909090909
c192_i1_p64,192,1,64,OK,29.0,0.9996,12.66,0.0,0.03446896551724138
c256_i1_p64,256,1,64,OK,25.0,0.9996,9.59,1.0,0.039984
c384_i1_p64,384,1,64,OK,22.0,0.9992,6.84,1.0,0.045418181818181816
c512_i1_p64,512,1,64,OK,22.0,0.999,5.67,1.0,0.045409090909090906
c640_i1_p64,640,1,64,OK,21.0,0.9984,5.02,1.0,0.047542857142857144
c768_i1_p64,768,1,64,OK,20.0,0.9994,4.32,1.0,0.04997
c896_i1_p64,896,1,64,OK,20.0,0.9986,3.96,1.0,0.04993
c1024_i1_p64,1024,1,64,OK,20.0,0.9972,3.91,1.0,0.04986
c1280_i1_p64,1280,1,64,OK,20.0,0.997,3.39,2.0,0.04985
c1536_i1_p64,1536,1,64,OK,21.0,0.996,3.07,2.0,0.04742857142857143
c2048_i1_p64,2048,1,64,OK,21.0,0.9902,2.9,3.0,0.04715238095238095
c2560_i1_p64,2560,1,64,OK,21.0,0.9892,2.94,3.0,0.047104761904761906
c3072_i1_p64,3072,1,64,OK,22.0,0.9878,2.82,4.0,0.0449
c4096_i1_p64,4096,1,64,OK,23.0,0.981,2.88,5.0,0.042652173913043476
c64_i1_p80,64,1,80,OK,50.0,0.9996,33.22,0.0,0.019992
c96_i1_p80,96,1,80,OK,42.0,0.9994,26.38,0.0,0.023795238095238095
c128_i1_p80,128,1,80,OK,36.0,0.9994,20.8,0.0,0.02776111111111111
c192_i1_p80,192,1,80,OK,32.0,0.9996,15.41,1.0,0.0312375
