variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
dynamic_struct,0,0,0,0,0,1,0,59,5,763,425,18924.035236,18935.476440, 155.011528, 0.982750, 6.451133, 21093.429900, 16854, 64511.330905,results/ablation_20251204_205143/params_M59_ML5_EFC763_EFS425/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,425,18942.389829,18957.055326, 153.910106, 0.982750, 6.497299, 21093.429900, 16854, 64972.991618,results/ablation_20251204_205143/params_M59_ML5_EFC763_EFS425/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,425,18934.795116,18946.189836, 151.886881, 0.982750, 6.583847, 21093.429900, 16854, 65838.470903,results/ablation_20251204_205143/params_M59_ML5_EFC763_EFS425/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,425,18943.796901,18957.848115, 155.216058, 0.982750, 6.442632, 21093.429900, 16854, 64426.323644,results/ablation_20251204_205143/params_M59_ML5_EFC763_EFS425/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,425,18942.336637,25479.366661, 129.896607, 0.000000, 7.698430, 21087.928300, 16727, 76984.304840,results/ablation_20251204_205143/params_M59_ML5_EFC763_EFS425/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,425,18942.958104,18956.891814, 141.204479, 0.982750, 7.081928, 21093.429900, 16854, 70819.283077,results/ablation_20251204_205143/params_M59_ML5_EFC763_EFS425/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,425,18852.219776,18863.590259, 155.179225, 0.982750, 6.444162, 21093.429900, 16854, 64441.615901,results/ablation_20251204_205143/params_M59_ML5_EFC763_EFS425/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,425,18912.172261,18924.324343, 151.502022, 0.982750, 6.600572, 21093.429900, 16854, 66005.719643,results/ablation_20251204_205143/params_M59_ML5_EFC763_EFS425/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,425,18942.835582,18957.452787, 152.495620, 0.982750, 6.557565, 21093.429900, 16854, 65575.654099,results/ablation_20251204_205143/params_M59_ML5_EFC763_EFS425/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,425,18942.779496,25479.057702, 123.085333, 0.000000, 8.124445, 21087.928300, 16727, 81244.448338,results/ablation_20251204_205143/params_M59_ML5_EFC763_EFS425/nothing/run_stdout_1.log,1
