STAMP,NUM_CENTROIDS,KMEAN_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c947_i6_p277,947,6,277,OK,NA,0.9834,13.14,21.0
c994_i6_p277,994,6,277,OK,NA,0.9815,15.12,22.0
c899_i6_p277,899,6,277,OK,NA,0.9849,15.93,18.0
c947_i6_p318,947,6,318,OK,NA,0.9878,18.1,23.0
c947_i6_p235,947,6,235,OK,NA,0.9765,11.99,21.0
c947_i7_p277,947,7,277,OK,NA,0.9821,13.16,23.0
c947_i5_p277,947,5,277,OK,NA,0.9802,16.97,19.0
c987_i6_p244,987,6,244,OK,NA,0.9766,10.85,22.0
c878_i6_p317,878,6,317,OK,NA,0.9891,15.61,20.0
c910_i6_p305,910,6,305,OK,NA,0.9876,14.29,19.0
c1018_i6_p277,1018,6,277,OK,NA,0.9805,13.86,21.0
c875_i6_p277,875,6,277,OK,NA,0.9851,13.72,20.0
c947_i6_p339,947,6,339,OK,NA,0.99,16.99,20.0
c947_i6_p214,947,6,214,OK,NA,0.9737,9.02,23.0
c866_i6_p214,866,6,214,OK,NA,0.9764,11.7,19.0
c1031_i6_p353,1031,6,353,OK,NA,0.9886,20.41,23.0
c1021_i6_p316,1021,6,316,OK,NA,0.9858,13.47,23.0
