variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
dynamic_struct,0,0,0,0,0,1,0,80,11,1301,1000,4435.312154,4440.661469, 244.646288, 0.997880, 4.087534, 53111.763900, 37568, 40875.339173,results/ablation_20251206_125021/params_M80_ML11_EFC1301_EFS1000/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,80,11,1301,1000,4431.262957,4436.723762, 242.831040, 0.997880, 4.118090, 53111.763900, 37568, 41180.896861,results/ablation_20251206_125021/params_M80_ML11_EFC1301_EFS1000/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,80,11,1301,1000,4399.967340,4405.638627, 234.042540, 0.997880, 4.272728, 53111.763900, 37568, 42727.275213,results/ablation_20251206_125021/params_M80_ML11_EFC1301_EFS1000/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,80,11,1301,1000,4396.198085,4401.626909, 228.935940, 0.997880, 4.368034, 53111.763900, 37568, 43680.341325,results/ablation_20251206_125021/params_M80_ML11_EFC1301_EFS1000/heap/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,80,11,1301,1000,4377.864437,4383.266715, 195.565698, 0.997880, 5.113371, 53111.763900, 37568, 51133.711472,results/ablation_20251206_125021/params_M80_ML11_EFC1301_EFS1000/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,80,11,1301,1000,4784.477906,4791.434113, 212.530918, 0.997880, 4.705198, 53111.763900, 37568, 47051.977532,results/ablation_20251206_125021/params_M80_ML11_EFC1301_EFS1000/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,80,11,1301,1000,4303.411818,4308.786205, 223.885383, 0.997880, 4.466571, 53111.763900, 37568, 44665.711874,results/ablation_20251206_125021/params_M80_ML11_EFC1301_EFS1000/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,80,11,1301,1000,4438.889547,4444.214252, 227.063963, 0.997880, 4.404045, 53111.763900, 37568, 44040.453935,results/ablation_20251206_125021/params_M80_ML11_EFC1301_EFS1000/no_simd/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,80,11,1301,1020,2738.127785,4454.141977, 232.224560, 0.997940, 4.306177, 54020.161900, 38297, 43061.767393,results/ablation_20251206_125021/params_M80_ML11_EFC1301_EFS1020/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,80,11,1301,1020,4351.918380,4357.945423, 234.351878, 0.997940, 4.267088, 54020.161900, 38297, 42670.876250,results/ablation_20251206_125021/params_M80_ML11_EFC1301_EFS1020/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,80,11,1301,1020,2657.857059,4395.291521, 239.521526, 0.997940, 4.174990, 54020.161900, 38297, 41749.900992,results/ablation_20251206_125021/params_M80_ML11_EFC1301_EFS1020/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,80,11,1301,1020,4354.786340,4360.149703, 234.382022, 0.997940, 4.266539, 54020.161900, 38297, 42665.388298,results/ablation_20251206_125021/params_M80_ML11_EFC1301_EFS1020/heap/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,80,11,1301,1020,4354.638727,4360.151716, 198.097138, 0.997940, 5.048029, 54020.161900, 38297, 50480.285179,results/ablation_20251206_125021/params_M80_ML11_EFC1301_EFS1020/no_prefetch/run_stdout_1.log,1
