STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c7541_i16_p339,7541,16,339,0,0.9321,1.93,0
c8378_i16_p381,8378,16,381,0,0.9357,2.05,0
c8378_i16_p339,8378,16,339,0,0.9315,2.09,0
c9215_i16_p339,9215,16,339,0,0.929,2.1,0
c1556_i16_p257,1556,16,257,0,0.9747,2.95,0
c1651_i16_p363,1651,16,363,0,0.984,3.19,0
c2474_i16_p257,2474,16,257,0,0.9575,3.19,0
c2474_i16_p407,2474,16,407,0,0.975,3.25,0
c3296_i16_p579,3296,16,579,0,0.9815,3.3,0
c1689_i16_p375,1689,16,375,0,0.986,3.51,0
c2015_i16_p257,2015,16,257,0,0.9658,3.81,0
c3231_i16_p644,3231,16,644,0,0.9842,3.91,0
c1707_i16_p377,1707,16,377,0,0.9848,3.93,0
c1689_i16_p350,1689,16,350,0,0.9836,3.95,0
c2933_i16_p407,2933,16,407,0,0.9712,4.09,0
c2798_i16_p583,2798,16,583,0,0.9836,4.09,0
c1727_i16_p387,1727,16,387,0,0.9842,4.26,0
c1752_i16_p399,1752,16,399,0,0.986,4.32,0
c1689_i16_p371,1689,16,371,0,0.9858,4.32,0
c1689_i16_p400,1689,16,400,0,0.9874,4.4,0
c2807_i16_p576,2807,16,576,0,0.9836,4.47,0
c3174_i16_p768,3174,16,768,0,0.9886,4.58,0
c2474_i16_p557,2474,16,557,0,0.9849,4.73,0
c1613_i16_p400,1613,16,400,0,0.9875,4.74,0
c2933_i16_p707,2933,16,707,0,0.9891,4.76,0
c1657_i16_p381,1657,16,381,0,0.9863,4.78,0
c3300_i16_p598,3300,16,598,0,0.9816,4.98,0
c2933_i16_p557,2933,16,557,0,0.9811,5.03,0
c2912_i16_p684,2912,16,684,0,0.9878,5.06,0
c3248_i16_p625,3248,16,625,0,0.9839,5.2,0
c3114_i16_p607,3114,16,607,0,0.9822,5.26,0
c1839_i16_p381,1839,16,381,0,0.9823,5.29,0
c3348_i16_p655,3348,16,655,0,0.984,5.31,0
c1727_i16_p363,1727,16,363,0,0.983,5.33,0
c3156_i16_p624,3156,16,624,0,0.9838,5.41,0
c2015_i16_p407,2015,16,407,0,0.9828,5.45,0
c1765_i16_p350,1765,16,350,0,0.9805,5.46,0
c1689_i16_p363,1689,16,363,0,0.9847,5.49,0
c1721_i16_p371,1721,16,371,0,0.9849,5.55,0
c1842_i16_p350,1842,16,350,0,0.9797,5.57,0
c1765_i16_p375,1765,16,375,0,0.9833,5.61,0
c1657_i16_p371,1657,16,371,0,0.986,5.61,0
c2006_i16_p430,2006,16,430,0,0.9846,5.61,0
c1721_i16_p379,1721,16,379,0,0.9851,5.66,0
c3044_i16_p662,3044,16,662,0,0.9856,5.66,0
c3082_i16_p621,3082,16,621,0,0.9838,5.7,0
c1695_i16_p385,1695,16,385,0,0.9862,5.71,0
c1689_i16_p369,1689,16,369,0,0.9853,5.75,0
c1727_i16_p375,1727,16,375,0,0.9837,5.77,0
c1721_i16_p375,1721,16,375,0,0.9851,5.77,0
c3018_i16_p560,3018,16,560,0,0.9811,5.8,0
