variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,adaptive_ep,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1000,4733.511896,4738.990133, 220.773648, 0.998630, 4.529526, 64271.749500, 55773, 45295.260945,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1000/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1000,4725.111709,4730.693518, 223.234742, 0.998630, 4.479589, 64271.749500, 55773, 44795.894740,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1000/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,1000,4770.260677,4775.960850, 198.957007, 0.998630, 5.026212, 64271.749500, 55773, 50262.115050,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1000/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,1000,4934.880295,4940.759997, 203.480205, 0.998630, 4.914483, 61856.413400, 53486, 49144.829502,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1000/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1050,4715.534576,4720.977543, 210.840004, 0.998740, 4.742933, 66854.723500, 57916, 47429.329409,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1050/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1050,4577.024803,4582.459885, 212.041180, 0.998740, 4.716065, 66854.723500, 57916, 47160.650610,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1050/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,1050,4744.231241,4749.729832, 202.001249, 0.998740, 4.950464, 66854.723500, 57916, 49504.644356,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1050/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,1050,4957.711323,4964.297438, 191.045768, 0.998750, 5.234348, 64437.781100, 55563, 52343.478302,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1050/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1100,4569.603228,4575.019902, 199.646368, 0.998930, 5.008856, 69416.209100, 59934, 50088.564684,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1100/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1100,4579.342987,4584.880281, 202.061886, 0.998930, 4.948979, 69416.209100, 59934, 49489.788379,results/ablation_20251215_185810/params_M57_ML7_EFC1400_EFS1100/full/run_stdout_1.log,1
