timestamp,study_name,trial_id,m,max_layer,efc,efs,K,avg_recall,avg_time_ms,build_time_ms,reward_score,status
2025-11-28T20:10:27.270210,local_fast_search,,40,5,959,457,10,0.98283,2.260803,1491067.688594,442.57371525028935,COMPLETE
2025-11-28T20:32:47.568282,local_fast_search,,39,3,856,521,10,0.98527,2.555456,1309192.048689,391.81659227629046,COMPLETE
2025-11-28T21:04:23.993675,local_fast_search,,40,5,959,457,10,0.98299,2.212161,1483270.936532,452.31566387301825,COMPLETE
2025-11-28T21:26:33.207625,local_fast_search,,39,3,856,521,10,0.98493,2.514639,1297162.913659,398.13439537722917,COMPLETE
2025-11-28T22:26:11.645827,local_fast_search,,40,5,959,457,10,0.98292,2.125997,1384412.02541,470.629549907173,COMPLETE
2025-11-28T22:46:51.855285,local_fast_search,,39,3,856,521,10,0.98518,2.076844,1212015.407247,481.98781414107174,COMPLETE
2025-11-28T23:08:08.189764,local_fast_search,,42,4,850,546,10,0.98721,2.211937,1248056.146995,452.78344205418153,COMPLETE
2025-11-28T23:30:43.353053,local_fast_search,,43,3,875,357,10,0.97553,1.856395,1323472.31411,-523.8499999999997,COMPLETE
2025-11-28T23:53:16.648558,local_fast_search,,40,4,913,383,10,0.97678,1.582741,1326461.427332,-517.5999999999998,COMPLETE
2025-11-29T00:31:25.563691,local_fast_search,,40,17,959,457,10,0.98292,1.960167,1409369.973938,510.42261386606344,COMPLETE
