variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,adaptive_ep,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
with_adaptive_ep,0,0,0,0,0,0,0,0,57,7,2000,100,4712.975912,4718.364125, 1668.243128, 0.922340, 0.599433, 0.000000, 0, 5994.330103,result-ablation-ep/ablation_20251215_212538/EFS100/with_adaptive_ep/run_1.log,1
without_adaptive_ep,0,0,0,0,0,0,0,1,57,7,2000,100,4807.882190,4813.777954, 1698.652032, 0.922340, 0.588702, 0.000000, 0, 5887.020892,result-ablation-ep/ablation_20251215_212538/EFS100/without_adaptive_ep/run_1.log,1
with_adaptive_ep,0,0,0,0,0,0,0,0,57,7,2000,200,4692.473031,4698.124888, 909.900283, 0.963980, 1.099022, 0.000000, 0, 10990.215290,result-ablation-ep/ablation_20251215_212538/EFS200/with_adaptive_ep/run_1.log,1
without_adaptive_ep,0,0,0,0,0,0,0,1,57,7,2000,200,4779.471140,4785.534852, 905.322135, 0.963980, 1.104579, 0.000000, 0, 11045.792006,result-ablation-ep/ablation_20251215_212538/EFS200/without_adaptive_ep/run_1.log,1
with_adaptive_ep,0,0,0,0,0,0,0,0,57,7,2000,300,4858.847526,4865.019510, 620.835292, 0.978650, 1.610733, 0.000000, 0, 16107.331745,result-ablation-ep/ablation_20251215_212538/EFS300/with_adaptive_ep/run_1.log,1
without_adaptive_ep,0,0,0,0,0,0,0,1,57,7,2000,300,4783.275436,4789.784335, 619.356505, 0.978650, 1.614579, 0.000000, 0, 16145.789884,result-ablation-ep/ablation_20251215_212538/EFS300/without_adaptive_ep/run_1.log,1
with_adaptive_ep,0,0,0,0,0,0,0,0,57,7,2000,400,5370.714151,5376.861437, 476.371836, 0.985050, 2.099201, 0.000000, 0, 20992.005090,result-ablation-ep/ablation_20251215_212538/EFS400/with_adaptive_ep/run_1.log,1
without_adaptive_ep,0,0,0,0,0,0,0,1,57,7,2000,400,5001.697857,5008.125372, 486.245461, 0.985050, 2.056574, 0.000000, 0, 20565.744676,result-ablation-ep/ablation_20251215_212538/EFS400/without_adaptive_ep/run_1.log,1
with_adaptive_ep,0,0,0,0,0,0,0,0,57,7,2000,500,5090.835895,5096.530222, 409.121091, 0.988830, 2.444264, 0.000000, 0, 24442.641101,result-ablation-ep/ablation_20251215_212538/EFS500/with_adaptive_ep/run_1.log,1
without_adaptive_ep,0,0,0,0,0,0,0,1,57,7,2000,500,4793.749814,4799.454936, 399.138021, 0.988830, 2.505399, 0.000000, 0, 25053.990056,result-ablation-ep/ablation_20251215_212538/EFS500/without_adaptive_ep/run_1.log,1
