variant,csr,prefetch,simd,pruning,heap,flat_index,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
baseline,0,0,0,0,0,0,40,17,648,888,3916.415343,3921.424356, 349.573904, 0.993140, 2.860625, 34613.232000, 26797, 28606.254316
results/ablation_20251203_143520/params_M40_ML17_EFC648_EFS888/baseline/run_20251203_143525_687.log,1,,,,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,0,40,17,648,888,3759.748931,4870.292448, 185.612998, 0.993140, 5.387554, 34613.237100, 26797, 53875.537437
results/ablation_20251203_143520/params_M40_ML17_EFC648_EFS888/no_csr/run_20251203_143601_073.log,1,,,,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,0,40,17,648,888,3776.194299,3780.962185, 288.064146, 0.993140, 3.471449, 34613.232000, 26797, 34714.490337
results/ablation_20251203_143520/params_M40_ML17_EFC648_EFS888/no_prefetch/run_20251203_143703_028.log,1,,,,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,0,40,17,648,888,3716.377164,3721.114724, 338.637514, 0.993140, 2.953010, 34613.232000, 26797, 29530.101016
results/ablation_20251203_143520/params_M40_ML17_EFC648_EFS888/no_simd/run_20251203_143745_715.log,1,,,,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,0,40,17,648,888,3721.172070,3725.923666, 361.057375, 0.993140, 2.769643, 34613.232000, 26797, 27696.429120
results/ablation_20251203_143520/params_M40_ML17_EFC648_EFS888/no_pruning/run_20251203_143821_721.log,1,,,,,,,,,,,,,,,,,
heap,0,0,0,0,1,0,40,17,648,888,3719.388224,3724.152615, 345.341569, 0.993140, 2.895684, 34613.232000, 26797, 28956.838343
results/ablation_20251203_143520/params_M40_ML17_EFC648_EFS888/heap/run_20251203_143855_890.log,1,,,,,,,,,,,,,,,,,
dynamic_struct,0,0,0,0,0,1,40,17,648,888,3765.943947,3770.872146, 296.862107, 0.993140, 3.368567, 34613.232000, 26797, 33685.673492
results/ablation_20251203_143520/params_M40_ML17_EFC648_EFS888/dynamic_struct/run_20251203_143931_328.log,1,,,,,,,,,,,,,,,,,
nothing,1,1,1,1,1,0,40,17,648,888,3674.400872,4735.487223, 190.272294, 0.993140, 5.255626, 34613.237100, 26797, 52556.259075
results/ablation_20251203_143520/params_M40_ML17_EFC648_EFS888/nothing/run_20251203_144012_037.log,1,,,,,,,,,,,,,,,,,
baseline,0,0,0,0,0,0,34,15,434,1196,3559.185347,3564.372456, 313.338597, 0.993330, 3.191436, 37548.978300, 29277, 31914.357470
results/ablation_20251203_143520/params_M34_ML15_EFC434_EFS1196/baseline/run_20251203_144113_533.log,1,,,,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,0,34,15,434,1196,3577.871995,4635.199377, 151.917449, 0.993330, 6.582522, 37548.978300, 29277, 65825.223341
results/ablation_20251203_143520/params_M34_ML15_EFC434_EFS1196/no_csr/run_20251203_144151_817.log,1,,,,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,0,34,15,434,1196,3610.144894,3615.877295, 252.717314, 0.993330, 3.956990, 37548.978300, 29277, 39569.904636
results/ablation_20251203_143520/params_M34_ML15_EFC434_EFS1196/no_prefetch/run_20251203_144305_399.log,1,,,,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,0,34,15,434,1196,3544.694726,3549.680236, 312.003147, 0.993330, 3.205096, 37548.978300, 29277, 32050.958808
results/ablation_20251203_143520/params_M34_ML15_EFC434_EFS1196/no_simd/run_20251203_144352_945.log,1,,,,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,0,34,15,434,1196,3912.701105,3918.449767, 320.701431, 0.993330, 3.118165, 37548.978300, 29277, 31181.650728
results/ablation_20251203_143520/params_M34_ML15_EFC434_EFS1196/no_pruning/run_20251203_144431_314.log,1,,,,,,,,,,,,,,,,,
heap,0,0,0,0,1,0,34,15,434,1196,3497.221046,3501.898062, 327.192520, 0.993330, 3.056305, 37548.978300, 29277, 30563.045881
results/ablation_20251203_143520/params_M34_ML15_EFC434_EFS1196/heap/run_20251203_144509_615.log,1,,,,,,,,,,,,,,,,,
dynamic_struct,0,0,0,0,0,1,34,15,434,1196,3530.497864,3535.824086, 294.945719, 0.993330, 3.390454, 37548.978300, 29277, 33904.543637
results/ablation_20251203_143520/params_M34_ML15_EFC434_EFS1196/dynamic_struct/run_20251203_144546_438.log,1,,,,,,,,,,,,,,,,,
nothing,1,1,1,1,1,0,34,15,434,1196,3501.309982,4611.327496, 174.609785, 0.993330, 5.727056, 37548.978300, 29277, 57270.558989
results/ablation_20251203_143520/params_M34_ML15_EFC434_EFS1196/nothing/run_20251203_144626_896.log,1,,,,,,,,,,,,,,,,,
baseline,0,0,0,0,0,0,50,20,927,1960,1767688.386084,1772564.736751, 154.654548, 0.999190, 6.466024, 80577.690600, 56214, 64660.238791
results/ablation_20251203_143520/params_M50_ML20_EFC927_EFS1960/baseline/run_20251203_144733_087.log,1,,,,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,0,50,20,927,1960,4016.680518,5407.703350, 78.799351, 0.999190, 12.690460, 80577.690600, 56214, 126904.597979
results/ablation_20251203_143520/params_M50_ML20_EFC927_EFS1960/no_csr/run_20251203_151813_394.log,1,,,,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,0,50,20,927,1960,3976.945904,3982.658117, 119.194035, 0.999190, 8.389682, 80577.690600, 56214, 83896.815755
results/ablation_20251203_143520/params_M50_ML20_EFC927_EFS1960/no_prefetch/run_20251203_152030_395.log,1,,,,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,0,50,20,927,1960,4143.027664,4149.462393, 146.514013, 0.999190, 6.825286, 80577.690600, 56214, 68252.857160
results/ablation_20251203_143520/params_M50_ML20_EFC927_EFS1960/no_simd/run_20251203_152203_101.log,1,,,,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,0,50,20,927,1960,4034.097914,4039.961343, 153.140723, 0.999190, 6.529942, 80577.690600, 56214, 65299.417464
results/ablation_20251203_143520/params_M50_ML20_EFC927_EFS1960/no_pruning/run_20251203_152319_984.log,1,,,,,,,,,,,,,,,,,
