NUM_CENTROIDS,KMEANS_ITER,NPROBE,RECALL_mean,ELAPSED_mean,AVG_QUERY_TIME_MS_mean,INDEX_BUILD_TIME_s_mean,runs
32,4,2,0.7619,32.0,14.35,2.0,2
32,4,4,0.8626,35.0,17.12,2.0,2
32,4,8,0.9367,40.0,22.33,2.0,1
32,4,16,0.9859,54.4,37.013999999999996,1.4,5
32,4,32,1.0,86.0,68.4,2.5,2
32,4,48,1.0,83.0,65.19,2.0,2
32,4,64,1.0,86.0,69.39,2.0,3
32,4,80,1.0,86.0,67.74,2.0,1
32,4,128,1.0,108.66666666666667,69.39999999999999,2.0,3
32,4,144,1.0,88.0,69.41,2.0,1
32,4,200,1.0,86.0,69.39,2.0,1
32,4,256,1.0,86.5,69.71000000000001,2.0,2
32,4,324,1.0,86.0,68.25,2.0,1
32,4,400,1.0,87.0,69.2,2.0,1
32,4,512,1.0,88.0,71.025,1.5,2
32,4,648,1.0,87.0,68.97,2.0,1
32,4,800,1.0,85.0,68.63,2.0,1
32,4,1024,1.0,84.0,68.34,2.0,1
32,8,4,0.8818,36.0,18.9,3.0,2
32,8,16,0.9889,57.0,38.98,3.0,1
32,8,32,1.0,92.0,73.63,3.0,1
32,8,64,1.0,92.0,74.44,3.0,1
32,8,80,1.0,93.0,75.17,3.0,1
32,8,128,1.0,91.0,72.38,3.0,1
32,8,144,1.0,92.0,73.17,3.0,1
32,8,200,1.0,93.0,73.39,3.0,1
32,8,256,1.0,92.0,74.75,3.0,1
32,8,324,1.0,92.0,74.35,3.0,1
32,8,400,1.0,88.0,68.7,3.0,1
32,8,512,1.0,87.0,67.72,3.0,1
32,8,648,1.0,84.0,65.48,3.0,1
32,8,800,1.0,90.0,70.62,3.0,1
32,16,4,0.8915,38.0,19.17,5.0,1
32,16,32,1.0,94.0,74.94,4.0,1
32,16,48,1.0,95.0,74.48,5.0,1
32,16,64,1.0,96.0,76.87,4.0,1
32,20,4,0.8942,41.0,19.33,6.0,1
32,32,4,0.8962,43.0,19.26,8.0,1
64,4,2,0.7071,27.0,9.1,4.0,1
64,4,8,0.8934,32.0,13.26,4.0,1
64,4,16,0.9508,38.0,19.083333333333332,4.0,3
64,4,32,0.9883,55.0,35.959999999999994,3.5,2
64,4,48,0.998,71.0,51.6,4.0,1
64,4,64,1.0,88.0,69.595,4.0,2
64,4,80,1.0,88.0,69.97,4.0,1
64,4,128,1.0,87.0,67.47,4.0,2
64,4,144,1.0,91.0,72.32,4.0,1
64,4,200,1.0,91.0,71.69,3.0,1
64,4,256,1.0,91.0,71.56,4.5,2
64,4,324,1.0,91.0,71.27,4.0,1
64,4,400,1.0,92.0,72.78,4.0,1
64,4,512,1.0,90.0,70.02,4.0,1
64,4,648,1.0,89.0,71.03,4.0,1
64,4,800,1.0,90.0,72.02,3.0,1
64,4,1024,1.0,88.0,69.72,3.0,1
64,8,16,0.9562,40.0,20.58,6.0,1
64,8,32,0.9903,59.0,38.56,6.0,1
64,8,64,1.0,89.0,69.91,6.0,1
64,8,80,1.0,91.0,71.12,6.0,1
64,8,128,1.0,91.0,69.44,6.0,1
64,8,144,1.0,90.0,69.59,6.0,1
64,8,200,1.0,91.0,69.71,6.0,1
64,8,256,1.0,89.0,69.05,6.0,1
64,8,324,1.0,92.0,71.0,6.0,1
64,8,400,1.0,89.0,66.22,6.0,1
64,8,512,1.0,87.0,65.16,6.0,1
64,8,648,1.0,79.0,58.52,6.0,1
64,8,800,1.0,89.0,68.53,6.0,1
64,16,8,0.9137,86.0,13.35,11.0,1
64,16,16,0.9627,71.0,21.53,11.0,1
