NUM_CENTROIDS,KMEANS_ITER,NPROBE,RECALL_mean,RECALL_std,ELAPSED_s_mean,AVG_QUERY_TIME_MS_mean,runs
1024,4,1024,1.0,,151.0,71.91,1
64,8,80,1.0,,91.0,71.12,1
64,8,64,1.0,,89.0,69.91,1
64,4,1024,1.0,,88.0,69.72,1
64,4,800,1.0,,90.0,72.02,1
64,4,648,1.0,,89.0,71.03,1
64,4,512,1.0,,90.0,70.02,1
64,4,400,1.0,,92.0,72.78,1
64,4,324,1.0,,91.0,71.27,1
64,8,400,1.0,,89.0,66.22,1
64,8,324,1.0,,92.0,71.0,1
64,8,256,1.0,,89.0,69.05,1
64,8,200,1.0,,91.0,69.71,1
64,8,144,1.0,,90.0,69.59,1
64,8,128,1.0,,91.0,69.44,1
64,4,64,1.0,0.0,88.0,69.595,2
80,4,400,1.0,,92.0,72.19,1
80,4,324,1.0,,92.0,72.28,1
80,4,256,1.0,0.0,91.0,71.2,2
80,4,200,1.0,,92.0,72.73,1
80,4,144,1.0,,91.0,71.9,1
80,4,128,1.0,0.0,90.5,71.265,2
80,4,80,1.0,,91.0,69.41,1
32,16,64,1.0,,96.0,76.87,1
32,16,48,1.0,,95.0,74.48,1
32,16,32,1.0,,94.0,74.94,1
64,4,256,1.0,0.0,91.0,71.56,2
64,4,200,1.0,,91.0,71.69,1
64,4,144,1.0,,91.0,72.32,1
64,4,128,1.0,0.0,87.0,67.47,2
64,4,80,1.0,,88.0,69.97,1
64,32,256,1.0,,127.0,73.58,1
64,32,512,1.0,,128.0,73.38,1
64,16,256,1.0,,123.0,74.16,1
64,16,128,1.0,0.0,122.0,70.43,3
64,16,512,1.0,,123.0,73.25,1
64,8,512,1.0,,87.0,65.16,1
64,32,128,1.0,,129.0,73.47,1
64,32,64,1.0,,128.0,73.57,1
64,8,800,1.0,,89.0,68.53,1
64,16,64,1.0,0.0,111.0,70.92666666666666,3
64,8,648,1.0,,79.0,58.52,1
80,4,512,1.0,,92.0,71.19,1
128,16,128,1.0,,130.0,76.48,1
128,16,256,1.0,,132.0,78.25,1
128,32,512,1.0,,137.0,75.01,1
128,32,256,1.0,,137.0,75.1,1
128,8,648,1.0,,93.0,67.93,1
128,8,800,1.0,,95.0,70.95,1
512,8,512,1.0,,120.0,64.23,1
128,4,200,1.0,,94.0,70.14,1
128,4,256,1.0,0.0,94.5,71.075,2
128,4,512,1.0,,94.0,69.76,1
128,4,400,1.0,,95.0,71.39,1
128,4,324,1.0,,93.0,70.74,1
80,8,200,1.0,,93.0,70.28,1
80,8,256,1.0,,92.0,70.5,1
128,4,144,1.0,,94.0,70.91,1
128,4,128,1.0,0.0,93.0,69.92,2
800,4,800,1.0,,140.0,72.36,1
800,4,1024,1.0,,138.0,71.14,1
512,8,648,1.0,,125.0,70.43,1
512,16,512,1.0,,180.0,80.9,1
128,4,648,1.0,,94.0,70.62,1
128,4,800,1.0,,93.0,70.66,1
128,8,400,1.0,,94.0,68.17,1
128,8,512,1.0,,90.0,64.3,1
128,16,512,1.0,,129.0,74.95,1
128,8,200,1.0,,99.0,72.62,1
128,8,324,1.0,,96.0,69.37,1
128,8,256,1.0,,94.0,69.28,1
80,4,1024,1.0,,90.0,69.45,1
80,4,800,1.0,,92.0,71.82,1
80,4,648,1.0,,91.0,69.79,1
80,8,800,1.0,,91.0,70.19,1
80,8,648,1.0,,88.0,66.08,1
80,8,512,1.0,,87.0,64.21,1
80,8,400,1.0,,91.0,67.58,1
80,8,324,1.0,,93.0,69.47,1
80,8,128,1.0,,95.0,72.29,1
80,8,144,1.0,,93.0,71.58,1
80,8,80,1.0,,93.0,72.04,1
128,32,128,1.0,,137.0,74.78,1
32,4,200,1.0,,86.0,69.39,1
32,4,256,1.0,0.0,86.5,69.71000000000001,2
32,8,32,1.0,,92.0,73.63,1
32,8,64,1.0,,92.0,74.44,1
32,8,400,1.0,,88.0,68.7,1
256,16,512,1.0,,162.0,75.72,1
256,8,648,1.0,,104.0,69.66,1
256,16,256,1.0,,141.0,60.28,1
256,8,256,1.0,,110.0,74.82,1
256,4,256,1.0,0.0,106.0,75.155,2
256,8,400,1.0,,108.0,72.84,1
256,8,324,1.0,,110.0,75.04,1
512,4,648,1.0,,121.0,73.76,1
512,4,800,1.0,,123.0,75.29,1
