STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s,RECALL_PER_SEC
c80_i4_p8,80,4,8,OK,30,0.8797,10.95,5,0.029323333333333333
c128_i4_p8,128,4,8,OK,30,0.8548,7.46,8,0.028493333333333332
c64_i4_p8,64,4,8,OK,32,0.8934,13.26,4,0.02791875
c128_i4_p16,128,4,16,OK,34,0.9162,10.66,7,0.02694705882352941
c128_i4_p16,128,4,16,OK,34,0.9162,10.66,7,0.02694705882352941
c80_i4_p16,80,4,16,OK,35,0.9366,15.15,5,0.02676
c186_i4_p16,186,4,16,OK,34,0.897,7.63,11,0.02638235294117647
c186_i4_p16,186,4,16,OK,34,0.897,7.63,11,0.02638235294117647
c64_i4_p2,64,4,2,OK,27,0.7071,9.1,4,0.026188888888888887
c186_i4_p8,186,4,8,OK,32,0.8337,5.5,12,0.026053125
c80_i4_p16,80,4,16,OK,36,0.9366,15.15,5,0.026016666666666667
c80_i4_p2,80,4,2,OK,27,0.6942,7.26,5,0.02571111111111111
c64_i4_p16,64,4,16,OK,37,0.9508,19.02,4,0.025697297297297295
c64_i4_p16,64,4,16,OK,38,0.9508,19.02,4,0.025021052631578947
c32_i4_p4,32,4,4,OK,35,0.8626,17.12,2,0.024645714285714288
c32_i4_p4,32,4,4,OK,35,0.8626,17.12,2,0.024645714285714288
c32_i8_p4,32,8,4,OK,36,0.8818,18.9,3,0.024494444444444444
c32_i8_p4,32,8,4,OK,36,0.8818,18.9,3,0.024494444444444444
c64_i4_p16,64,4,16,OK,39,0.9508,19.21,4,0.02437948717948718
c128_i4_p2,128,4,2,OK,28,0.6716,5.26,8,0.023985714285714284
