timestamp,step,type,C,P,I,recall,time_ms,reward,neighbor_index,event
2025/11/22 9:53,38,neighbor,12022,347,16,0.997,0.36,2314.814814,7,
2025/11/22 9:53,38,best,12022,347,16,0.997,0.36,2314.814814,7,***NEW_BEST(neighbor)***
2025/11/22 9:58,39,current,12022,347,16,0.997,0.36,2314.814814,,
2025/11/22 10:10,39,current,12022,347,16,0.997,0.36,2314.814814,,STEP_DOWN
2025/11/22 10:10,40,current,12022,347,16,0.997,0.36,2314.814814,,
2025/11/22 10:28,40,current,12022,347,16,0.997,0.36,2314.814814,,STEP_DOWN
2025/11/22 10:28,41,current,12022,347,16,0.997,0.36,2314.814814,,
2025/11/22 7:45,32,neighbor,12100,343,16,0.997,0.57,1461.988303,1,
2025/11/22 7:45,32,best,12100,343,16,0.997,0.57,1461.988303,1,***NEW_BEST(neighbor)***
2025/11/22 8:00,33,current,12100,343,16,0.997,0.57,1461.988303,,
2025/11/22 8:11,33,current,12100,343,16,0.997,0.57,1461.988303,,STEP_DOWN
2025/11/22 8:11,34,current,12100,343,16,0.997,0.57,1461.988303,,
2025/11/22 8:33,34,current,12100,343,16,0.997,0.57,1461.988303,,STEP_DOWN
2025/11/22 8:33,35,current,12100,343,16,0.997,0.57,1461.988303,,
2025/11/22 8:54,35,current,12100,343,16,0.997,0.57,1461.988303,,STEP_DOWN
2025/11/22 8:54,36,current,12100,343,16,0.997,0.57,1461.988303,,
2025/11/22 9:15,36,current,12100,343,16,0.997,0.57,1461.988303,,STEP_DOWN
2025/11/22 9:15,37,current,12100,343,16,0.997,0.57,1461.988303,,
2025/11/22 9:37,37,current,12100,343,16,0.997,0.57,1461.988303,,STEP_DOWN
2025/11/22 9:37,38,current,12100,343,16,0.997,0.57,1461.988303,,
2025/11/22 10:05,39,neighbor,12100,343,16,0.997,0.57,1461.988303,6,
2025/11/22 8:28,34,neighbor,10845,406,16,0.9974,0.75,1149.425287,7,
2025/11/22 8:40,35,neighbor,12100,374,16,0.9974,0.79,1091.226537,3,
2025/11/22 4:27,9,neighbor,9267,255,16,0.9964,0.81,979.815794,1,
2025/11/22 3:26,4,neighbor,9215,255,16,0.997,0.83,1004.016064,7,
2025/11/22 3:26,4,best,9215,255,16,0.997,0.83,1004.016064,7,***NEW_BEST(neighbor)***
2025/11/22 3:30,5,current,9215,255,16,0.997,0.83,1004.016064,,
2025/11/22 3:33,5,current,9215,255,16,0.997,0.83,1004.016064,,STEP_DOWN
2025/11/22 3:33,6,current,9215,255,16,0.997,0.83,1004.016064,,
2025/11/22 3:51,6,current,9215,255,16,0.997,0.83,1004.016064,,STEP_DOWN
2025/11/22 3:51,7,current,9215,255,16,0.997,0.83,1004.016064,,
2025/11/22 4:08,7,current,9215,255,16,0.997,0.83,1004.016064,,STEP_DOWN
2025/11/22 4:08,8,current,9215,255,16,0.997,0.83,1004.016064,,
2025/11/22 4:26,8,current,9215,255,16,0.997,0.83,1004.016064,,STEP_DOWN
2025/11/22 4:26,9,current,9215,255,16,0.997,0.83,1004.016064,,
2025/11/22 4:43,9,current,9215,255,16,0.997,0.83,1004.016064,,STEP_DOWN
2025/11/22 4:43,10,current,9215,255,16,0.997,0.83,1004.016064,,
2025/11/22 4:56,10,current,7007,252,16,0.997,0.83,1004.016064,,BIG_JUMP
