variant,csr,prefetch,simd,pruning,heap,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
baseline,0,0,0,0,0,5162.535824,5167.965004, 704.533478, 0.980050, 1.419379, 0.000000, 0, 14193.789668,results/ablation_20251203_122152/baseline/run_20251203_122157_536.log
1,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,1054320.713831,1055577.816005, 396.209897, 0.980060, 2.523915, 0.000000, 0, 25239.147395,results/ablation_20251203_122152/no_csr/run_20251203_122219_574.log
1,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,3801.611720,3807.530352, 569.843580, 0.980050, 1.754868, 0.000000, 0, 17548.675385,results/ablation_20251203_122152/no_prefetch/run_20251203_124023_486.log
1,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,3798.173302,3803.194548, 722.704976, 0.980050, 1.383690, 0.000000, 0, 13836.904870,results/ablation_20251203_122152/no_simd/run_20251203_124048_811.log
1,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,3753.640385,3758.847792, 705.606776, 0.980050, 1.417220, 0.000000, 0, 14172.199502,results/ablation_20251203_122152/no_pruning/run_20251203_124109_066.log
1,,,,,,,,,,,,,,
heap,0,0,0,0,1,3751.811595,3757.351912, 708.448906, 0.980050, 1.411534, 0.000000, 0, 14115.343983,results/ablation_20251203_122152/heap/run_20251203_124129_761.log
1,,,,,,,,,,,,,,
