timestamp,study_name,trial_id,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,K,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s,reward_score,status
2025-12-06T07:49:53.527650,efs_search,-1,55,11,1286,2000,10,0.99944,7.315111,1727980.531761,7.315111,COMPLETE
2025-12-06T10:41:20.553126,efs_search,-1,44,4,1409,2000,10,0.99941,7.037024,1776603.792665,7.037024,COMPLETE
2025-12-06T06:50:30.584279,efs_search,-1,80,11,1301,2000,10,0.9994,7.663727,1832579.314356,7.663727,COMPLETE
2025-12-06T06:14:06.902200,efs_search,-1,70,1,1096,2000,10,0.99935,7.450699,1500893.994504,7.450699,COMPLETE
2025-12-06T08:17:34.737650,efs_search,-1,82,13,985,2000,10,0.99935,7.365744,1308712.234579,7.365744,COMPLETE
2025-12-06T04:27:42.641381,efs_search,-1,52,12,957,2000,10,0.99917,10.381716,1411662.211851,10.381716,COMPLETE
2025-12-06T07:15:31.906267,efs_search,-1,51,10,944,2000,10,0.99915,6.838515,1172507.192051,6.838515,COMPLETE
2025-12-04T20:02:49.295240,efs_search,-1,59,5,763,2000,10,0.99899,7.175622,6367.948278,7.175622,COMPLETE
2025-12-06T09:32:38.208106,efs_search,-1,67,6,985,2000,10,0.99848,7.120913,1311115.742222,7.120913,COMPLETE
2025-12-06T10:54:38.753211,efs_search,-1,58,8,455,2000,10,0.99844,5.697905,478461.890434,5.697905,COMPLETE
2025-12-06T06:51:18.775640,efs_search,-1,80,11,1301,1040,10,0.99803,4.046293,4156.362329,4.046293,COMPLETE
2025-12-06T07:50:39.336555,efs_search,-1,55,11,1286,1040,10,0.99776,3.904864,4262.255513,3.904864,COMPLETE
2025-12-06T06:14:53.906266,efs_search,-1,70,1,1096,1040,10,0.99762,4.002727,5472.683389,4.002727,COMPLETE
2025-12-04T21:36:44.578122,efs_search,-1,32,5,530,2000,10,0.99754,5.42024,5131.106472,5.42024,COMPLETE
2025-12-04T20:09:40.354128,efs_search,-1,33,5,511,2000,10,0.9975,5.207406,4976.616294,5.207406,COMPLETE
2025-12-06T08:18:20.985244,efs_search,-1,82,13,985,1040,10,0.99748,3.84706,4352.484977,3.84706,COMPLETE
2025-12-06T10:42:03.599477,efs_search,-1,44,4,1409,1040,10,0.99733,3.735668,3087.21944,3.735668,COMPLETE
2025-12-06T04:28:48.064824,efs_search,-1,52,12,957,1040,10,0.99695,5.725683,6298.564882,5.725683,COMPLETE
2025-12-06T07:16:14.313601,efs_search,-1,51,10,944,1040,10,0.99684,3.591643,4000.691156,3.591643,COMPLETE
2025-12-04T20:03:34.418918,efs_search,-1,59,5,763,1040,10,0.99667,3.645615,4130.072754,3.645615,COMPLETE
