timestamp,study_name,trial_id,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,K,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s,reward_score,status,RECALL_PER_SEC
2025-12-06T06:52:25.235132,efs_search,-1,80,11,1301,200,10,0.96017,0.847487,4132.190231,1000198.3,COMPLETE,0.00480085
2025-12-06T06:52:42.696026,efs_search,-1,80,11,1301,260,10,0.97285,1.082084,4101.653118,1000071.5,COMPLETE,0.0037417307692307693
2025-12-06T06:53:00.180268,efs_search,-1,80,11,1301,290,10,0.97685,1.19332,4139.162174,1000031.5,COMPLETE,0.003368448275862069
2025-12-06T06:53:19.335749,efs_search,-1,80,11,1301,305,10,0.97866,1.257899,4063.845824,1000013.4,COMPLETE,0.0032087213114754096
2025-12-06T06:53:37.873946,efs_search,-1,80,11,1301,313,10,0.97958,1.281137,4169.785164,1000004.2,COMPLETE,0.0031296485623003197
2025-12-06T06:53:57.458019,efs_search,-1,80,11,1301,317,10,0.97992,1.30389,4052.469026,1000000.8,COMPLETE,0.003091230283911672
2025-12-06T06:54:34.380721,efs_search,-1,80,11,1301,318,10,0.98,1.288454,4293.459874,1000000.0,COMPLETE,0.003081761006289308
2025-12-06T06:54:34.392795,hnsw_graph_opt_v1,6,80,11,1301,318,10,0.98,1.288454,4293.459874,1000000.0,COMPLETE,0.003081761006289308
2025-12-06T06:54:15.816785,efs_search,-1,80,11,1301,319,10,0.98008,1.297694,4039.279135,1.297694,COMPLETE,0.003072351097178683
2025-12-06T06:52:11.286934,efs_search,-1,80,11,1301,320,10,0.98018,1.324356,4288.203575,1.324356,COMPLETE,0.0030630625000000002
2025-12-06T07:51:27.362263,efs_search,-1,55,11,1286,320,10,0.97849,1.269966,5210.821459,1000015.1,COMPLETE,0.0030577812499999997
2025-12-06T06:15:40.879698,efs_search,-1,70,1,1096,320,10,0.97845,1.253069,3924.105214,1000015.5,COMPLETE,0.00305765625
2025-12-06T08:19:05.599115,efs_search,-1,82,13,985,320,10,0.97744,1.219081,4082.202342,1000025.6,COMPLETE,0.0030545
2025-12-06T09:34:08.740680,efs_search,-1,67,6,985,320,10,0.97635,1.209267,3954.893242,1000036.5,COMPLETE,0.00305109375
2025-12-06T07:16:59.303467,efs_search,-1,51,10,944,320,10,0.97567,1.182948,4802.638196,1000043.3,COMPLETE,0.00304896875
2025-12-06T10:42:47.426268,efs_search,-1,44,4,1409,320,10,0.97551,1.199364,3860.883774,1000044.9,COMPLETE,0.00304846875
2025-12-06T10:56:00.730965,efs_search,-1,58,8,455,320,10,0.96593,1.001721,4601.810922,1000140.7,COMPLETE,0.00301853125
2025-12-06T06:17:03.344417,efs_search,-1,70,1,1096,335,10,0.97978,1.32868,4136.893605,1000002.2,COMPLETE,0.0029247164179104475
2025-12-06T07:52:51.078439,efs_search,-1,55,11,1286,335,10,0.97976,1.361741,4077.042429,1000002.4,COMPLETE,0.0029246567164179105
2025-12-06T08:20:31.079770,efs_search,-1,82,13,985,335,10,0.97892,1.31418,3950.39116,1000010.8,COMPLETE,0.0029221492537313434
