timestamp,study_name,trial_id,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,K,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s,reward_score,status,RECALL_PER_SEC
2025-12-04T20:02:49.295240,efs_search,-1,59,5,763,2000,10,0.99899,7.175622,6367.948278,7.175622,COMPLETE,0.000499495
2025-12-04T20:03:34.418918,efs_search,-1,59,5,763,1040,10,0.99667,3.645615,4130.072754,3.645615,COMPLETE,0.0009583365384615384
2025-12-04T20:04:01.398508,efs_search,-1,59,5,763,560,10,0.98904,2.000666,4186.505433,2.000666,COMPLETE,0.0017661428571428572
2025-12-04T20:04:37.685734,efs_search,-1,59,5,763,800,10,0.99446,2.924002,4421.67079,2.924002,COMPLETE,0.001243075
2025-12-04T20:05:12.683192,efs_search,-1,59,5,763,680,10,0.99236,2.70099,5062.804225,2.70099,COMPLETE,0.0014593529411764707
2025-12-04T20:05:44.176808,efs_search,-1,59,5,763,620,10,0.99075,2.300986,4166.117922,2.300986,COMPLETE,0.001597983870967742
2025-12-04T20:06:12.647388,efs_search,-1,59,5,763,590,10,0.98994,2.165314,4232.749879,2.165314,COMPLETE,0.001677864406779661
2025-12-04T20:06:41.616099,efs_search,-1,59,5,763,605,10,0.99031,2.202278,4188.426008,2.202278,COMPLETE,0.0016368760330578514
2025-12-04T20:07:11.287469,efs_search,-1,59,5,763,598,10,0.99016,2.263976,4133.490915,2.263976,COMPLETE,0.0016557859531772575
2025-12-04T20:07:38.952003,efs_search,-1,59,5,763,594,10,0.99003,2.092165,4123.791016,2.092165,COMPLETE,0.0016667171717171716
2025-12-04T20:08:10.442960,efs_search,-1,59,5,763,592,10,0.98997,2.447054,4128.813981,2.447054,COMPLETE,0.0016722466216216216
2025-12-04T20:08:40.027817,efs_search,-1,59,5,763,593,10,0.99,2.097573,4141.906152,2.097573,COMPLETE,0.001669477234401349
2025-12-04T20:08:40.044157,hnsw_graph_opt_v1,0,59,5,763,594,10,0.99003,2.092165,4123.791016,2.092165,COMPLETE,0.0016667171717171716
2025-12-04T20:09:40.354128,efs_search,-1,33,5,511,2000,10,0.9975,5.207406,4976.616294,5.207406,COMPLETE,0.0004987500000000001
2025-12-04T20:10:15.638302,efs_search,-1,33,5,511,1040,10,0.99209,2.869546,3848.715166,2.869546,COMPLETE,0.0009539326923076923
2025-12-04T20:10:38.102945,efs_search,-1,33,5,511,560,10,0.98023,1.596843,3835.787624,1.596843,COMPLETE,0.0017504107142857143
2025-12-04T20:11:11.899844,efs_search,-1,33,5,511,800,10,0.98796,2.682872,3841.085068,2.682872,COMPLETE,0.0012349499999999998
2025-12-04T20:11:45.096616,efs_search,-1,33,5,511,920,10,0.9904,2.496756,3848.063086,2.496756,COMPLETE,0.0010765217391304348
