variant,csr,prefetch,simd,pruning,heap,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
baseline,0,0,0,0,0,157546.381943,161814.410206, 2230.546124, 0.872960, 0.448321, 0.000000, 0, 4483.207001,results/ablation_20251203_121042/baseline/run_20251203_121052_023.log
1,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,154547.157105,155497.326342, 1412.969374, 0.872510, 0.707729, 0.000000, 0, 7077.294234,results/ablation_20251203_121042/no_csr/run_20251203_121342_982.log
1,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,14238.529075,14243.578036, 1991.821725, 0.872960, 0.502053, 0.000000, 0, 5020.529637,results/ablation_20251203_121042/no_prefetch/run_20251203_121630_056.log
1,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,3426.628869,3433.368372, 2342.697919, 0.872960, 0.426858, 0.000000, 0, 4268.582781,results/ablation_20251203_121042/no_simd/run_20251203_121655_176.log
1,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,3431.381728,3436.870710, 2346.986572, 0.872960, 0.426078, 0.000000, 0, 4260.782793,results/ablation_20251203_121042/no_pruning/run_20251203_121705_759.log
1,,,,,,,,,,,,,,
heap,0,0,0,0,1,4925.792279,4931.744431, 2108.722607, 0.872960, 0.474221, 0.000000, 0, 4742.207422,results/ablation_20251203_121042/heap/run_20251203_121716_359.log
1,,,,,,,,,,,,,,
