variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
baseline,0,0,0,0,0,0,0,43,10,735,425 500 600 625 648 700 711 750 800 888 990 1024,4007.918357,4012.826067, 735.157383, 0.980000, 1.360253, 19206.545900, 16068, 13602.529512
results/ablation_20251204_114413/params_M43_ML10_EFC735_EFS425 500 600 625 648 700 711 750 800 888 990 1024/baseline/run_20251204_114414_031.log,1,,,,,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,0,0,43,10,735,425 500 600 625 648 700 711 750 800 888 990 1024,3789.879694,3794.813114, 737.925085, 0.980000, 1.355151, 19206.545900, 16068, 13551.511123
results/ablation_20251204_114413/params_M43_ML10_EFC735_EFS425 500 600 625 648 700 711 750 800 888 990 1024/no_simd/run_20251204_114440_340.log,1,,,,,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,0,0,43,10,735,425 500 600 625 648 700 711 750 800 888 990 1024,3834.869110,3839.847625, 750.159623, 0.980000, 1.333050, 19206.545900, 16068, 13330.496202
results/ablation_20251204_114413/params_M43_ML10_EFC735_EFS425 500 600 625 648 700 711 750 800 888 990 1024/no_pruning/run_20251204_114506_382.log,1,,,,,,,,,,,,,,,,,,
heap,0,0,0,0,1,0,0,43,10,735,425 500 600 625 648 700 711 750 800 888 990 1024,3854.908534,3860.075977, 598.445278, 0.980000, 1.670997, 19206.545900, 16068, 16709.965584
results/ablation_20251204_114413/params_M43_ML10_EFC735_EFS425 500 600 625 648 700 711 750 800 888 990 1024/heap/run_20251204_114532_330.log,1,,,,,,,,,,,,,,,,,,
dynamic_struct,0,0,0,0,0,1,0,43,10,735,425 500 600 625 648 700 711 750 800 888 990 1024,3997.503287,4003.593706, 699.795780, 0.980000, 1.428988, 19206.545900, 16068, 14289.883263
results/ablation_20251204_114413/params_M43_ML10_EFC735_EFS425 500 600 625 648 700 711 750 800 888 990 1024/dynamic_struct/run_20251204_114602_284.log,1,,,,,,,,,,,,,,,,,,
no_reorder,0,0,0,0,0,0,1,43,10,735,425 500 600 625 648 700 711 750 800 888 990 1024,3964.404580,3970.132062, 713.806234, 0.980000, 1.400940, 19206.545900, 16068, 14009.404133
results/ablation_20251204_114413/params_M43_ML10_EFC735_EFS425 500 600 625 648 700 711 750 800 888 990 1024/no_reorder/run_20251204_114629_578.log,1,,,,,,,,,,,,,,,,,,
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,425 500 600 625 648 700 711 750 800 888 990 1024,3852.587660,3857.635168, 716.965366, 0.980000, 1.394768, 19206.545900, 16068, 13947.675122
results/ablation_20251204_114413/params_M43_ML10_EFC735_EFS425 500 600 625 648 700 711 750 800 888 990 1024/dynamic_with_opts/run_20251204_114656_440.log,1,,,,,,,,,,,,,,,,,,
