variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
dynamic_struct,0,0,0,0,0,1,0,59,5,763,425,32691.597982,32706.296764, 88.056892, 0.982750, 11.356295, 21093.429900, 16854, 113562.945149,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS425/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,425,32637.959747,32647.955757, 88.115506, 0.982750, 11.348740, 21093.429900, 16854, 113487.403332,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS425/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,425,32719.602318,32730.993296, 87.302550, 0.982750, 11.454419, 21093.429900, 16854, 114544.191493,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS425/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,425,32489.410146,32501.048742, 98.827451, 0.982750, 10.118646, 21093.429900, 16854, 101186.460858,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS425/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,425,32681.746298,40728.744591, 54.606148, 0.000000, 18.312956, 21087.928300, 16727, 183129.563449,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS425/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,425,32616.279748,32626.131244, 79.308385, 0.982750, 12.609007, 21093.429900, 16854, 126090.071676,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS425/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,425,32579.424661,32592.126848, 93.577423, 0.982750, 10.686338, 21093.429900, 16854, 106863.382928,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS425/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,425,32656.373109,32671.203801, 92.981761, 0.982750, 10.754797, 21093.429900, 16854, 107547.973779,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS425/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,425,32490.748442,32501.543824, 97.216321, 0.982750, 10.286339, 21093.429900, 16854, 102863.386909,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS425/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,425,32665.444821,40591.269995, 53.137250, 0.000000, 18.819190, 21087.928300, 16727, 188191.899551,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS425/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,59,5,763,500,12713.989874,12743.480229, 176.629106, 0.986780, 5.661581, 24347.661600, 19198, 56615.810450,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS500/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,59,5,763,500,11479.772658,11507.007446, 181.849779, 0.986780, 5.499044, 24347.661600, 19198, 54990.443639,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS500/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,59,5,763,500,32647.064900,32659.813585, 79.262540, 0.986780, 12.616300, 24347.661600, 19198, 126163.001956,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS500/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,59,5,763,500,32493.467399,32507.586136, 83.129577, 0.986780, 12.029413, 24347.661600, 19198, 120294.128383,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS500/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,59,5,763,500,32704.640541,40716.464074, 52.579534, 0.000000, 19.018807, 24341.842500, 19072, 190188.069112,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS500/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,59,5,763,500,32682.983880,32694.178176, 75.771628, 0.986780, 13.197552, 24347.661600, 19198, 131975.520519,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS500/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,59,5,763,500,32684.378741,32699.648634, 80.109760, 0.986780, 12.482873, 24347.661600, 19198, 124828.734954,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS500/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,59,5,763,500,12608.631841,12638.950424, 179.174429, 0.986780, 5.581154, 24347.661600, 19198, 55811.535445,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS500/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,59,5,763,500,32678.934640,32689.984353, 85.337540, 0.986780, 11.718172, 24347.661600, 19198, 117181.723911,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS500/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,59,5,763,500,11340.723799,24766.806553, 128.473123, 0.000000, 7.783729, 24341.842500, 19072, 77837.291791,results/ablation_20251204_203450/params_M59_ML5_EFC763_EFS500/nothing/run_stdout_1.log,1
