variant,csr,prefetch,simd,pruning,heap,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
baseline,0,0,0,0,0,40,17,648,888,3631.968996,3637.074651, 383.622511, 0.993140, 2.606729, 34613.232000, 26797, 26067.291951,results/ablation_20251203_141821/params_M40_ML17_EFC648_EFS888/baseline/run_20251203_141827_105.log
1,,,,,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,40,17,648,888,3775.382607,4833.012854, 207.131601, 0.993140, 4.827849, 34613.237100, 26797, 48278.485476,results/ablation_20251203_141821/params_M40_ML17_EFC648_EFS888/no_csr/run_20251203_141859_589.log
1,,,,,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,40,17,648,888,3840.657349,3845.929239, 305.302715, 0.993140, 3.275438, 34613.232000, 26797, 32754.376295,results/ablation_20251203_141821/params_M40_ML17_EFC648_EFS888/no_prefetch/run_20251203_141955_412.log
1,,,,,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,40,17,648,888,3678.210369,3682.910256, 320.087464, 0.993140, 3.124146, 34613.232000, 26797, 31241.460920,results/ablation_20251203_141821/params_M40_ML17_EFC648_EFS888/no_simd/run_20251203_142034_770.log
1,,,,,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,40,17,648,888,3719.527688,3724.311315, 370.507279, 0.993140, 2.699002, 34613.232000, 26797, 26990.023039,results/ablation_20251203_141821/params_M40_ML17_EFC648_EFS888/no_pruning/run_20251203_142112_675.log
1,,,,,,,,,,,,,,,,,,
heap,0,0,0,0,1,40,17,648,888,3692.679437,3697.776727, 363.417546, 0.993140, 2.751656, 34613.232000, 26797, 27516.558017,results/ablation_20251203_141821/params_M40_ML17_EFC648_EFS888/heap/run_20251203_142147_553.log
1,,,,,,,,,,,,,,,,,,
nothing,1,1,1,1,1,40,17,648,888,3606.924201,4668.845666, 191.278373, 0.993140, 5.227983, 34613.237100, 26797, 52279.825701,results/ablation_20251203_141821/params_M40_ML17_EFC648_EFS888/nothing/run_20251203_142221_440.log
1,,,,,,,,,,,,,,,,,,
