variant,csr,prefetch,simd,pruning,heap,flat_index,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
baseline,0,0,0,0,0,0,3597.697023,3602.513412, 732.001520, 0.980050, 1.366117, 0.000000, 0, 13661.173814,results/ablation_20251203_125947/baseline/run_20251203_125953_521.log,1
no_csr,1,0,0,0,0,0,3620.959583,4853.544577, 441.408064, 0.980050, 2.265477, 0.000000, 0, 22654.774159,results/ablation_20251203_125947/no_csr/run_20251203_130013_439.log,1
no_prefetch,0,1,0,0,0,0,3647.923878,3652.746237, 557.664865, 0.980050, 1.793192, 0.000000, 0, 17931.916863,results/ablation_20251203_125947/no_prefetch/run_20251203_130043_477.log,1
no_simd,0,0,1,0,0,0,3622.665005,3627.361447, 739.861076, 0.980050, 1.351605, 0.000000, 0, 13516.050957,results/ablation_20251203_125947/no_simd/run_20251203_130107_576.log,1
no_pruning,0,0,0,1,0,0,3620.494289,3625.467565, 600.214709, 0.980050, 1.666070, 0.000000, 0, 16660.704670,results/ablation_20251203_125947/no_pruning/run_20251203_130127_203.log,1
heap,0,0,0,0,1,0,3667.535864,3672.354607, 714.212783, 0.980050, 1.400143, 0.000000, 0, 14001.429605,results/ablation_20251203_125947/heap/run_20251203_130150_285.log,1
dynamic_struct,0,0,0,0,0,1,3694.943545,3699.754995, 713.694811, 0.980050, 1.401159, 0.000000, 0, 14011.591296,results/ablation_20251203_125947/dynamic_struct/run_20251203_130211_999.log,1
