NUM_CENTROIDS,KMEANS_ITER,NPROBE,RECALL_mean,RECALL_std,runs
512,16,256,0.9971,,1
512,8,256,0.9955,,1
512,4,256,0.995,,1
512,2,256,0.9933,,1
1024,16,256,0.9856,,1
1024,8,256,0.9838,,1
512,16,128,0.9831,,1
1024,4,256,0.9811,,1
1024,2,256,0.9799,,1
512,8,128,0.979,,1
512,4,128,0.975,,1
512,2,128,0.9725,,1
2048,16,256,0.9657,,1
2048,8,256,0.9621,,1
1024,16,128,0.9599,,1
2048,4,256,0.9591,,1
2048,2,256,0.9564,,1
1024,8,128,0.9556,,1
512,16,64,0.9529,,1
1024,4,128,0.9499,,1
512,8,64,0.9479,,1
1024,2,128,0.9479,,1
512,4,64,0.9397,,1
512,2,64,0.9356,,1
4096,2,256,0.9356,,1
4096,4,256,0.9338,,1
2048,16,128,0.9333,,1
2048,8,128,0.9269,,1
1024,16,64,0.926,,1
2048,4,128,0.9222,,1
2048,2,128,0.921,,1
1024,8,64,0.92,,1
512,16,32,0.9158,,1
1024,4,64,0.9141,,1
512,8,32,0.9077,,1
1024,2,64,0.9059,,1
4096,4,128,0.896,,1
4096,2,128,0.8958,,1
512,4,32,0.8958,,1
2048,16,64,0.8915,,1
512,2,32,0.885,,1
2048,8,64,0.8834,,1
2048,4,64,0.882,,1
1024,16,32,0.8788,,1
2048,2,64,0.8781,,1
1024,8,32,0.874,,1
1024,4,32,0.8613,,1
1024,2,32,0.8519,,1
4096,4,64,0.8507,,1
2048,16,32,0.8483,,1
4096,2,64,0.8453,,1
2048,8,32,0.8367,,1
2048,4,32,0.8288,,1
2048,2,32,0.8189,,1
4096,4,32,0.7941,,1
4096,2,32,0.7861,,1
