variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,adaptive_ep,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1000,4612.723656,4618.740939, 230.890809, 0.998630, 4.331052, 64271.749500, 55773, 43310.515617,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1000/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1000,4606.252430,4612.434962, 229.869282, 0.998630, 4.350299, 64271.749500, 55773, 43502.985255,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1000/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,1000,4631.295885,4636.561034, 210.845697, 0.998630, 4.742805, 64271.749500, 55773, 47428.048679,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1000/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,1000,4606.381946,4612.217285, 230.520508, 0.998630, 4.338009, 61856.413400, 53486, 43380.088423,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1000/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1050,4579.174716,4585.453735, 218.361968, 0.998740, 4.579552, 66854.723500, 57916, 45795.520603,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1050/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1050,4576.582506,4582.921093, 199.984065, 0.998740, 5.000398, 66854.723500, 57916, 50003.984096,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1050/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,1050,4584.772244,4591.032493, 220.652732, 0.998740, 4.532008, 66854.723500, 57916, 45320.082432,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1050/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,1050,4554.670759,4560.811962, 219.580058, 0.998750, 4.554148, 64437.781100, 55563, 45541.476327,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1050/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1100,4634.455337,4639.955025, 195.019002, 0.998930, 5.127705, 69416.209100, 59934, 51277.054657,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1100/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1100,4728.349462,4735.081648, 210.752623, 0.998930, 4.744899, 69416.209100, 59934, 47448.994195,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1100/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,1100,4600.634843,4606.964658, 209.763634, 0.998930, 4.767271, 69416.209100, 59934, 47672.705668,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1100/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,1100,4598.468646,4604.395800, 209.697782, 0.998930, 4.768768, 66997.212100, 57582, 47687.676501,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1100/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1150,4489.678227,4495.256153, 201.193174, 0.998990, 4.970348, 71947.031200, 61933, 49703.475644,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1150/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1150,4741.684929,4747.561661, 203.165818, 0.998990, 4.922088, 71947.031200, 61933, 49220.878303,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1150/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,1150,4511.666981,4516.920348, 204.618140, 0.998990, 4.887152, 71947.031200, 61933, 48871.522254,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1150/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,1150,4514.620903,4520.146270, 189.949566, 0.998990, 5.264555, 69526.469500, 59581, 52645.553348,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1150/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,1200,4504.246873,4509.502664, 191.330693, 0.999050, 5.226553, 74454.697700, 63616, 52265.529689,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1200/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,0,57,7,1400,1200,4497.854759,4503.232647, 192.868460, 0.999050, 5.184881, 74454.697700, 63616, 51848.809158,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1200/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,0,57,7,1400,1200,4500.305998,4505.679166, 179.769366, 0.999050, 5.562683, 74454.697700, 63616, 55626.830316,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1200/heap/run_stdout_1.log,1
no_adaptive_ep,0,0,0,0,0,0,0,1,57,7,1400,1200,4520.052704,4525.636918, 195.527445, 0.999050, 5.114372, 72032.478700, 61263, 51143.715490,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS1200/no_adaptive_ep/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,0,57,7,1400,300,4502.017941,4507.579578, 721.543461, 0.983090, 1.385918, 24275.680000, 23906, 13859.179021,results/ablation_20251215_144937/params_M57_ML7_EFC1400_EFS300/dynamic_with_opts/run_stdout_1.log,1
