variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
dynamic_struct,0,0,0,0,0,1,0,43,10,735,425,,5764.771203,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS425/dynamic_struct/run_20251204_144905_922.log,1,,,,,,,,,,,,,,,,,,
full,0,0,0,0,0,0,0,43,10,735,425,,5764.771203,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS425/full/run_20251204_144905_922.log,1,,,,,,,,,,,,,,,,,,
heap,0,0,0,0,1,0,0,43,10,735,425,,5764.771203,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS425/heap/run_20251204_144905_922.log,1,,,,,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,0,0,43,10,735,425,,5764.771203,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS425/no_simd/run_20251204_144905_922.log,1,,,,,,,,,,,,,,,,,,
no_reorder,0,0,0,0,0,0,1,43,10,735,425,,5764.771203,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS425/no_reorder/run_20251204_144905_922.log,1,,,,,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,0,0,43,10,735,425,,5764.771203,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS425/no_pruning/run_20251204_144905_922.log,1,,,,,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,0,0,43,10,735,425,,5764.771203,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS425/no_prefetch/run_20251204_144905_922.log,1,,,,,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,0,0,43,10,735,425,,8982.214844,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS425/no_csr/run_20251204_145005_417.log,1,,,,,,,,,,,,,,,,,,
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,425,,4528.431110,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS425/dynamic_with_opts/run_20251204_145030_099.log,1,,,,,,,,,,,,,,,,,,
full,0,0,0,0,0,0,0,43,10,735,500,,5140.836094,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS500/full/run_20251204_145058_518.log,1,,,,,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,0,0,43,10,735,500,,5140.836094,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS500/no_simd/run_20251204_145058_518.log,1,,,,,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,0,0,43,10,735,500,,5508.147214,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS500/no_pruning/run_20251204_145106_107.log,1,,,,,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,0,0,43,10,735,500,,5508.147214,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS500/no_prefetch/run_20251204_145106_107.log,1,,,,,,,,,,,,,,,,,,
heap,0,0,0,0,1,0,0,43,10,735,500,,5508.147214,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS500/heap/run_20251204_145106_107.log,1,,,,,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,0,0,43,10,735,500,,8518.898878,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS500/no_csr/run_20251204_145125_763.log,1,,,,,,,,,,,,,,,,,,
nothing,1,1,1,1,1,1,1,43,10,735,425,,8518.898878,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS425/nothing/run_20251204_145125_763.log,1,,,,,,,,,,,,,,,,,,
dynamic_struct,0,0,0,0,0,1,0,43,10,735,500,,5358.551240,,,,,,results/ablation_20251204_144847/params_M43_ML10_EFC735_EFS500/dynamic_struct/run_20251204_145146_833.log,1,,,,,,,,,,,,,,,,,,
