STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,avg_dists,INDEX_BUILD_TIME_s
c1024_i16_p128,1024,16,128,429,0.9561,6.36,148211.93,361
c2048_i16_p128,2048,16,128,730,0.9236,1.69,73043.50,710
c3000_i16_p128,3000,16,128,966,0.9060,1.39,51159.82,949
c512_i16_p128,512,16,128,235,0.9799,6.37,303917.20,168
c4045_i16_p128,4045,16,128,1323,0.8932,0.95,39779.47,1309
c512_i16_p200,512,16,200,273,0.9922,9.73,475832.58,171
c1024_i16_p200,1024,16,200,388,0.9756,4.98,230930.10,334
c2048_i16_p200,2048,16,200,699,0.9484,2.61,111676.59,667
c512_i16_p256,512,16,256,301,0.9965,12.54,609569.63,170
c1024_i16_p256,1024,16,256,408,0.9840,6.57,295954.56,337
c2048_i16_p256,2048,16,256,707,0.9602,3.34,141850.76,669
c3000_i16_p256,3000,16,256,1011,0.9445,2.45,96795.37,982
c512_i16_p300,512,16,300,329,0.9982,15.24,714070.16,171
