STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c1024_i16_p128,1024,16,128,OK,112,0.9599,10.26,64
c1024_i16_p256,1024,16,256,OK,120,0.9856,18.75,63
c1024_i16_p32,1024,16,32,OK,111,0.8788,3.66,69
c1024_i16_p64,1024,16,64,OK,106,0.926,5.4,62
c1024_i2_p128,1024,2,128,OK,60,0.9479,8.72,12
c1024_i2_p256,1024,2,256,OK,73,0.9799,17.72,18
c1024_i2_p32,1024,2,32,OK,55,0.8519,3.78,13
c1024_i2_p64,1024,2,64,OK,56,0.9059,5.24,12
c1024_i4_p1024,1024,4,1024,OK,151,1,71.91,66
c1024_i4_p128,1024,4,128,OK,68,0.9499,9.31,20
c1024_i4_p200,1024,4,200,OK,93,0.972,12.68,65
c1024_i4_p256,1024,4,256,OK,99,0.9811,18.15,67
c1024_i4_p256,1024,4,256,OK,75,0.9811,16.85,20
c1024_i4_p256,1024,4,256,OK,100,0.9811,17.18,67
c1024_i4_p32,1024,4,32,OK,62,0.8613,3.61,20
c1024_i4_p324,1024,4,324,OK,101,0.9875,21.68,64
c1024_i4_p400,1024,4,400,OK,105,0.9928,25.31,66
c1024_i4_p512,1024,4,512,OK,115,0.9972,34.56,66
c1024_i4_p64,1024,4,64,OK,65,0.9141,5.19,20
c1024_i4_p648,1024,4,648,OK,122,0.9985,41.69,65
c1024_i4_p800,1024,4,800,OK,137,0.9998,54.3,66
c1024_i8_p128,1024,8,128,OK,83,0.9556,9.93,34
c1024_i8_p200,1024,8,200,OK,108,0.9763,14.46,78
c1024_i8_p256,1024,8,256,OK,111,0.9838,17.34,79
c1024_i8_p256,1024,8,256,OK,90,0.9838,18.42,34
c1024_i8_p32,1024,8,32,OK,82,0.874,3.54,39
c1024_i8_p324,1024,8,324,OK,114,0.9897,20.63,78
c1024_i8_p400,1024,8,400,OK,120,0.9943,26.19,78
c1024_i8_p512,1024,8,512,OK,124,0.9976,29.54,80
c1024_i8_p64,1024,8,64,OK,77,0.92,5.45,34
c1024_i8_p648,1024,8,648,OK,134,0.9992,38.44,81
c128_i16_p128,128,16,128,OK,130,1,76.48,14
c128_i16_p16,128,16,16,OK,64,0.9337,12.22,14
c128_i16_p256,128,16,256,OK,132,1,78.25,14
c128_i16_p32,128,16,32,OK,48,0.9735,19.71,14
c128_i16_p32,128,16,32,OK,75,0.9735,21.94,14
c128_i16_p48,128,16,48,OK,56,0.9884,27.82,14
c128_i16_p48,128,16,48,OK,85,0.9884,31.83,15
c128_i16_p512,128,16,512,OK,129,1,74.95,14
c128_i16_p64,128,16,64,OK,95,0.9939,41.36,15
c128_i16_p64,128,16,64,OK,105,0.9939,41.36,15
c128_i16_p8,128,16,8,OK,61,0.8848,8.21,14
c128_i32_p128,128,32,128,OK,137,1,74.78,23
c128_i32_p16,128,32,16,OK,74,0.9358,12.47,23
c128_i32_p256,128,32,256,OK,137,1,75.1,23
c128_i32_p32,128,32,32,OK,84,0.9753,22.35,23
c128_i32_p512,128,32,512,OK,137,1,75.01,24
c128_i32_p64,128,32,64,OK,103,0.9944,42.18,23
c128_i32_p8,128,32,8,OK,70,0.8862,8.17,23
c128_i4_p1024,128,4,1024,OK,89,1,67.61,9
c128_i4_p128,128,4,128,OK,94,1,70.93,9
c128_i4_p128,128,4,128,OK,92,1,68.91,9
c128_i4_p144,128,4,144,OK,94,1,70.91,8
c128_i4_p16,128,4,16,OK,34,0.9162,10.66,7
c128_i4_p16,128,4,16,OK,34,0.9162,10.66,7
c128_i4_p2,128,4,2,OK,28,0.6716,5.26,8
c128_i4_p200,128,4,200,OK,94,1,70.14,8
c128_i4_p256,128,4,256,OK,94,1,71.06,9
c128_i4_p256,128,4,256,OK,95,1,71.09,8
c128_i4_p32,128,4,32,OK,41,0.9601,18.67,9
c128_i4_p32,128,4,32,OK,42,0.9601,18.08,8
c128_i4_p324,128,4,324,OK,93,1,70.74,8
c128_i4_p400,128,4,400,OK,95,1,71.39,7
c128_i4_p48,128,4,48,OK,49,0.9819,25.99,9
c128_i4_p512,128,4,512,OK,94,1,69.76,8
c128_i4_p64,128,4,64,OK,59,0.9917,35.62,8
c128_i4_p64,128,4,64,OK,57,0.9917,34.52,7
c128_i4_p648,128,4,648,OK,94,1,70.62,7
c128_i4_p8,128,4,8,OK,30,0.8548,7.46,8
c128_i4_p80,128,4,80,OK,65,0.995,42.39,8
c128_i4_p800,128,4,800,OK,93,1,70.66,7
c128_i8_p128,128,8,128,OK,95,1,70.23,11
c128_i8_p144,128,8,144,OK,97,1,71.81,9
c128_i8_p200,128,8,200,OK,99,1,72.62,9
c128_i8_p256,128,8,256,OK,94,1,69.28,11
c128_i8_p32,128,8,32,OK,46,0.966,21.23,9
c128_i8_p324,128,8,324,OK,96,1,69.37,11
c128_i8_p400,128,8,400,OK,94,1,68.17,9
c128_i8_p512,128,8,512,OK,90,1,64.3,9
c128_i8_p64,128,8,64,OK,63,0.992,38.57,9
c128_i8_p648,128,8,648,OK,93,1,67.93,9
c128_i8_p80,128,8,80,OK,69,0.9958,44.23,11
c128_i8_p800,128,8,800,OK,95,1,70.95,10
c1600_i4_p1024,1600,4,1024,OK,160,0.999,42.73,103
c1600_i4_p256,1600,4,256,OK,130,0.9691,11.03,104
c1600_i4_p256,1600,4,256,OK,131,0.9691,12.63,104
c1600_i4_p324,1600,4,324,OK,132,0.9773,13.98,104
c1600_i4_p400,1600,4,400,OK,139,0.9828,17.31,107
c1600_i4_p512,1600,4,512,OK,140,0.9899,21.13,104
c1600_i4_p648,1600,4,648,OK,144,0.9949,25.61,103
c1600_i4_p800,1600,4,800,OK,151,0.9975,33.83,103
c1600_i8_p256,1600,8,256,OK,151,0.9686,12.71,123
c1600_i8_p324,1600,8,324,OK,153,0.9774,12.94,124
c1600_i8_p400,1600,8,400,OK,153,0.9859,15.78,124
c1600_i8_p512,1600,8,512,OK,155,0.9911,16.6,124
c1600_i8_p648,1600,8,648,OK,162,0.9959,23.17,123
c186_i16_p48,186,16,48,OK,54,0.9766,19.65,19
c186_i16_p48,186,16,48,OK,104,0.9766,35.51,18
c186_i16_p64,186,16,64,OK,113,0.9873,47.45,18
c186_i4_p1024,186,4,1024,OK,97,1,70.79,12
c186_i4_p128,186,4,128,OK,76,0.9974,49.92,11
c186_i4_p128,186,4,128,OK,75,0.9974,48.24,12
c186_i4_p144,186,4,144,OK,83,0.9993,54.75,12
c186_i4_p16,186,4,16,OK,34,0.897,7.63,11
c186_i4_p16,186,4,16,OK,34,0.897,7.63,11
c186_i4_p200,186,4,200,OK,100,1,72.41,12
c186_i4_p256,186,4,256,OK,99,1,72.62,12
c186_i4_p256,186,4,256,OK,100,1,72.24,12
c186_i4_p324,186,4,324,OK,101,1,74.44,11
c186_i4_p400,186,4,400,OK,99,1,72.3,12
c186_i4_p48,186,4,48,OK,45,0.9672,18.93,11
c186_i4_p512,186,4,512,OK,101,1,73.33,12
c186_i4_p64,186,4,64,OK,52,0.9814,23.99,12
c186_i4_p64,186,4,64,OK,52,0.9814,24.92,11
c186_i4_p648,186,4,648,OK,100,1,73.11,11
c186_i4_p8,186,4,8,OK,32,0.8337,5.5,12
c186_i4_p80,186,4,80,OK,58,0.9893,31.58,11
c186_i4_p800,186,4,800,OK,102,1,73.63,12
c186_i8_p128,186,8,128,OK,82,0.9984,52.41,14
c186_i8_p144,186,8,144,OK,85,0.9999,55.78,15
c186_i8_p200,186,8,200,OK,104,1,75.04,15
c186_i8_p256,186,8,256,OK,102,1,72.53,13
c186_i8_p324,186,8,324,OK,103,1,73.69,13
c186_i8_p400,186,8,400,OK,102,1,70.42,14
c186_i8_p512,186,8,512,OK,95,1,64.98,13
c186_i8_p64,186,8,64,OK,56,0.9846,27.57,13
c186_i8_p648,186,8,648,OK,95,1,65.43,14
