M,MaxLayer,EFC,EFS,HammingThreshold,Recall,AvgQueryTime_ms,avg_dists,BuildTime_ms,QPS
57,7,2000,128,41,0.93961,0.781534,6494.4747,6211305.001,1279.534717
57,7,2000,144,41,0.9468,0.922786,7138.3459,5512.536072,1083.674454
57,7,2000,160,41,0.95275,0.92966,7764.3429,3680.130385,1075.662288
57,7,2000,176,41,0.95785,0.99919,8377.4889,4705.494626,1000.810663
57,7,2000,192,41,0.96225,1.109982,8982.1349,4700.653299,900.915426
57,7,2000,208,41,0.96583,1.15316,9572.8917,4724.184752,867.182546
57,7,2000,224,41,0.96883,1.267898,10153.9603,4817.272664,788.70706
57,7,2000,240,41,0.9713,1.365357,10723.2449,3604.525571,732.409276
57,7,2000,256,41,0.9738,1.801265,11284.316,4757.072851,555.165396
57,7,2000,272,41,0.97586,1.503729,11835.3795,5403.485612,665.013287
57,7,2000,288,41,0.97754,1.569103,12378.2268,4732.746385,637.306646
57,7,2000,304,41,0.97903,1.663056,12912.6424,3668.13258,601.302732
57,7,2000,320,41,0.98025,1.681777,13439.7248,4668.781267,594.609322
57,7,2000,336,41,0.98157,1.801336,13960.7844,4674.448517,555.143416
57,7,2000,352,41,0.98261,1.849365,14473.5668,4650.016797,540.726102
57,7,2000,368,41,0.98362,2.302315,14979.3757,4662.915415,434.345487
57,7,2000,384,41,0.9843,2.046769,15479.9827,5409.064022,488.57488
57,7,2000,400,41,0.98512,2.102091,15973.2314,4684.987756,475.716877
57,7,2000,416,41,0.9859,2.147467,16461.8446,3583.527053,465.664825
57,7,2000,432,41,0.98652,2.247647,16943.6805,3602.259627,444.909813
57,7,2000,448,41,0.98709,2.313089,17420.3525,3587.302059,432.32237
57,7,2000,464,41,0.98765,2.625569,17891.8036,4667.12656,380.86977
57,7,2000,480,41,0.9882,2.448012,18358.0255,4349.826191,408.494693
57,7,2000,496,41,0.98875,2.516485,18819.8275,4734.189392,397.379717
57,7,2000,512,41,0.98916,2.624614,19276.5713,4631.620398,381.008422
57,7,2000,528,41,0.98955,2.70298,19726.6338,4671.434426,369.961995
57,7,2000,544,41,0.98989,2.709849,20175.1147,4629.795667,369.024286
57,7,2000,560,41,0.99028,3.273204,20618.9989,4807.711736,305.511081
57,7,2000,576,41,0.99058,2.858168,21058.5154,5351.785188,349.874505
57,7,2000,592,41,0.99087,2.968995,21492.5866,4687.727415,336.814276
57,7,2000,608,41,0.99108,3.018762,21923.3273,3601.376725,331.261618
57,7,2000,624,41,0.99134,3.102619,22351.3234,4866.195158,322.308378
57,7,2000,640,41,0.99146,3.627084,22774.2665,4599.464651,275.703584
57,7,2000,656,41,0.99164,3.24543,23194.3395,4484.109325,308.1256
57,7,2000,672,41,0.99179,3.388785,23610.2965,4757.858667,295.091014
57,7,2000,688,41,0.99193,3.405275,24022.9049,4726.705091,293.662039
57,7,2000,704,41,0.99214,3.906852,24430.7868,4696.227955,255.960563
57,7,2000,720,41,0.99232,3.532034,24835.5177,5505.455317,283.123009
57,7,2000,736,41,0.99243,3.614048,25239.1728,4826.432325,276.698067
57,7,2000,752,41,0.99257,3.656603,25638.2518,4681.500531,273.477893
57,7,2000,768,41,0.99277,4.145823,26034.6897,4709.461806,241.206637
57,7,2000,784,41,0.99292,3.833135,26427.0695,5539.079024,260.883036
57,7,2000,800,41,0.99303,3.909233,26817.3322,4919.419471,255.804641
57,7,2000,816,41,0.99313,3.974255,27204.7853,3674.389811,251.619514
57,7,2000,832,41,0.99317,4.377414,27589.2872,4789.560769,228.445404
57,7,2000,848,41,0.99326,4.006493,27970.052,5563.218112,249.594832
57,7,2000,864,41,0.99329,4.09258,28348.935,4735.192104,244.344637
57,7,2000,880,41,0.99337,4.076853,28725.8893,4820.147839,245.287239
57,7,2000,896,41,0.99341,4.751883,29099.4937,4661.064781,210.442893
57,7,2000,912,41,0.9935,4.256315,29470.5274,5424.794716,234.945008
57,7,2000,928,41,0.99357,4.415933,29839.2017,4696.776734,226.452709
57,7,2000,944,41,0.9936,4.608801,30205.4018,4697.829844,216.976166
57,7,2000,960,41,0.99369,4.971346,30569.2382,4988.444383,201.152777
57,7,2000,976,41,0.99375,4.767166,30929.7532,5305.992667,209.768222
57,7,2000,992,41,0.9938,4.744804,31288.3674,4729.978726,210.756852
57,7,2000,1008,41,0.99385,5.304258,31644.7767,4718.300463,188.527788
57,7,2000,1024,41,0.99387,4.70137,31998.6779,5478.463121,212.703957
