timestamp,study_name,trial_id,m,max_layer,efc,efs,K,avg_recall,avg_time_ms,build_time_ms,reward_score,status
2025-12-01T22:49:19.483216,hnsw_constrained_v4,0,40,17,648,457,10,0.98018,1.841085,1037395.833091,1.84,COMPLETE
2025-12-02T00:43:48.694740,hnsw_constrained_v4,1,34,15,434,552,10,0.97832,1.360583,518402.402624,11780.00,COMPLETE
2025-12-02T01:01:05.538309,hnsw_constrained_v4,2,35,6,749,1955,10,0.99842,5.017258,978409.57849,5.02,COMPLETE
2025-12-02T01:04:08.638746,hnsw_constrained_v4,3,61,18,165,560,10,0.96018,1.113453,157393.130585,299200.00,COMPLETE
2025-12-02T01:06:30.693768,hnsw_constrained_v4,4,43,14,130,1355,10,0.97843,2.322112,110122.88209,11670.00,COMPLETE
2025-12-02T01:11:05.469630,hnsw_constrained_v4,5,48,17,222,1767,10,0.9933,3.447619,230869.703673,3.45,COMPLETE
2025-12-02T01:22:45.268600,hnsw_constrained_v4,6,54,12,474,1883,10,0.99807,4.586049,641699.084646,4.59,COMPLETE
2025-12-02T01:26:54.731865,hnsw_constrained_v4,7,54,12,218,148,10,0.89753,0.381183,236043.900596,925700.00,COMPLETE
2025-12-02T01:52:33.907947,hnsw_constrained_v4,8,62,11,982,196,10,0.95496,0.755424,1524827.928118,351400.00,COMPLETE
2025-12-02T02:12:31.053293,hnsw_constrained_v4,9,60,16,781,1143,10,0.99724,3.393843,1154139.742688,3.39,COMPLETE
2025-12-02T02:29:23.875485,hnsw_constrained_v4,10,61,20,681,246,10,0.9618,0.836297,994764.672862,283000.00,COMPLETE
2025-12-02T02:52:13.092716,hnsw_constrained_v4,11,60,18,851,1635,10,0.99872,5.092244,1308697.759661,5.09,COMPLETE
2025-12-02T03:12:15.566933,hnsw_constrained_v4,12,56,10,785,1192,10,0.99748,3.56496,1154360.526728,3.56,COMPLETE
2025-12-02T03:29:12.981188,hnsw_constrained_v4,13,31,13,859,388,10,0.9703,1.051118,999518.496584,99000.00,COMPLETE
