M,MaxLayer,EFC,EFS,HammingThreshold,Recall,AvgQueryTime_ms,avg_dists,BuildTime_ms,QPS
64,7,2000,128,41,0.94188,0.838028,6898.7823,7160717.156,1193.277079
64,7,2000,144,41,0.94905,0.931668,7581.8402,4001.423299,1073.343581
64,7,2000,160,41,0.95483,0.997634,8248.9973,5079.873082,1002.371887
64,7,2000,176,41,0.95984,1.093951,8900.8636,4879.628548,914.118078
64,7,2000,192,41,0.96429,1.15104,9542.7401,4883.535751,868.779528
64,7,2000,208,41,0.96739,1.268463,10171.1496,4833.472507,788.355697
64,7,2000,224,41,0.97043,1.35469,10789.3469,3753.703765,738.176168
64,7,2000,240,41,0.97269,1.812525,11394.5952,4847.117535,551.716443
64,7,2000,256,41,0.97502,1.530952,11990.9151,5577.434527,653.188421
64,7,2000,272,41,0.97692,1.607742,12576.9783,5089.796084,621.990506
64,7,2000,288,41,0.97866,1.683909,13153.7366,3608.492247,593.856276
64,7,2000,304,41,0.98005,1.73952,13721.442,4891.156236,574.871387
64,7,2000,320,41,0.9812,1.827333,14281.6603,5099.538256,547.245526
64,7,2000,336,41,0.98237,1.900007,14834.4169,4899.798869,526.313868
64,7,2000,352,41,0.98346,2.018782,15379.7821,4859.139439,495.348085
64,7,2000,368,41,0.98443,2.176096,15915.9126,6092.66156,459.538502
64,7,2000,384,41,0.9851,2.171165,16446.8,5331.950485,460.582239
64,7,2000,400,41,0.9859,2.241734,16970.5153,4888.459687,446.083244
64,7,2000,416,41,0.98662,2.299028,17487.9616,4871.839386,434.966389
64,7,2000,432,41,0.98718,2.35906,17999.1399,4934.950603,423.897705
64,7,2000,448,41,0.98771,2.303956,18505.1418,2262.260894,434.036156
64,7,2000,464,41,0.98823,2.813721,19003.9977,6919.259457,355.40121
64,7,2000,480,41,0.9888,2.587901,19498.5824,5519.646088,386.413481
64,7,2000,496,41,0.98924,2.649978,19987.8605,4985.829886,377.361613
64,7,2000,512,41,0.98957,2.743318,20470.8679,4918.704773,364.522117
64,7,2000,528,41,0.98986,2.805825,20947.5813,5081.858642,356.401428
64,7,2000,544,41,0.9902,3.324131,21422.6487,4795.626387,300.830523
64,7,2000,560,41,0.99052,3.012909,21891.7923,4591.722647,331.905178
64,7,2000,576,41,0.9908,3.087327,22356.763,4859.48508,323.904817
64,7,2000,592,41,0.99107,3.144174,22816.202,4957.420325,318.048533
64,7,2000,608,41,0.99133,3.19618,23271.2399,4862.545663,312.873524
64,7,2000,624,41,0.99153,3.623939,23723.2412,4912.369382,275.94281
64,7,2000,640,41,0.99168,3.29828,24171.0202,5438.785455,303.188325
64,7,2000,656,41,0.99179,3.416783,24615.109,4827.795161,292.67298
64,7,2000,672,41,0.99194,3.508759,25054.12,4107.514346,285.001023
64,7,2000,688,41,0.99212,4.026076,25490.5038,4862.618138,248.380794
64,7,2000,704,41,0.99223,3.695542,25921.041,4429.026702,270.596268
64,7,2000,720,41,0.9924,3.710647,26349.1625,4813.196476,269.494752
64,7,2000,736,41,0.99256,3.768765,26774.5704,4900.549128,265.338932
64,7,2000,752,41,0.99268,4.269365,27195.3718,4851.949848,234.226871
64,7,2000,768,41,0.99283,3.981224,27614.1143,5304.988679,251.179027
64,7,2000,784,41,0.99298,4.052139,28027.5324,5014.353941,246.783261
64,7,2000,800,41,0.9931,4.138144,28438.8986,3912.736995,241.654234
64,7,2000,816,41,0.99318,4.689431,28847.7588,4921.374617,213.245505
64,7,2000,832,41,0.99324,4.320271,29253.1225,5591.08714,231.466939
64,7,2000,848,41,0.99329,4.371319,29654.8042,4925.885588,228.763909
64,7,2000,864,41,0.99336,4.723867,30054.065,4931.97664,211.690956
64,7,2000,880,41,0.99342,4.393996,30450.8428,5316.276065,227.583256
64,7,2000,896,41,0.99344,4.56804,30844.7218,3850.994865,218.91228
64,7,2000,912,41,0.99346,4.633646,31235.016,4842.288102,215.812752
64,7,2000,928,41,0.99355,5.138333,31623.342,4901.353435,194.615633
64,7,2000,944,41,0.99359,4.614958,32009.0376,5533.79303,216.68671
64,7,2000,960,41,0.99366,4.814289,32391.2158,3845.769432,207.714999
64,7,2000,976,41,0.99371,5.410019,32771.0329,4957.90554,184.842227
64,7,2000,992,41,0.99377,5.01339,33148.3229,5434.567318,199.46583
64,7,2000,1008,41,0.99381,5.111381,33523.0997,5021.218908,195.641848
64,7,2000,1024,41,0.99383,5.580052,33895.1717,3903.646687,179.209813
