m,max_layer,efc,efs,avg_recall,avg_time_ms
59,3,462,737,0.98997,2.134043
59,3,462,739,0.99002,2.137426
59,3,462,738,0.98998,2.14562
59,3,462,739,0.99002,2.137426
42,4,680,2000,0.99879,5.723118
42,4,680,1040,0.99536,3.447148
42,4,680,560,0.98621,1.716287
42,4,680,800,0.99261,2.439108
42,4,680,680,0.99036,2.060824
42,4,680,620,0.98837,1.895477
42,4,680,650,0.98945,1.966762
42,4,680,665,0.98988,2.011008
42,4,680,673,0.99016,2.33981
42,4,680,669,0.99001,2.040528
42,4,680,667,0.98997,2.021767
42,4,680,668,0.98997,2.028139
42,4,680,669,0.99001,2.040528
38,4,599,2000,0.99843,5.663173
38,4,599,1040,0.99416,2.919064
38,4,599,560,0.98402,1.587634
38,4,599,800,0.991,2.23626
38,4,599,680,0.98854,1.934167
38,4,599,740,0.98994,2.090012
38,4,599,770,0.99042,2.167555
38,4,599,755,0.9902,2.158004
38,4,599,748,0.99011,2.11866
38,4,599,744,0.99002,2.091706
38,4,599,742,0.98996,2.092505
38,4,599,743,0.98997,2.089048
38,4,599,744,0.99002,2.091706
61,3,539,2000,0.99869,6.072736
61,3,539,1040,0.99513,3.087058
61,3,539,560,0.98614,1.716892
61,3,539,800,0.9923,2.399126
61,3,539,680,0.99012,2.039111
61,3,539,620,0.98832,1.873744
61,3,539,650,0.98934,2.297876
61,3,539,665,0.98977,2.027663
61,3,539,673,0.98994,2.074861
61,3,539,677,0.99005,2.021822
61,3,539,675,0.99002,2.039428
61,3,539,674,0.98996,2.064932
61,3,539,677,0.99005,2.021822
45,6,435,2000,0.99808,5.279556
45,6,435,1040,0.99338,2.791707
45,6,435,560,0.98244,1.579923
45,6,435,800,0.98982,2.199219
45,6,435,920,0.99201,2.787613
45,6,435,860,0.99108,2.342874
45,6,435,830,0.99042,2.267668
45,6,435,815,0.99013,2.204262
45,6,435,808,0.99002,2.189403
45,6,435,804,0.9899,2.194924
45,6,435,806,0.98996,2.187011
45,6,435,807,0.98999,2.522883
45,6,435,808,0.99002,2.189403
54,8,767,2000,0.99902,6.713405
54,8,767,1040,0.9965,3.356717
54,8,767,560,0.98881,1.855009
54,8,767,800,0.99426,2.982137
54,8,767,680,0.99214,2.276587
54,8,767,620,0.99047,2.102654
54,8,767,590,0.9896,1.974644
54,8,767,605,0.98998,2.010983
54,8,767,613,0.99026,2.025276
54,8,767,609,0.99013,2.035423
54,8,767,607,0.99007,2.358968
54,8,767,606,0.99002,2.038516
54,8,767,613,0.99026,2.025276
49,7,616,2000,0.99868,6.177282
49,7,616,1040,0.99544,3.129046
49,7,616,560,0.98671,1.728027
49,7,616,800,0.99293,2.472822
49,7,616,680,0.9908,2.0835
49,7,616,620,0.98894,1.915055
49,7,616,650,0.98992,2.028128
49,7,616,665,0.99031,2.05635
49,7,616,658,0.99017,1.987019
49,7,616,654,0.99002,1.985606
49,7,616,652,0.98997,1.997037
49,7,616,653,0.98999,2.007001
49,7,616,654,0.99002,1.985606
43,4,586,2000,0.99849,5.570354
43,4,586,1040,0.99478,2.99558
43,4,586,560,0.98529,1.675298
43,4,586,800,0.99198,2.319593
43,4,586,680,0.98954,2.324126
43,4,586,740,0.99095,2.214364
43,4,586,710,0.99031,2.084979
43,4,586,695,0.98991,2.038864
43,4,586,703,0.99011,2.083201
43,4,586,699,0.99002,2.048091
43,4,586,697,0.98998,2.065689
43,4,586,698,0.99001,2.368904
43,4,586,699,0.99002,2.048091
48,9,567,2000,0.99849,5.747988
48,9,567,1040,0.99492,3.031928
48,9,567,560,0.9856,1.689811
48,9,567,800,0.99221,2.691687
48,9,567,680,0.98998,2.049783
48,9,567,740,0.99125,2.203509
48,9,567,710,0.99071,2.105898
48,9,567,695,0.99029,2.09228
48,9,567,688,0.99016,2.035642
48,9,567,684,0.99009,2.049048
48,9,567,682,0.99003,2.039691
48,9,567,681,0.99,2.058993
48,9,567,688,0.99016,2.035642
48,9,515,2000,0.99848,5.702135
48,9,515,1040,0.99452,2.974035
48,9,515,560,0.9851,1.654825
48,9,515,800,0.9918,2.324479
48,9,515,680,0.98941,2.192372
48,9,515,740,0.99073,2.153435
48,9,515,710,0.9902,2.036668
48,9,515,695,0.98985,2.033966
48,9,515,703,0.99003,2.05036
48,9,515,699,0.98996,2.048836
48,9,515,701,0.99,2.31542
48,9,515,700,0.98997,2.11726
48,9,515,710,0.9902,2.036668
47,8,510,2000,0.99844,5.489733
47,8,510,1040,0.99439,2.902418
47,8,510,560,0.9845,1.629095
47,8,510,800,0.99132,2.312528
47,8,510,680,0.98893,2.228058
47,8,510,740,0.99021,2.165544
47,8,510,710,0.98967,2.050091
47,8,510,725,0.98993,2.063905
47,8,510,733,0.99006,2.138751
47,8,510,729,0.99003,2.089536
47,8,510,727,0.99001,2.086687
47,8,510,726,0.98998,2.397761
47,8,510,727,0.99001,2.086687
