m,max_layer,efc,efs,avg_recall,avg_time_ms
59,5,763,594,0.99003,2.092165
33,5,511,2000,0.9975,5.207406
33,5,511,1040,0.99209,2.869546
33,5,511,560,0.98023,1.596843
33,5,511,800,0.98796,2.682872
33,5,511,920,0.9904,2.496756
33,5,511,860,0.98923,2.361053
33,5,511,890,0.98991,2.426377
33,5,511,905,0.99021,2.457871
33,5,511,898,0.99005,2.435712
33,5,511,894,0.98998,2.6307
33,5,511,896,0.99001,2.529867
33,5,511,896,0.99001,2.529867
32,5,530,2000,0.99754,5.42024
32,5,530,1040,0.99195,3.273507
32,5,530,560,0.97956,1.642962
32,5,530,800,0.98773,2.319558
32,5,530,920,0.99024,2.51372
32,5,530,860,0.98903,2.380486
32,5,530,890,0.98966,2.521659
32,5,530,905,0.98997,2.861099
32,5,530,913,0.99014,2.538086
32,5,530,909,0.99008,2.560702
32,5,530,907,0.98999,2.493704
32,5,530,908,0.99004,2.512745
32,5,530,908,0.99004,2.512745
52,12,957,2000,0.99917,10.381716
52,12,957,1040,0.99695,5.725683
52,12,957,560,0.98988,3.031855
52,12,957,800,0.99492,5.171205
52,12,957,680,0.99288,4.868055
52,12,957,620,0.99146,4.078401
52,12,957,590,0.99081,3.892431
52,12,957,575,0.99032,3.96157
52,12,957,568,0.99011,2.97554
52,12,957,564,0.98996,2.976832
52,12,957,566,0.99005,3.045073
52,12,957,565,0.98997,3.113836
52,12,957,568,0.99011,2.97554
57,16,1559,2000,0,99999
57,16,1559,2000,0,99999
70,1,1096,2000,0.99935,7.450699
70,1,1096,1040,0.99762,4.002727
70,1,1096,560,0.9915,2.168251
70,1,1096,320,0.97845,1.253069
70,1,1096,440,0.98688,1.768079
70,1,1096,380,0.9834,1.477886
70,1,1096,350,0.98109,1.377555
70,1,1096,335,0.97978,1.32868
70,1,1096,343,0.9805,1.717653
70,1,1096,339,0.9801,1.325832
70,1,1096,337,0.97994,1.310565
70,1,1096,338,0.98006,1.331507
70,1,1096,339,0.9801,1.325832
80,11,1301,2000,0.9994,7.663727
80,11,1301,1040,0.99803,4.046293
80,11,1301,560,0.99255,2.570541
80,11,1301,320,0.98018,1.324356
80,11,1301,200,0.96017,0.847487
80,11,1301,260,0.97285,1.082084
80,11,1301,290,0.97685,1.19332
80,11,1301,305,0.97866,1.257899
80,11,1301,313,0.97958,1.281137
80,11,1301,317,0.97992,1.30389
80,11,1301,319,0.98008,1.297694
80,11,1301,318,0.98,1.288454
80,11,1301,318,0.98,1.288454
51,10,944,2000,0.99915,6.838515
51,10,944,1040,0.99684,3.591643
51,10,944,560,0.9897,1.996898
51,10,944,320,0.97567,1.182948
51,10,944,440,0.98488,1.60677
51,10,944,380,0.98093,1.37642
51,10,944,350,0.97847,1.283374
51,10,944,365,0.97984,1.30741
51,10,944,373,0.98044,1.353231
51,10,944,369,0.98017,1.336275
51,10,944,367,0.97997,1.312458
51,10,944,368,0.98004,1.337953
51,10,944,369,0.98017,1.336275
55,11,1286,2000,0.99944,7.315111
55,11,1286,1040,0.99776,3.904864
55,11,1286,560,0.99167,2.165695
55,11,1286,320,0.97849,1.269966
55,11,1286,440,0.98685,1.732993
55,11,1286,380,0.98335,1.499874
55,11,1286,350,0.98094,1.36727
55,11,1286,335,0.97976,1.361741
55,11,1286,343,0.98034,1.337424
55,11,1286,339,0.98011,1.347038
55,11,1286,337,0.97993,1.339487
55,11,1286,338,0.98003,1.346332
55,11,1286,343,0.98034,1.337424
82,13,985,2000,0.99935,7.365744
82,13,985,1040,0.99748,3.84706
82,13,985,560,0.99111,2.123122
82,13,985,320,0.97744,1.219081
82,13,985,440,0.98633,1.762362
82,13,985,380,0.98264,1.472776
82,13,985,350,0.98022,1.346513
82,13,985,335,0.97892,1.31418
82,13,985,343,0.97958,1.333426
82,13,985,347,0.97992,1.327668
82,13,985,349,0.9801,1.335618
82,13,985,348,0.98,1.345531
82,13,985,349,0.9801,1.335618
84,10,1576,2000,0,99999
84,10,1576,2000,0,99999
19,14,770,2000,0.9905,3.957233
19,14,770,1040,0.97906,2.065036
19,14,770,1520,0.98679,3.014101
19,14,770,1280,0.98363,2.504648
19,14,770,1160,0.98158,2.317529
19,14,770,1100,0.98035,2.452495
19,14,770,1070,0.97979,2.157137
19,14,770,1085,0.98012,2.173842
19,14,770,1078,0.97996,2.173303
19,14,770,1082,0.98004,2.142997
19,14,770,1080,0.97999,2.170875
19,14,770,1081,0.98001,2.211444
19,14,770,1082,0.98004,2.142997
67,6,985,2000,0.99848,7.120913
67,6,985,1040,0.99656,3.808906
67,6,985,560,0.98991,2.077097
67,6,985,320,0.97635,1.209267
67,6,985,440,0.98506,1.664016
67,6,985,380,0.98146,1.449448
67,6,985,350,0.97896,1.326228
67,6,985,365,0.98023,1.406078
67,6,985,358,0.97963,1.361692
67,6,985,362,0.98003,1.373966
67,6,985,360,0.97981,1.411922
67,6,985,361,0.97993,1.371194
67,6,985,362,0.98003,1.373966
56,4,1465,2000,0,99999
56,4,1465,2000,0,99999
44,4,1409,2000,0.99941,7.037024
44,4,1409,1040,0.99733,3.735668
44,4,1409,560,0.99032,2.039768
44,4,1409,320,0.97551,1.199364
44,4,1409,440,0.98489,2.026879
44,4,1409,380,0.98101,1.406463
44,4,1409,350,0.97836,1.314684
44,4,1409,365,0.9798,1.353292
44,4,1409,373,0.98043,1.398355
44,4,1409,369,0.98015,1.380656
44,4,1409,367,0.97998,1.353194
44,4,1409,368,0.98005,1.362511
44,4,1409,368,0.98005,1.362511
58,8,455,2000,0.99844,5.697905
58,8,455,1040,0.9942,3.16195
58,8,455,560,0.98433,2.017826
58,8,455,320,0.96593,1.001721
58,8,455,440,0.9776,1.406765
58,8,455,500,0.98136,1.510516
58,8,455,470,0.97955,1.505321
58,8,455,485,0.98049,1.487866
58,8,455,478,0.98002,1.466746
58,8,455,474,0.9798,1.438933
58,8,455,476,0.9799,1.478834
58,8,455,477,0.97997,1.767115
58,8,455,478,0.98002,1.466746
43,10,735,2000,0.99889,6.228203
43,10,735,1040,0.99575,3.379415
43,10,735,560,0.98707,1.890848
43,10,735,800,0.99317,2.953314
43,10,735,680,0.99087,2.247816
43,10,735,620,0.989,2.048383
43,10,735,650,0.98998,2.222275
43,10,735,665,0.99049,2.163519
43,10,735,658,0.99025,2.136119
43,10,735,654,0.99011,2.119702
43,10,735,652,0.99001,2.361203
43,10,735,651,0.98999,2.122114
43,10,735,654,0.99011,2.119702
33,5,511,2000,0.9975,5.194341
33,5,511,1040,0.99209,2.788929
33,5,511,560,0.98023,1.543885
33,5,511,800,0.98796,2.495075
33,5,511,920,0.9904,2.476302
33,5,511,860,0.98923,2.333765
33,5,511,890,0.98991,2.409059
33,5,511,905,0.99021,2.444297
33,5,511,898,0.99005,2.489761
33,5,511,894,0.98998,2.544025
33,5,511,896,0.99001,2.409465
33,5,511,895,0.98998,2.426802
33,5,511,896,0.99001,2.409465
32,5,530,2000,0.99754,5.173473
32,5,530,1040,0.99195,3.125396
32,5,530,560,0.97956,1.558509
32,5,530,800,0.98773,2.11663
32,5,530,920,0.99024,2.442433
32,5,530,860,0.98903,2.309011
32,5,530,890,0.98966,2.335855
32,5,530,905,0.98997,2.677636
32,5,530,913,0.99014,2.417773
32,5,530,909,0.99008,2.417145
32,5,530,907,0.98999,2.425383
32,5,530,908,0.99004,2.433112
32,5,530,909,0.99008,2.417145
43,10,735,654,0.99011,2.119702
41,8,93,2000,0.97825,3.110146
41,8,93,2000,0.97825,3.110146
30,15,675,2000,0.99771,5.195836
30,15,675,1040,0.9919,3.07793
30,15,675,560,0.97921,1.569675
30,15,675,800,0.98754,2.170741
30,15,675,920,0.99024,2.508041
30,15,675,860,0.98904,2.33832
30,15,675,890,0.98964,2.46495
30,15,675,905,0.98995,2.709903
30,15,675,913,0.99005,2.47197
30,15,675,909,0.99001,2.478118
30,15,675,907,0.98998,2.433673
30,15,675,908,0.98999,2.452213
30,15,675,913,0.99005,2.47197
32,9,710,2000,0.99809,5.360577
32,9,710,1040,0.99311,3.152625
32,9,710,560,0.98155,1.59057
32,9,710,800,0.98909,2.210688
32,9,710,920,0.99144,2.559161
32,9,710,860,0.99033,2.411084
32,9,710,830,0.98971,2.29585
32,9,710,845,0.99005,2.628848
32,9,710,838,0.98988,2.314966
32,9,710,842,0.98999,2.357904
32,9,710,844,0.99005,2.377821
32,9,710,843,0.99001,2.330271
32,9,710,843,0.99001,2.330271
