timestamp,trial_id,C,P,I,avg_recall,avg_time_ms,reward_score,status
2025-11-24T06:41:18.973319,0,8867,1669,16,1.0,4.47,225.7136465324385,COMPLETE
2025-11-24T06:42:56.936977,1,3548,1010,16,1.0,3.99,252.62656641604008,COMPLETE
2025-11-24T06:43:38.594673,2,140,54,16,1.0,3.89,259.0694087403599,COMPLETE
2025-11-24T06:45:31.819387,3,4557,644,16,0.9998,3.64,276.52527472527476,COMPLETE
2025-11-24T06:48:05.264177,4,6720,2028,16,1.0,4.915,205.4587995930824,COMPLETE
2025-11-24T06:50:55.544013,5,7781,669,16,0.9994,2.89,347.4207612456747,COMPLETE
2025-11-24T06:51:42.460405,6,546,252,16,1.0,4.43,227.73363431151242,COMPLETE
2025-11-24T06:54:32.680770,7,7732,2010,16,1.0,4.61,218.91973969631235,COMPLETE
2025-11-24T06:56:01.281948,8,3169,620,16,1.0,3.655,275.5978112175103,COMPLETE
2025-11-24T06:57:55.520388,9,4550,899,16,1.0,3.95,255.1645569620253,COMPLETE
2025-11-24T07:01:25.005712,10,10070,1335,16,1.0,3.345,300.9536621823617,COMPLETE
2025-11-24T07:04:53.261711,11,10025,1425,16,1.0,4.31,234.01856148491882,COMPLETE
2025-11-24T07:08:22.289767,12,10036,1387,16,1.0,4.335,232.6805074971165,COMPLETE
2025-11-24T07:11:05.952365,13,6923,1294,16,1.0,4.35,231.8850574712644,COMPLETE
2025-11-24T07:14:08.415786,0,5242,512,16,1.0,3.68,273.7391304347826,COMPLETE
2025-11-24T07:15:13.188195,1,5431,1385,16,1.0,4.15,242.96385542168673,COMPLETE
2025-11-24T07:15:41.077282,2,1174,298,16,1.0,3.55,283.69014084507046,COMPLETE
2025-11-24T07:16:44.462262,3,5204,1857,16,1.0,4.64,217.51724137931035,COMPLETE
2025-11-24T07:18:07.086933,0,5242,191,16,0.9986,3.44,291.2976744186047,COMPLETE
2025-11-24T07:19:43.747677,1,8954,1174,16,1.0,4.11,245.30900243309,COMPLETE
2025-11-24T07:21:19.358655,2,8965,478,16,0.9998,3.73,269.8965147453083,COMPLETE
2025-11-24T07:22:06.194607,3,3485,1048,16,1.0,4.25,237.2941176470588,COMPLETE
2025-11-24T07:23:53.076309,4,10107,1044,16,1.0,4.13,244.13075060532688,COMPLETE
2025-11-24T07:25:23.342512,5,8450,592,16,0.9998,3.79,265.65224274406336,COMPLETE
