M,MaxLayer,EFC,EFS,HammingThreshold,Recall,AvgQueryTime_ms,avg_dists,BuildTime_ms,QPS
32,7,2000,128,41,0.91422,0.528422,4346.8855,4142.596764,1892.426821
32,7,2000,144,41,0.92225,0.57032,4769.3282,4128.794283,1753.402962
32,7,2000,160,41,0.92903,0.658839,5184.8613,3999.137743,1517.822566
32,7,2000,176,41,0.93498,0.688672,5590.8036,4030.688535,1452.070342
32,7,2000,192,41,0.93967,0.738076,5990.014,4113.233495,1354.874152
32,7,2000,208,41,0.94433,0.798673,6380.7301,3974.727607,1252.07636
32,7,2000,224,41,0.94801,0.841492,6765.0146,3275.009344,1188.366074
32,7,2000,240,41,0.95133,0.899884,7142.6683,3979.767471,1111.254695
32,7,2000,256,41,0.95425,0.942207,7516.3129,3357.477189,1061.338064
32,7,2000,272,41,0.95681,1.283331,7882.1822,4070.029446,779.221993
32,7,2000,288,41,0.95915,1.040995,8244.0596,4234.600803,960.619726
32,7,2000,304,41,0.96143,1.096742,8600.3317,4004.377395,911.791704
32,7,2000,320,41,0.96327,1.15184,8952.8951,4027.350631,868.17639
32,7,2000,336,41,0.96523,1.198518,9300.3994,3216.634233,834.363761
32,7,2000,352,41,0.96683,1.248355,9643.2617,3966.270175,801.054011
32,7,2000,368,41,0.96849,1.307132,9983.4532,3979.846895,765.0337
32,7,2000,384,41,0.97,1.330993,10318.7031,3973.289225,751.318749
32,7,2000,400,41,0.97144,1.392164,10650.2079,3954.432809,718.305951
32,7,2000,416,41,0.97281,1.492525,10978.7465,3990.21165,670.005609
32,7,2000,432,41,0.97402,1.536076,11303.9686,4897.285606,651.009391
32,7,2000,448,41,0.97499,1.540561,11625.513,4077.951278,649.114174
32,7,2000,464,41,0.97585,1.581726,11943.3079,3985.247965,632.220618
32,7,2000,480,41,0.97673,1.630733,12258.0973,3204.861732,613.22117
32,7,2000,496,41,0.97751,1.685615,12571.2022,4040.176783,593.255204
32,7,2000,512,41,0.97829,1.729448,12881.7809,3989.353047,578.219136
32,7,2000,528,41,0.97905,1.780464,13187.799,4087.034665,561.651205
32,7,2000,544,41,0.97963,2.112061,13492.022,4038.328943,473.471179
32,7,2000,560,41,0.98028,1.89718,13793.8267,3481.763436,527.098145
32,7,2000,576,41,0.98078,1.900502,14092.7617,4117.302353,526.176902
32,7,2000,592,41,0.98135,1.982087,14389.8018,4030.630968,504.518835
32,7,2000,608,41,0.98196,2.025017,14683.7823,3987.936196,493.823047
32,7,2000,624,41,0.98245,2.58595,14976.3678,3998.080477,386.705047
32,7,2000,640,41,0.98288,2.297672,15266.3523,3601.586413,435.223044
32,7,2000,656,41,0.98316,2.568167,15554.2516,3691.240794,389.382734
32,7,2000,672,41,0.98344,2.366552,15840.3159,4069.892726,422.555686
32,7,2000,688,41,0.98379,2.39353,16123.5057,3599.802291,417.792968
32,7,2000,704,41,0.98415,2.493801,16404.4191,3815.167384,400.994373
32,7,2000,720,41,0.98449,2.511658,16684.2627,3647.403592,398.143405
32,7,2000,736,41,0.98489,2.584471,16962.1645,3619.554932,386.926328
32,7,2000,752,41,0.98534,2.656788,17238.2785,4296.894021,376.394348
32,7,2000,768,41,0.98562,2.663977,17511.7623,3515.711017,375.378581
32,7,2000,784,41,0.98594,3.489008,17784.4028,3543.836112,286.614412
32,7,2000,800,41,0.98631,2.54643,18054.3853,4426.501047,392.706649
32,7,2000,816,41,0.98663,2.611967,18322.7638,3898.663156,382.853295
32,7,2000,832,41,0.98685,2.613341,18589.257,3861.94345,382.651934
32,7,2000,848,41,0.98707,2.667752,18854.5798,4016.166293,374.847482
32,7,2000,864,41,0.98734,3.050472,19119.0118,3921.721972,327.818171
32,7,2000,880,41,0.9875,2.80066,19381.4175,4285.068029,357.058735
32,7,2000,896,41,0.98775,2.717601,19642.2895,3908.47104,367.971625
32,7,2000,912,41,0.98797,2.81849,19901.3815,3963.736103,354.799945
32,7,2000,928,41,0.98826,2.890714,20158.5745,4006.349,345.935276
32,7,2000,944,41,0.9884,2.975874,20415,3352.796128,336.035715
32,7,2000,960,41,0.98856,2.916167,20669.7214,4908.567725,342.915934
32,7,2000,976,41,0.9887,3.053876,20923.2075,4334.720769,327.452725
32,7,2000,992,41,0.98884,3.116118,21175.4334,3994.53352,320.912072
32,7,2000,1008,41,0.98906,3.168026,21425.5099,3957.165392,315.653956
32,7,2000,1024,41,0.98919,3.549482,21674.9158,3419.958046,281.731263
