timestamp,trial_id,C,P,I,avg_recall,avg_time_ms,reward_score,status
2025-11-23T19:37:22.929052,0,5422,1024,16,0.0,10000.0,108500.0,COMPLETE
2025-11-23T19:37:53.205780,1,35456,1568,16,0.0,10000.0,108500.0,COMPLETE
2025-11-23T19:38:23.454531,2,59712,1766,16,0.0,10000.0,108500.0,COMPLETE
2025-11-23T19:42:02.413189,0,5422,1024,16,0.0,100000.0,100108.01,COMPLETE
2025-11-23T19:42:32.722035,1,10256,955,16,0.0,100000.0,100108.01,COMPLETE
2025-11-23T19:46:10.353472,0,5422,1024,16,0.9841,4.845,4.845,COMPLETE
2025-11-23T20:11:42.883246,1,62718,1968,16,0.9682,9.809999999999999,21.0,COMPLETE
2025-11-23T20:15:30.271358,2,8867,1669,16,0.9858,4.824999999999999,4.824999999999999,COMPLETE
2025-11-23T20:27:44.531293,3,31029,1840,16,0.9725,6.26,17.019999999999992,COMPLETE
2025-11-23T20:34:00.022682,4,14901,1265,16,0.9703,5.0649999999999995,16.04499999999999,COMPLETE
