M,MaxLayer,EFC,EFS,HammingThreshold,Recall,avg_dists,BuildTime_ms,QPS,AvgQueryTime_ms,Reward
32,7,1000,256,42,0.95656,8125.8092,3985.500164,1037.813038,0.963565,12908.6092
32,7,1300,256,42,0.95684,8198.3931,3824.140004,756.597249,1.321707,12982.5931
32,7,1000,272,42,0.95934,8531,4033.127749,976.358798,1.024214,13327.7
32,7,1300,272,42,0.95959,8608.3034,4015.85481,950.658634,1.051902,13406.2534
32,7,1000,288,42,0.9619,8931.2248,4018.99226,910.340311,1.09849,13740.7248
32,7,1300,288,42,0.96205,9013.0724,1987.516223,887.52728,1.126726,13823.3224
32,7,1000,304,42,0.96392,9324.9369,4171.942771,859.077435,1.164039,14144.5369
32,7,1300,304,42,0.9641,9412.8284,3924.784167,878.045597,1.138893,14233.3284
40,7,1000,256,42,0.96527,9543.2401,4203.716726,865.590991,1.15528,14369.5901
32,7,1000,320,42,0.96577,9716.0165,4028.931149,833.427826,1.199864,14544.8665
40,7,1300,256,42,0.96602,9717.7737,5204.001087,821.542696,1.217222,14547.8737
32,7,1300,320,42,0.96609,9807.3355,3823.713899,822.578834,1.215689,14637.7855
32,7,1000,336,42,0.96746,10101.1674,3980.989432,806.547618,1.239852,14938.4674
40,7,1000,272,42,0.9677,10022.7651,4165.27178,788.07982,1.268907,14861.2651
32,7,1300,336,42,0.96776,10197.434,2312.301605,798.984781,1.251588,15036.234
40,7,1300,272,42,0.96862,10204.0061,4265.189502,767.194697,1.30345,15047.1061
32,7,1000,352,42,0.96908,10483.2724,3990.296157,617.024398,1.620681,15328.6724
32,7,1300,352,42,0.96957,10584.2704,2284.93112,730.475026,1.368972,15432.1204
40,7,1000,288,42,0.96998,10494.5401,4299.424344,742.460208,1.346874,15344.4401
40,7,1300,288,42,0.97076,10684.7163,4508.632099,722.602841,1.383886,15538.5163
32,7,1000,368,42,0.97077,10861.6587,4028.131179,720.030388,1.38883,15715.5087
32,7,1300,368,42,0.97092,10965.8747,2183.157713,720.531633,1.387864,15820.4747
40,7,1000,304,42,0.97191,10961.2544,4162.272967,587.781765,1.701312,15820.8044
32,7,1000,384,42,0.97212,11236.1511,4024.499725,699.220941,1.430163,16096.7511
32,7,1300,384,42,0.97236,11345.0488,3917.937319,673.877103,1.48395,16206.8488
40,7,1300,304,42,0.97255,11160.5657,4352.434191,683.145813,1.463816,16023.3157
32,7,1000,400,42,0.97336,11604.3885,4024.669327,670.536426,1.491343,16471.1885
40,7,1000,320,42,0.97363,11422.3224,4133.738779,686.453311,1.456763,16290.4724
32,7,1300,400,42,0.9737,11717.9444,4090.335128,539.534913,1.853448,16586.4444
57,7,1000,256,42,0.97401,11912.4113,5321.370244,580.737548,1.721948,16782.4613
40,7,1300,320,42,0.97419,11629.4346,4296.727844,672.812982,1.486297,16500.3846
32,7,1000,416,42,0.9747,11971.5136,4000.463141,649.113076,1.540564,16845.0136
57,7,1300,256,42,0.97494,12275.8234,4685.388187,675.505533,1.480373,17150.5234
40,7,1000,336,42,0.97505,11877.8897,2213.121593,662.352062,1.509771,16753.1397
32,7,1300,416,42,0.97507,12088.6643,4032.127554,641.81293,1.558086,16964.0143
40,7,1300,336,42,0.97562,12092.9679,4292.930072,645.181819,1.549951,16971.0679
32,7,1000,432,42,0.97586,12333.8337,4082.592068,613.972123,1.628738,17213.1337
57,7,1000,272,42,0.97618,12506.6417,4639.636616,513.082895,1.949003,17387.5417
32,7,1300,432,42,0.9762,12455.4,3984.118982,615.059395,1.625859,17336.4
40,7,1000,352,42,0.97639,12328.3293,4247.310172,608.668723,1.64293,17210.2793
32,7,1000,448,42,0.97685,12693.2561,4031.32286,604.91683,1.65312,17577.5061
40,7,1300,352,42,0.97691,12551.5848,4315.543025,605.823663,1.650645,17436.1348
57,7,1300,272,42,0.97694,12890.1666,1861.695387,650.403685,1.537507,17774.8666
32,7,1300,448,42,0.97723,12818.9322,1805.290654,617.319487,1.619907,17705.0822
32,7,1000,464,42,0.97779,13049.6612,4894.438387,594.97909,1.680731,17938.6112
40,7,1000,368,42,0.97781,12772.501,4185.490912,611.90254,1.634247,17661.551
32,7,1300,464,42,0.97817,13178.9212,4041.423359,596.911756,1.67529,18069.7712
40,7,1300,368,42,0.97828,13004.6972,4936.335044,576.812477,1.733666,17896.0972
57,7,1000,288,42,0.9783,13093.9778,4811.951912,480.101189,2.082894,17985.4778
32,7,1000,480,42,0.9787,13402.5953,4738.576417,565.891877,1.767122,18296.0953
57,7,1300,288,42,0.97883,13494.4842,4591.449158,610.578322,1.637792,18388.6342
40,7,1000,384,42,0.97899,13214.1946,4207.348813,607.53784,1.645988,18109.1446
32,7,1300,480,42,0.97902,13536.3378,4050.934544,556.768423,1.796079,18431.4378
40,7,1300,384,42,0.97951,13452.5843,4990.149767,572.970494,1.745291,18350.1343
32,7,1000,496,42,0.97956,13752.5866,4811.830918,582.158661,1.717745,18650.3866
57,7,1000,304,42,0.97975,13673.014,4950.161777,443.279015,2.255915,18571.764
32,7,1300,496,42,0.97987,13890.2888,3983.48771,538.425319,1.857268,18789.6388
40,7,1000,400,42,0.97997,13650.0549,2255.91614,547.05271,1.827977,18549.9049
32,7,1000,512,42,0.98026,14100.2531,4871.026603,563.421061,1.774872,19001.5531
57,7,1300,304,42,0.98047,14090.8004,4504.399441,610.804061,1.637186,18993.1504
32,7,1300,512,42,0.98054,14241.6254,1650.821051,531.724358,1.880674,19144.3254
40,7,1300,400,42,0.98059,13897.0507,4966.769945,547.699996,1.825817,18800.0007
40,7,1000,416,42,0.98103,14081.6158,4123.724033,538.717571,1.85626,18986.7658
40,7,1300,416,42,0.98135,14336.0894,5014.27474,509.899922,1.961169,19242.8394
57,7,1000,320,42,0.9814,14245.9446,5599.523939,538.796741,1.855987,19152.9446
57,7,1300,320,42,0.98174,14679.5729,4133.0623,599.204902,1.668878,19588.2729
40,7,1000,432,42,0.98184,14508.2421,4229.946894,534.957736,1.869307,19417.4421
40,7,1300,432,42,0.98233,14770.2876,4243.098047,496.653422,2.013477,19681.9376
57,7,1000,336,42,0.98264,14811.5051,4652.480921,530.962454,1.883372,19724.7051
40,7,1000,448,42,0.98282,14932.2244,4461.818529,505.309562,1.978985,19846.3244
57,7,1300,336,42,0.98299,15262.6079,3793.652542,563.072887,1.775969,20177.5579
40,7,1300,448,42,0.98338,15200.0648,4319.246492,511.04092,1.95679,20116.9648
57,7,1000,352,42,0.98364,15369.5604,4647.768977,459.019314,2.178558,20287.7604
40,7,1000,464,42,0.98381,15351.4097,4262.856843,477.944287,2.092294,20270.4597
57,7,1300,352,42,0.98409,15837.3676,4278.871693,547.298101,1.827158,20757.8176
40,7,1300,464,42,0.98423,15627.14,4418.132729,481.298606,2.077712,20548.29
40,7,1000,480,42,0.98463,15765.7,4243.653113,485.103836,2.061414,20688.85
57,7,1000,368,42,0.98464,15921.0516,4675.800427,457.195677,2.187247,20844.2516
40,7,1300,480,42,0.98498,16049.6232,4387.650857,458.4476,2.181274,20974.5232
40,7,1000,496,42,0.98537,16177.9866,4121.675879,468.81571,2.133034,21104.8366
57,7,1000,384,42,0.9856,16466.5199,4752.276486,447.722178,2.233528,21394.5199
40,7,1300,496,42,0.98579,16468.1565,4227.359446,450.567562,2.219423,21397.1065
40,7,1000,512,42,0.98612,16585.7966,4223.568345,380.316919,2.629386,21516.3966
57,7,1000,400,42,0.98638,17005.4348,4849.546119,407.343359,2.454931,21937.3348
40,7,1300,512,42,0.98639,16883.6515,4351.667876,436.333855,2.291823,21815.6015
57,7,1000,416,42,0.98718,17538.7346,5416.390116,448.46987,2.229804,22474.6346
57,7,1000,432,42,0.98775,18066.4547,4630.37473,437.713655,2.284599,23005.2047
57,7,1000,448,42,0.98837,18588.0695,1989.217423,420.051187,2.380662,23529.9195
57,7,1000,464,42,0.98898,19104.9764,4512.645507,408.280017,2.449299,24049.8764
57,7,1000,480,42,0.98964,19617.3697,4603.583025,337.786852,2.960447,24565.5697
57,7,1000,496,42,0.99023,20124.999,4612.223022,382.638596,2.613432,25076.149
57,7,1000,512,42,0.99074,20627.3719,4590.683488,367.875146,2.718314,25581.0719
