variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
no_csr,1,0,0,0,0,0,0,43,10,735,1500,4124.766185,5433.637202, 115.476876, 0.000000, 8.659742, 57745.723100, 42677, 86597.423790,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1500/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,43,10,735,1500,4261.896037,4268.004630, 185.512392, 0.998040, 5.390475, 57726.375700, 42350, 53904.754665,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1500/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,43,10,735,1500,4262.508883,4268.469576, 213.441293, 0.998040, 4.685129, 57726.375700, 42350, 46851.290338,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1500/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,43,10,735,1500,4245.060405,4252.198995, 213.530493, 0.998040, 4.683172, 57726.375700, 42350, 46831.718712,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1500/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,43,10,735,1500,4321.850020,4327.659186, 195.713152, 0.998040, 5.109519, 57726.375700, 42350, 51095.186424,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1500/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,43,10,735,1500,4167.381133,5458.901671, 116.553489, 0.000000, 8.579752, 57745.723100, 42677, 85797.517279,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS1500/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,43,10,735,425,3617.344599,3622.430017, 786.063896, 0.980000, 1.272161, 19206.545900, 16068, 12721.612133,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS425/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,425,3633.145117,3638.107601, 806.448485, 0.980000, 1.240005, 19206.545900, 16068, 12400.048091,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS425/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,43,10,735,425,5503.977046,5509.137825, 769.243122, 0.980000, 1.299979, 19206.545900, 16068, 12999.791247,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS425/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,43,10,735,425,3668.355052,3672.956093, 641.940301, 0.980000, 1.557777, 19206.545900, 16068, 15577.772561,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS425/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,43,10,735,425,3616.446896,4663.703193, 480.419767, 0.000000, 2.081513, 19227.043500, 16289, 20815.130195,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS425/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,43,10,735,425,3695.802070,3700.272253, 657.472166, 0.980000, 1.520977, 19206.545900, 16068, 15209.769343,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS425/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,43,10,735,425,3593.483942,3598.091155, 803.097087, 0.980000, 1.245179, 19206.545900, 16068, 12451.794630,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS425/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,43,10,735,425,3759.659799,3764.767648, 797.669546, 0.980000, 1.253652, 19206.545900, 16068, 12536.519736,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS425/no_reorder/run_stdout_1.log,1
no_simd,0,0,1,0,0,0,0,43,10,735,425,3546.209394,3550.730615, 792.003377, 0.980000, 1.262621, 19206.545900, 16068, 12626.208788,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS425/no_simd/run_stdout_1.log,1
nothing,1,1,1,1,1,1,1,43,10,735,425,3596.810015,4684.346983, 437.720629, 0.000000, 2.284562, 19227.043500, 16289, 22845.621919,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS425/nothing/run_stdout_1.log,1
dynamic_struct,0,0,0,0,0,1,0,43,10,735,500,3733.123819,3738.054823, 691.754445, 0.984620, 1.445600, 22174.847500, 18210, 14455.996742,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS500/dynamic_struct/run_stdout_1.log,1
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,500,3625.875815,3630.880861, 690.828944, 0.984620, 1.447536, 22174.847500, 18210, 14475.363393,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS500/dynamic_with_opts/run_stdout_1.log,1
full,0,0,0,0,0,0,0,43,10,735,500,3659.909626,3664.850089, 682.981291, 0.984620, 1.464169, 22174.847500, 18210, 14641.689507,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS500/full/run_stdout_1.log,1
heap,0,0,0,0,1,0,0,43,10,735,500,3625.427493,3630.279750, 684.622058, 0.984620, 1.460660, 22174.847500, 18210, 14606.599199,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS500/heap/run_stdout_1.log,1
no_csr,1,0,0,0,0,0,0,43,10,735,500,3654.340374,4729.676003, 412.069940, 0.000000, 2.426773, 22194.669100, 18568, 24267.725064,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS500/no_csr/run_stdout_1.log,1
no_prefetch,0,1,0,0,0,0,0,43,10,735,500,3714.001476,3718.620040, 570.692418, 0.984620, 1.752257, 22174.847500, 18210, 17522.573771,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS500/no_prefetch/run_stdout_1.log,1
no_pruning,0,0,0,1,0,0,0,43,10,735,500,3584.836316,3589.708189, 687.225025, 0.984620, 1.455127, 22174.847500, 18210, 14551.274535,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS500/no_pruning/run_stdout_1.log,1
no_reorder,0,0,0,0,0,0,1,43,10,735,500,3611.953693,3617.132608, 683.778869, 0.984620, 1.462461, 22174.847500, 18210, 14624.611043,results/ablation_20251204_155205/params_M43_ML10_EFC735_EFS500/no_reorder/run_stdout_1.log,1
