STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c1536_i16_p128,1536,16,128,32,0.9982,2.71,14
c1600_i16_p120,1600,16,120,33,0.998,2.49,16
c1600_i16_p128,1600,16,128,32,0.998,2.56,15
c1600_i16_p100,1600,16,100,34,0.9978,2.33,17
c1536_i16_p120,1536,16,120,34,0.9978,2.6,16
c1800_i16_p120,1800,16,120,34,0.9974,2.26,18
c1600_i16_p96,1600,16,96,38,0.9974,3.34,21
c4096_i16_p128,4096,16,128,60,0.9972,1.47,43
c2300_i16_p105,2300,16,105,37,0.9972,1.51,20
c2300_i16_p110,2300,16,110,38,0.9972,1.53,24
c1536_i16_p90,1536,16,90,33,0.9972,2.2,17
c1600_i16_p90,1600,16,90,32,0.9972,2.2,17
c1800_i16_p128,1800,16,128,34,0.9972,2.25,17
c1536_i16_p100,1536,16,100,33,0.9972,2.26,18
c2200_i16_p128,2200,16,128,38,0.9972,2.31,23
c1536_i16_p96,1536,16,96,39,0.9972,2.62,20
c2300_i16_p115,2300,16,115,37,0.997,1.5,23
c2400_i16_p115,2400,16,115,39,0.997,1.51,25
c1536_i16_p80,1536,16,80,32,0.997,1.78,17
c1800_i16_p96,1800,16,96,41,0.997,1.9,24
c1800_i16_p100,1800,16,100,35,0.997,1.99,19
c1536_i16_p84,1536,16,84,35,0.997,2.31,16
c2048_i16_p128,2048,16,128,41,0.997,3.38,23
c2300_i16_p100,2300,16,100,41,0.997,4.58,20
c2500_i16_p105,2500,16,105,38,0.9968,1.31,25
c2400_i16_p105,2400,16,105,38,0.9968,1.36,21
c2500_i16_p110,2500,16,110,41,0.9968,1.42,24
c2500_i16_p115,2500,16,115,39,0.9968,1.49,22
c2400_i16_p110,2400,16,110,40,0.9968,1.51,21
c2048_i16_p115,2048,16,115,35,0.9968,1.68,21
c3072_i16_p128,3072,16,128,50,0.9968,1.88,33
