STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c8381_i16_p433,8381,16,433,0,0.9994,2.89,0
c8519_i16_p325,8519,16,325,0,0.9992,1.83,0
c8519_i16_p317,8519,16,317,0,0.9992,1.88,0
c8519_i16_p321,8519,16,321,0,0.9992,1.91,0
c8381_i16_p379,8381,16,379,0,0.9992,2.29,0
c8381_i16_p325,8381,16,325,0,0.9992,2.39,0
c8443_i16_p321,8443,16,321,0,0.999,1.72,0
c8443_i16_p334,8443,16,334,0,0.999,1.83,0
c8443_i16_p325,8443,16,325,0,0.999,1.88,0
c8378_i16_p381,8378,16,381,0,0.999,1.91,0
c8367_i16_p325,8367,16,325,0,0.999,1.94,0
c8443_i16_p347,8443,16,347,0,0.999,2.03,0
c8378_i16_p339,8378,16,339,0,0.999,2.17,0
c8593_i16_p322,8593,16,322,0,0.999,2.21,0
c8378_i16_p393,8378,16,393,0,0.999,2.24,0
c8443_i16_p442,8443,16,442,0,0.999,2.26,0
c8493_i16_p405,8493,16,405,0,0.999,2.29,0
c8378_i16_p447,8378,16,447,0,0.999,2.57,0
c8443_i16_p327,8443,16,327,0,0.999,3.6,0
c8378_i16_p255,8378,16,255,0,0.9988,1.62,0
c8378_i16_p297,8378,16,297,0,0.9988,1.65,0
c9670_i16_p334,9670,16,334,0,0.9988,1.72,0
c8481_i16_p325,8481,16,325,0,0.9988,1.84,0
c8443_i16_p317,8443,16,317,0,0.9988,1.86,0
c8488_i16_p351,8488,16,351,0,0.9988,1.87,0
c8443_i16_p388,8443,16,388,0,0.9988,1.92,0
c8481_i16_p321,8481,16,321,0,0.9988,1.92,0
c8378_i16_p285,8378,16,285,0,0.9988,1.96,0
c8443_i16_p361,8443,16,361,0,0.9988,1.98,0
c8528_i16_p340,8528,16,340,0,0.9988,2,0
c8367_i16_p321,8367,16,321,0,0.9988,2.12,0
c8381_i16_p271,8381,16,271,0,0.9988,2.18,0
c8925_i16_p300,8925,16,300,0,0.9988,2.18,0
c8367_i16_p317,8367,16,317,0,0.9988,2.19,0
c8581_i16_p431,8581,16,431,0,0.9988,2.37,0
c8928_i16_p311,8928,16,311,0,0.9988,2.45,0
c7889_i16_p428,7889,16,428,0,0.9988,2.5,0
c8443_i16_p315,8443,16,315,0,0.9988,2.85,0
c8593_i16_p296,8593,16,296,0,0.9986,1.06,0
c9903_i16_p400,9903,16,400,0,0.9986,1.63,0
c8443_i16_p280,8443,16,280,0,0.9986,1.66,0
