variant,csr,prefetch,simd,pruning,heap,flat_index,reorder,M,ML,EFC,EFS,build_time_internal_ms,build_time_local_ms,queries_per_sec,avg_recall,avg_query_time_ms,avg_dists,last_query_dists,total_query_time_ms,log_file,run_index
full,0,0,0,0,0,0,0,43,10,735,425,4391.423840,4396.869027, 613.708114, 0.980000, 1.629439, 19206.545900, 16068, 16294.391053
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS425/full/run_20251204_121204_239.log,1,,,,,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,0,0,43,10,735,425,3973.806474,5212.544438, 440.474145, 0.000000, 2.270281, 19227.043500, 16289, 22702.808127
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS425/no_csr/run_20251204_121234_335.log,1,,,,,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,0,0,43,10,735,425,3893.377679,3898.632176, 597.156638, 0.980000, 1.674603, 19206.545900, 16068, 16746.025006
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS425/no_prefetch/run_20251204_121311_284.log,1,,,,,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,0,0,43,10,735,425,4009.692401,4014.581857, 567.195598, 0.980000, 1.763060, 19206.545900, 16068, 17630.602260
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS425/no_simd/run_20251204_121340_963.log,1,,,,,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,0,0,43,10,735,425,3886.577122,3891.801954, 677.849838, 0.980000, 1.475253, 19206.545900, 16068, 14752.529894
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS425/no_pruning/run_20251204_121412_184.log,1,,,,,,,,,,,,,,,,,,
heap,0,0,0,0,1,0,0,43,10,735,425,4057.143220,4062.335749, 693.192782, 0.980000, 1.442600, 19206.545900, 16068, 14426.001341
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS425/heap/run_20251204_121440_363.log,1,,,,,,,,,,,,,,,,,,
dynamic_struct,0,0,0,0,0,1,0,43,10,735,425,4183.253510,4189.123994, 654.797227, 0.980000, 1.527190, 19206.545900, 16068, 15271.903415
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS425/dynamic_struct/run_20251204_121508_082.log,1,,,,,,,,,,,,,,,,,,
no_reorder,0,0,0,0,0,0,1,43,10,735,425,4216.246908,4222.725480, 613.607415, 0.980000, 1.629707, 19206.545900, 16068, 16297.065124
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS425/no_reorder/run_20251204_121537_090.log,1,,,,,,,,,,,,,,,,,,
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,425,3962.408964,3968.268295, 741.677454, 0.980000, 1.348295, 19206.545900, 16068, 13482.949960
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS425/dynamic_with_opts/run_20251204_121607_211.log,1,,,,,,,,,,,,,,,,,,
nothing,1,1,1,1,1,1,1,43,10,735,425,3804.702710,5099.353594, 328.762786, 0.000000, 3.041707, 19227.043500, 16289, 30417.067956
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS425/nothing/run_20251204_121633_776.log,1,,,,,,,,,,,,,,,,,,
full,0,0,0,0,0,0,0,43,10,735,500,3932.326582,3937.457615, 636.818004, 0.984620, 1.570307, 22174.847500, 18210, 15703.073619
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS500/full/run_20251204_121718_707.log,1,,,,,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,0,0,43,10,735,500,3933.439663,5064.101464, 380.715062, 0.000000, 2.626636, 22194.669100, 18568, 26266.362976
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS500/no_csr/run_20251204_121747_596.log,1,,,,,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,0,0,43,10,735,500,3943.510451,3948.846924, 500.600790, 0.984620, 1.997600, 22174.847500, 18210, 19975.997243
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS500/no_prefetch/run_20251204_121828_066.log,1,,,,,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,0,0,43,10,735,500,3886.482909,3891.825592, 591.588598, 0.984620, 1.690364, 22174.847500, 18210, 16903.638839
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS500/no_simd/run_20251204_121901_052.log,1,,,,,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,0,0,43,10,735,500,4010.711605,4015.728063, 570.878340, 0.984620, 1.751687, 22174.847500, 18210, 17516.867083
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS500/no_pruning/run_20251204_121931_032.log,1,,,,,,,,,,,,,,,,,,
heap,0,0,0,0,1,0,0,43,10,735,500,4026.256960,4031.380178, 455.433183, 0.984620, 2.195712, 22174.847500, 18210, 21957.117685
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS500/heap/run_20251204_122001_954.log,1,,,,,,,,,,,,,,,,,,
dynamic_struct,0,0,0,0,0,1,0,43,10,735,500,4139.430195,4144.560126, 506.602439, 0.984620, 1.973934, 22174.847500, 18210, 19739.344379
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS500/dynamic_struct/run_20251204_122038_024.log,1,,,,,,,,,,,,,,,,,,
no_reorder,0,0,0,0,0,0,1,43,10,735,500,4231.369396,4236.714965, 614.301635, 0.984620, 1.627865, 22174.847500, 18210, 16278.647859
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS500/no_reorder/run_20251204_122111_828.log,1,,,,,,,,,,,,,,,,,,
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,500,3876.544156,3881.551245, 620.408793, 0.984620, 1.611840, 22174.847500, 18210, 16118.404695
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS500/dynamic_with_opts/run_20251204_122141_487.log,1,,,,,,,,,,,,,,,,,,
nothing,1,1,1,1,1,1,1,43,10,735,500,3851.159430,4987.674036, 329.345491, 0.000000, 3.036325, 22194.669100, 18568, 30363.251606
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS500/nothing/run_20251204_122210_488.log,1,,,,,,,,,,,,,,,,,,
full,0,0,0,0,0,0,0,43,10,735,600,3990.391042,3995.979831, 422.665685, 0.988320, 2.365936, 26042.405100, 20858, 23659.360968
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS600/full/run_20251204_122254_996.log,1,,,,,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,0,0,43,10,735,600,4035.905149,5293.037461, 281.020685, 0.000000, 3.558457, 26061.864300, 21118, 35584.569096
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS600/no_csr/run_20251204_122332_438.log,1,,,,,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,0,0,43,10,735,600,3881.010532,3885.946226, 421.965806, 0.988320, 2.369860, 26042.405100, 20858, 23698.602750
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS600/no_prefetch/run_20251204_122422_621.log,1,,,,,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,0,0,43,10,735,600,3964.238183,3970.506668, 503.221221, 0.988320, 1.987198, 26042.405100, 20858, 19871.975963
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS600/no_simd/run_20251204_122459_368.log,1,,,,,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,0,0,43,10,735,600,3831.402267,3836.308165, 531.232644, 0.988320, 1.882414, 26042.405100, 20858, 18824.144414
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS600/no_pruning/run_20251204_122532_329.log,1,,,,,,,,,,,,,,,,,,
heap,0,0,0,0,1,0,0,43,10,735,600,3843.573737,3848.778900, 456.632833, 0.988320, 2.189943, 26042.405100, 20858, 21899.432701
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS600/heap/run_20251204_122603_868.log,1,,,,,,,,,,,,,,,,,,
dynamic_struct,0,0,0,0,0,1,0,43,10,735,600,3871.258537,3876.248303, 539.374164, 0.988320, 1.854001, 26042.405100, 20858, 18540.005547
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS600/dynamic_struct/run_20251204_122639_165.log,1,,,,,,,,,,,,,,,,,,
no_reorder,0,0,0,0,0,0,1,43,10,735,600,3868.982545,3873.908671, 538.239215, 0.988320, 1.857910, 26042.405100, 20858, 18579.099620
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS600/no_reorder/run_20251204_122710_634.log,1,,,,,,,,,,,,,,,,,,
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,600,3876.833823,3881.685959, 542.737626, 0.988320, 1.842511, 26042.405100, 20858, 18425.109152
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS600/dynamic_with_opts/run_20251204_122741_986.log,1,,,,,,,,,,,,,,,,,,
nothing,1,1,1,1,1,1,1,43,10,735,600,3846.927135,4986.905307, 299.371555, 0.000000, 3.340331, 26061.864300, 21118, 33403.307160
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS600/nothing/run_20251204_122813_137.log,1,,,,,,,,,,,,,,,,,,
full,0,0,0,0,0,0,0,43,10,735,625,3903.434507,3909.163994, 506.516789, 0.989140, 1.974268, 26996.279200, 21524, 19742.682221
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS625/full/run_20251204_122900_510.log,1,,,,,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,0,0,43,10,735,625,4053.679293,5324.128508, 303.867599, 0.000000, 3.290907, 27015.865800, 21772, 32909.069674
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS625/no_csr/run_20251204_122933_054.log,1,,,,,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,0,0,43,10,735,625,3825.752438,3830.773143, 426.809230, 0.989140, 2.342967, 26996.279200, 21524, 23429.671373
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS625/no_prefetch/run_20251204_123021_176.log,1,,,,,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,0,0,43,10,735,625,3831.546171,3836.708343, 514.347728, 0.989140, 1.944210, 26996.279200, 21524, 19442.100062
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS625/no_simd/run_20251204_123057_580.log,1,,,,,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,0,0,43,10,735,625,3825.516528,3830.709979, 515.438489, 0.989140, 1.940096, 26996.279200, 21524, 19400.957064
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS625/no_pruning/run_20251204_123129_703.log,1,,,,,,,,,,,,,,,,,,
heap,0,0,0,0,1,0,0,43,10,735,625,3821.272991,3826.393655, 505.851264, 0.989140, 1.976866, 26996.279200, 21524, 19768.656757
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS625/heap/run_20251204_123201_845.log,1,,,,,,,,,,,,,,,,,,
dynamic_struct,0,0,0,0,0,1,0,43,10,735,625,3849.697239,3854.584712, 435.791491, 0.989140, 2.294675, 26996.279200, 21524, 22946.753666
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS625/dynamic_struct/run_20251204_123234_820.log,1,,,,,,,,,,,,,,,,,,
no_reorder,0,0,0,0,0,0,1,43,10,735,625,4100.874247,4106.036106, 504.692171, 0.989140, 1.981406, 26996.279200, 21524, 19814.058103
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS625/no_reorder/run_20251204_123311_460.log,1,,,,,,,,,,,,,,,,,,
dynamic_with_opts,0,0,0,0,0,1,0,43,10,735,625,3831.764448,3836.720601, 507.245985, 0.989140, 1.971430, 26996.279200, 21524, 19714.300927
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS625/dynamic_with_opts/run_20251204_123344_784.log,1,,,,,,,,,,,,,,,,,,
nothing,1,1,1,1,1,1,1,43,10,735,625,3838.365351,5084.655903, 282.859036, 0.000000, 3.535330, 27015.865800, 21772, 35353.298682
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS625/nothing/run_20251204_123417_280.log,1,,,,,,,,,,,,,,,,,,
full,0,0,0,0,0,0,0,43,10,735,648,3865.329379,3871.088981, 497.036007, 0.989910, 2.011927, 27868.950000, 22089, 20119.266740
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS648/full/run_20251204_123506_781.log,1,,,,,,,,,,,,,,,,,,
no_csr,1,0,0,0,0,0,0,43,10,735,648,3862.954508,5065.892553, 248.162323, 0.000000, 4.029621, 27889.065700, 22338, 40296.205679
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS648/no_csr/run_20251204_123539_688.log,1,,,,,,,,,,,,,,,,,,
no_prefetch,0,1,0,0,0,0,0,43,10,735,648,3774.748186,3779.804968, 414.542290, 0.989910, 2.412299, 27868.950000, 22089, 24122.991183
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS648/no_prefetch/run_20251204_123634_529.log,1,,,,,,,,,,,,,,,,,,
no_simd,0,0,1,0,0,0,0,43,10,735,648,3834.477467,3839.951418, 493.014201, 0.989910, 2.028339, 27868.950000, 22089, 20283.391371
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS648/no_simd/run_20251204_123711_695.log,1,,,,,,,,,,,,,,,,,,
no_pruning,0,0,0,1,0,0,0,43,10,735,648,3835.196871,3840.043556, 492.255013, 0.989910, 2.031467, 27868.950000, 22089, 20314.673755
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS648/no_pruning/run_20251204_123744_725.log,1,,,,,,,,,,,,,,,,,,
heap,0,0,0,0,1,0,0,43,10,735,648,3818.161336,3823.553874, 497.454519, 0.989910, 2.010234, 27868.950000, 22089, 20102.340245
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS648/heap/run_20251204_123817_823.log,1,,,,,,,,,,,,,,,,,,
dynamic_struct,0,0,0,0,0,1,0,43,10,735,648,3784.230630,3789.267616, 424.381470, 0.989910, 2.356371, 27868.950000, 22089, 23563.705572
results/ablation_20251204_121204/params_M43_ML10_EFC735_EFS648/dynamic_struct/run_20251204_123850_675.log,1,,,,,,,,,,,,,,,,,,
no_reorder,0,0,0,0,0,0,1,43,10,735,648,3895.443319,3900.395976, 503.141750, 0.989910, 1.987511, 27868.950000, 22089, 19875.114720
