STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c4897_i16_p1064,4897,16,1064,0,.988200,5.425000,0
c5022_i16_p1097,5022,16,1097,0,.989700,5.325000,0
c5022_i16_p1031,5022,16,1031,0,.987600,5.050000,0
c5147_i16_p1097,5147,16,1097,0,.988000,5.255000,0
c5147_i16_p1031,5147,16,1031,0,.986500,5.065000,0
c4897_i16_p1097,4897,16,1097,0,.988500,5.365000,0
c4897_i16_p1031,4897,16,1031,0,.987600,4.555000,0
c4989_i16_p1060,4989,16,1060,0,.988100,6.040000,0
c5084_i16_p1064,5084,16,1064,0,.988700,4.495000,0
c4960_i16_p1064,4960,16,1064,0,.987400,5.385000,0
c5022_i16_p1080,5022,16,1080,0,.989300,5.380000,0
