timestamp,step,type,C,P,I,recall,time_ms,reward,neighbor_index,event
2025-11-23 01:45:42,1,current,5022,1064,16,.988900,3.690000,249.083373,,
2025-11-23 01:45:42,1,best,5022,1064,16,.988900,3.690000,249.083373,,***NEW_BEST(current)***
2025-11-23 01:48:31,1,neighbor,5524,1064,16,.985700,4.815000,154.527023,1,
2025-11-23 01:50:59,1,neighbor,4520,1064,16,.988600,4.895000,183.714110,2,
2025-11-23 01:53:35,1,neighbor,5022,1197,16,.991100,5.625000,177.777777,3,
2025-11-23 01:56:16,1,neighbor,5022,931,16,.985100,5.225000,137.491062,4,
2025-11-23 01:59:01,1,neighbor,5524,1197,16,.989000,5.235000,176.872191,5,
2025-11-23 02:01:44,1,neighbor,5524,931,16,.981600,3.640000,164.309374,6,
2025-11-23 02:04:07,1,neighbor,4520,1197,16,.990500,6.170000,162.074554,7,
2025-11-23 02:06:38,1,neighbor,4520,931,16,.986100,4.475000,170.322932,8,
2025-11-23 02:09:04,1,neighbor,4636,1141,16,.989900,5.715000,173.589411,9,
2025-11-23 02:09:04,1,current,5022,1064,16,.988900,3.690000,249.083373,,STEP_DOWN
2025-11-23 02:09:04,2,current,5022,1064,16,.988900,3.690000,249.083373,,
2025-11-23 02:11:42,2,neighbor,5273,1064,16,.986100,4.895000,155.708910,1,
2025-11-23 02:14:08,2,neighbor,4771,1064,16,.987400,5.420000,152.733315,2,
2025-11-23 02:16:52,2,neighbor,5022,1130,16,.990600,5.025000,199.004975,3,
2025-11-23 02:19:25,2,neighbor,5022,998,16,.987000,4.885000,165.087330,4,
2025-11-23 02:22:04,2,neighbor,5273,1130,16,.987500,5.195000,160.410650,5,
2025-11-23 02:24:40,2,neighbor,5273,998,16,.983900,4.740000,141.781225,6,
2025-11-23 02:27:18,2,neighbor,4771,1130,16,.988700,5.785000,156.576854,7,
2025-11-23 02:29:44,2,neighbor,4771,998,16,.986800,5.045000,157.815330,8,
2025-11-23 02:32:12,2,neighbor,4825,1088,16,.987800,4.805000,176.969851,9,
2025-11-23 02:32:12,2,current,5022,1064,16,.988900,3.690000,249.083373,,STEP_DOWN
2025-11-23 02:32:12,3,current,5022,1064,16,.988900,3.690000,249.083373,,
2025-11-23 02:34:46,3,neighbor,5147,1064,16,.987300,5.105000,161.090777,1,
2025-11-23 02:37:26,3,neighbor,4897,1064,16,.988200,5.425000,161.129193,2,
2025-11-23 02:39:58,3,neighbor,5022,1097,16,.989700,5.325000,183.392018,3,
2025-11-23 02:42:29,3,neighbor,5022,1031,16,.987600,5.050000,166.123994,4,
2025-11-23 02:45:04,3,neighbor,5147,1097,16,.988000,5.255000,164.047376,5,
2025-11-23 02:47:43,3,neighbor,5147,1031,16,.986500,5.065000,154.244817,6,
2025-11-23 02:50:12,3,neighbor,4897,1097,16,.988500,5.365000,166.422579,7,
2025-11-23 02:52:40,3,neighbor,4897,1031,16,.987600,4.555000,184.176986,8,
2025-11-23 02:55:15,3,neighbor,4989,1060,16,.988100,6.040000,143.717806,9,
2025-11-23 02:55:15,3,current,5022,1064,16,.988900,3.690000,249.083373,,STEP_DOWN
2025-11-23 02:55:15,4,current,5022,1064,16,.988900,3.690000,249.083373,,
2025-11-23 02:57:49,4,neighbor,5084,1064,16,.988700,4.495000,201.512146,1,
2025-11-23 03:00:20,4,neighbor,4960,1064,16,.987400,5.385000,153.726010,2,
2025-11-23 03:02:52,4,neighbor,5022,1080,16,.989300,5.380000,176.016671,3,
