STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,STATUS,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c128_i4_p256,128,4,256,COMPILE_FAIL,0,NA,NA,NA
c128_i4_p512,128,4,512,COMPILE_FAIL,0,NA,NA,NA
c128_i4_p1024,128,4,1024,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p2,186,4,2,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p16,186,4,16,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p48,186,4,48,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p64,186,4,64,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p128,186,4,128,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p256,186,4,256,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p512,186,4,512,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p1024,186,4,1024,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p2,256,4,2,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p16,256,4,16,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p48,256,4,48,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p64,256,4,64,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p128,256,4,128,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p256,256,4,256,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p512,256,4,512,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p1024,256,4,1024,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p2,324,4,2,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p16,324,4,16,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p48,324,4,48,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p64,324,4,64,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p128,324,4,128,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p256,324,4,256,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p512,324,4,512,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p1024,324,4,1024,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p2,400,4,2,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p16,400,4,16,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p48,400,4,48,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p64,400,4,64,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p128,400,4,128,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p256,400,4,256,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p512,400,4,512,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p1024,400,4,1024,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p2,512,4,2,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p16,512,4,16,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p48,512,4,48,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p64,512,4,64,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p128,512,4,128,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p256,512,4,256,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p512,512,4,512,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p1024,512,4,1024,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p2,800,4,2,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p16,800,4,16,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p48,800,4,48,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p64,800,4,64,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p128,800,4,128,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p256,800,4,256,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p512,800,4,512,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p1024,800,4,1024,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p2,1024,4,2,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p16,1024,4,16,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p48,1024,4,48,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p64,1024,4,64,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p128,1024,4,128,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p256,1024,4,256,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p512,1024,4,512,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p1024,1024,4,1024,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p2,1600,4,2,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p16,1600,4,16,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p48,1600,4,48,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p64,1600,4,64,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p128,1600,4,128,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p256,1600,4,256,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p512,1600,4,512,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p1024,1600,4,1024,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p2,2048,4,2,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p16,2048,4,16,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p48,2048,4,48,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p64,2048,4,64,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p128,2048,4,128,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p256,2048,4,256,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p512,2048,4,512,COMPILE_FAIL,0,NA,NA,NA
c2048_i4_p1024,2048,4,1024,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p2,4096,4,2,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p16,4096,4,16,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p48,4096,4,48,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p64,4096,4,64,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p128,4096,4,128,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p256,4096,4,256,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p512,4096,4,512,COMPILE_FAIL,0,NA,NA,NA
c4096_i4_p1024,4096,4,1024,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p2,32,4,2,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p16,32,4,16,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p48,32,4,48,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p64,32,4,64,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p128,32,4,128,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p256,32,4,256,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p512,32,4,512,COMPILE_FAIL,0,NA,NA,NA
c32_i4_p1024,32,4,1024,COMPILE_FAIL,0,NA,NA,NA
c64_i4_p2,64,4,2,COMPILE_FAIL,0,NA,NA,NA
c64_i4_p16,64,4,16,COMPILE_FAIL,0,NA,NA,NA
c64_i4_p48,64,4,48,COMPILE_FAIL,0,NA,NA,NA
c64_i4_p64,64,4,64,COMPILE_FAIL,0,NA,NA,NA
c64_i4_p128,64,4,128,COMPILE_FAIL,0,NA,NA,NA
c64_i4_p256,64,4,256,COMPILE_FAIL,0,NA,NA,NA
c64_i4_p512,64,4,512,COMPILE_FAIL,0,NA,NA,NA
c64_i4_p1024,64,4,1024,COMPILE_FAIL,0,NA,NA,NA
c80_i4_p2,80,4,2,COMPILE_FAIL,0,NA,NA,NA
c80_i4_p16,80,4,16,COMPILE_FAIL,0,NA,NA,NA
c80_i4_p48,80,4,48,COMPILE_FAIL,0,NA,NA,NA
c80_i4_p64,80,4,64,COMPILE_FAIL,0,NA,NA,NA
c80_i4_p128,80,4,128,COMPILE_FAIL,0,NA,NA,NA
c80_i4_p256,80,4,256,COMPILE_FAIL,0,NA,NA,NA
c80_i4_p512,80,4,512,COMPILE_FAIL,0,NA,NA,NA
c80_i4_p1024,80,4,1024,COMPILE_FAIL,0,NA,NA,NA
c128_i4_p2,128,4,2,COMPILE_FAIL,0,NA,NA,NA
c128_i4_p16,128,4,16,COMPILE_FAIL,0,NA,NA,NA
c128_i4_p48,128,4,48,COMPILE_FAIL,0,NA,NA,NA
c128_i4_p64,128,4,64,COMPILE_FAIL,0,NA,NA,NA
c128_i4_p128,128,4,128,COMPILE_FAIL,0,NA,NA,NA
c128_i4_p256,128,4,256,COMPILE_FAIL,0,NA,NA,NA
c128_i4_p512,128,4,512,COMPILE_FAIL,0,NA,NA,NA
c128_i4_p1024,128,4,1024,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p2,186,4,2,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p16,186,4,16,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p48,186,4,48,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p64,186,4,64,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p128,186,4,128,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p256,186,4,256,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p512,186,4,512,COMPILE_FAIL,0,NA,NA,NA
c186_i4_p1024,186,4,1024,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p2,256,4,2,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p16,256,4,16,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p48,256,4,48,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p64,256,4,64,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p128,256,4,128,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p256,256,4,256,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p512,256,4,512,COMPILE_FAIL,0,NA,NA,NA
c256_i4_p1024,256,4,1024,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p2,324,4,2,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p16,324,4,16,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p48,324,4,48,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p64,324,4,64,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p128,324,4,128,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p256,324,4,256,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p512,324,4,512,COMPILE_FAIL,0,NA,NA,NA
c324_i4_p1024,324,4,1024,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p2,400,4,2,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p16,400,4,16,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p48,400,4,48,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p64,400,4,64,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p128,400,4,128,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p256,400,4,256,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p512,400,4,512,COMPILE_FAIL,0,NA,NA,NA
c400_i4_p1024,400,4,1024,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p2,512,4,2,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p16,512,4,16,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p48,512,4,48,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p64,512,4,64,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p128,512,4,128,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p256,512,4,256,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p512,512,4,512,COMPILE_FAIL,0,NA,NA,NA
c512_i4_p1024,512,4,1024,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p2,800,4,2,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p16,800,4,16,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p48,800,4,48,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p64,800,4,64,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p128,800,4,128,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p256,800,4,256,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p512,800,4,512,COMPILE_FAIL,0,NA,NA,NA
c800_i4_p1024,800,4,1024,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p2,1024,4,2,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p16,1024,4,16,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p48,1024,4,48,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p64,1024,4,64,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p128,1024,4,128,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p256,1024,4,256,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p512,1024,4,512,COMPILE_FAIL,0,NA,NA,NA
c1024_i4_p1024,1024,4,1024,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p2,1600,4,2,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p16,1600,4,16,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p48,1600,4,48,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p64,1600,4,64,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p128,1600,4,128,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p256,1600,4,256,COMPILE_FAIL,0,NA,NA,NA
c1600_i4_p512,1600,4,512,COMPILE_FAIL,0,NA,NA,NA
