timestamp,trial_id,m,efc,efs,K,avg_recall,avg_time_ms,reward_score,status
2025-11-25T11:03:09.907589,0,36,371,35,10,10.0,476104.0,9015.002100381429,COMPLETE
2025-11-25T11:15:12.047591,0,32,512,500,10,0.6775,0.4119,471825.0,-130750000.00000001,COMPLETE
2025-11-25T11:23:33.709515,1,31,984,1125,10,0.6669,0.4099,494126.0,-131809999.99999999,COMPLETE
